Tf,distance
S100A7,Primates
S100A9,Mammalia
S100A2,Vertebrata
S100A6,Vertebrata
S100A11,Amniota
ASH1L,Eukaryota
CRABP2,Opisthokonta
CERS2,Opisthokonta
HNRNPR,> Eukaryota
ADGRB1,Vertebrata
EOMES,Opisthokonta
TGFBR2,Opisthokonta
YBX1,Eumetazoa
ACOT7,Opisthokonta
TCF19,Opisthokonta
MAL,Opisthokonta
EPB41L3,Opisthokonta
LAMA1,Vertebrata
VIP,Vertebrata
GRIN1,Vertebrata
CEL,Vertebrata
GFI1B,Vertebrata
TSC1,Vertebrata
NFRKB,Opisthokonta
SLC22A8,Eukaryota
CRYAB,Eumetazoa
MIA,Eumetazoa
CDKN1A,Vertebrata
IHH,Eumetazoa
ACVRL1,Opisthokonta
KLF14,Opisthokonta
KLF17,Opisthokonta
NLRC4,Vertebrata
L1CAM,Vertebrata
PHF8,Vertebrata
G6PD,> Eukaryota
MIP,Vertebrata
STAT6,Vertebrata
ATF7,Opisthokonta
PPARD,Eumetazoa
MAPK14,Vertebrata
ADORA1,Opisthokonta
MMP9,Vertebrata
ZNF335,Vertebrata
LAMTOR5,Vertebrata
NFYA,Opisthokonta
ENO1,> Eukaryota
ZNF239,Mammalia
HLA-DQB2,Primates
PMAIP1,Mammalia
NCOR1,Eukaryota
VEZF1,Vertebrata
ACACA,Vertebrata
TBX2,Opisthokonta
PPM1D,> Eukaryota
CDCA7L,Vertebrata
SP4,Vertebrata
ITGB8,Vertebrata
CDK6,Vertebrata
TFPI2,Opisthokonta
COL1A2,Opisthokonta
PDK4,Vertebrata
DLX5,Vertebrata
NPY,Vertebrata
GPNMB,Vertebrata
HOXA1,Vertebrata
HOXA5,Vertebrata
HOXA7,Vertebrata
HOXA11,Vertebrata
EVX1,Vertebrata
LPL,Vertebrata
FOXE1,Eumetazoa
SELE,Vertebrata
ATF6,Opisthokonta
TBXA2R,Opisthokonta
NR5A2,Vertebrata
ALPI,Eukaryota
CLK3,Eumetazoa
HES1,Eumetazoa
PRKCQ,Vertebrata
KIN,Eukaryota
GATA3,Opisthokonta
UPF2,Hominidae
ETV2,Mammalia
MSX2,Eumetazoa
FOXP1,Vertebrata
RNASEL,Vertebrata
BRS3,Vertebrata
CD40LG,Eumetazoa
GNLY,Vertebrata
PTTG1,Vertebrata
MSMB,Vertebrata
TNFRSF17,Amniota
LYL1,Vertebrata
HFE,Vertebrata
AHR,Opisthokonta
TWIST1,Primates
IL6,> Eukaryota
CENPW,Vertebrata
IL1RL1,Vertebrata
IL1R1,Vertebrata
IL1R2,Vertebrata
TGFB1,Mammalia
GCGR,Opisthokonta
CKM,Opisthokonta
ERCC2,Vertebrata
HIF3A,Amniota
PROS1,Vertebrata
LMO7,Eumetazoa
CD247,Eukaryota
CREG1,Eumetazoa
F7,Opisthokonta
F10,Opisthokonta
MKI67,Eumetazoa
DLX3,Vertebrata
DLX4,Opisthokonta
GH2,Vertebrata
GH1,Vertebrata
CSH2,Vertebrata
CSH1,Vertebrata
TAPBP,Vertebrata
RGN,Vertebrata
TP73,Opisthokonta
ZBTB14,Vertebrata
TNFRSF21,Vertebrata
ATXN7,Opisthokonta
PSMD6,> Eukaryota
MAPK7,> Eukaryota
PAX6,Vertebrata
PSEN2,Eukaryota
GCM2,Vertebrata
TP53I3,Eukaryota
POMGNT1,Opisthokonta
MUC5B,Primates
THRB,Eumetazoa
DBF4,Vertebrata
PDE6B,Opisthokonta
KDM5C,Vertebrata
KIT,Vertebrata
E2F7,Eumetazoa
PHLDA1,Eumetazoa
MXD4,Opisthokonta
WBP1,Vertebrata
EGR1,Vertebrata
ACSL1,> Eukaryota
GUCY1B1,Opisthokonta
MTTP,Primates
HTATIP2,Opisthokonta
E2F8,Vertebrata
MEIS2,Opisthokonta
RAD51,Vertebrata
BACH2,Opisthokonta
TJP1,Eumetazoa
CEBPA,Eumetazoa
CEBPG,Vertebrata
HSD11B2,Vertebrata
FGG,Vertebrata
PLRG1,Vertebrata
TLR2,Vertebrata
PDIA2,Eukaryota
CACNA1H,Vertebrata
PRKCB,Eumetazoa
CYP3A4,Vertebrata
CYP3A5,Vertebrata
CYP3A7,Vertebrata
CAPNS1,Eukaryota
CHRNB4,Eumetazoa
CHRNA3,Eumetazoa
CHRNA5,Vertebrata
UGT2B17,Hominidae
UGT2B15,Primates
UGT1A6,Hominidae
UGT1A8,Hominidae
UGT1A10,Hominidae
UGT1A7,Hominidae
UGT1A9,Hominidae
UGT1A4,Mammalia
UGT2B7,Primates
UGT2B4,Primates
HCN4,Opisthokonta
PKM,> Eukaryota
MMP2,Opisthokonta
FTO,Vertebrata
RBL2,Vertebrata
CYLD,Vertebrata
NOD2,Vertebrata
BRD7,Eukaryota
NAT1,Eumetazoa
CYP1A2,Eumetazoa
CYP1A1,Eumetazoa
SNAP25,Vertebrata
IGF1R,Vertebrata
ANPEP,Opisthokonta
NTRK3,Vertebrata
PNOC,Vertebrata
DBH,Opisthokonta
ADORA2A,Opisthokonta
ATP2A2,> Eukaryota
TF,Vertebrata
NR2C2,Opisthokonta
TRH,Opisthokonta
BRPF1,Eukaryota
GP9,Vertebrata
CNBP,Eukaryota
SYN2,Eumetazoa
CASP9,Eumetazoa
RIPK2,Vertebrata
HBA1,Vertebrata
HBA2,Vertebrata
ERCC4,Eumetazoa
MYEF2,Opisthokonta
HNF4G,Opisthokonta
CNTNAP2,Vertebrata
LCN2,Vertebrata
PTGDS,Vertebrata
SPAG6,> Eukaryota
BMI1,Opisthokonta
MLLT10,Opisthokonta
FOXH1,Eumetazoa
ARX,Vertebrata
GDAP1,> Eukaryota
TERF1,Vertebrata
MSC,Opisthokonta
PRDM14,Vertebrata
COPS5,Eukaryota
MYBL1,Eukaryota
SLC39A8,Opisthokonta
CDKN3,Vertebrata
LGALS3,Eumetazoa
SLC8A3,Eumetazoa
ARG2,Opisthokonta
NOL7,Vertebrata
KCNQ3,Vertebrata
TMEM71,Opisthokonta
CPT1B,Vertebrata
WWOX,> Eukaryota
FGL2,Vertebrata
NCOR2,Vertebrata
FGFR1,Eumetazoa
CABIN1,Hominidae
NEFL,Vertebrata
CYP1B1,Eumetazoa
IKZF1,Eumetazoa
PRDX3,Eumetazoa
EMX2,Eumetazoa
NEUROG3,Hominidae
SGPL1,Eukaryota
PCBD1,Eukaryota
RET,Vertebrata
BAG3,Opisthokonta
DNAJC12,> Eukaryota
MLH1,> Eukaryota
DACT2,Vertebrata
SRF,Eukaryota
NRF1,Opisthokonta
SMO,Eumetazoa
NFATC3,Vertebrata
KCNN2,Eumetazoa
STARD7,Opisthokonta
LOX,Vertebrata
GDNF,Vertebrata
MACC1,Eumetazoa
HDAC9,> Eukaryota
CREB5,Opisthokonta
SETD2,Opisthokonta
UPP1,Eumetazoa
APCS,Vertebrata
CRP,Vertebrata
KDM4B,Eumetazoa
UHRF1,Eumetazoa
SLC5A5,Opisthokonta
COMP,Amniota
GRHL2,Opisthokonta
SFN,Vertebrata
CTSS,Vertebrata
TRPS1,Opisthokonta
MED23,Opisthokonta
CHGA,Vertebrata
INO80,Vertebrata
NOTCH4,Opisthokonta
HSP90AA1,> Eukaryota
ZNF410,Vertebrata
LGALS9,Eumetazoa
LGALS1,Eumetazoa
BMP2,Opisthokonta
GZF1,Vertebrata
TRIB2,Vertebrata
GPR39,Vertebrata
SYMPK,Vertebrata
STAT4,Vertebrata
LSS,Vertebrata
NOTCH3,Vertebrata
DNMT1,Opisthokonta
TYK2,Vertebrata
PTP4A1,Vertebrata
LEF1,Vertebrata
ALOX15,Opisthokonta
ALOX15B,Opisthokonta
EPSTI1,> Eukaryota
TNFSF11,Vertebrata
MAOB,Eukaryota
EAF2,Eumetazoa
COL11A2,Vertebrata
STARD4,Opisthokonta
TSLP,Opisthokonta
ERG,Vertebrata
ETS2,Vertebrata
BACE2,Vertebrata
TCFL5,Vertebrata
BIRC7,Eumetazoa
SLC2A4RG,Amniota
TRIM25,Vertebrata
C4BPB,Mammalia
PIGR,Amniota
PSMD11,Vertebrata
SSTR1,Vertebrata
FAM162A,Vertebrata
CD86,Vertebrata
F8,Vertebrata
DDIT3,Vertebrata
GLI1,Vertebrata
AURKA,> Eukaryota
GNAS,Eukaryota
TNPO1,Opisthokonta
DCK,Vertebrata
DAB2,Opisthokonta
BDP1,Opisthokonta
TNC,Vertebrata
TRAF2,Eumetazoa
CRHBP,Eumetazoa
CEBPZ,> Eukaryota
E2F6,Opisthokonta
HIVEP2,Vertebrata
ATF3,Eumetazoa
BATF3,Vertebrata
MCAT,Vertebrata
APOC3,Amniota
APOA4,Vertebrata
APOA5,Vertebrata
CDA,Amniota
PLA2G2A,Vertebrata
MAD2L1,Opisthokonta
IFI16,Primates
ACKR1,Mammalia
PBX2,Opisthokonta
CSNK2A1,Vertebrata
CXCL2,Primates
CXCL5,Primates
PPBP,Amniota
PF4,Primates
CXCL1,Primates
CXCL8,Vertebrata
AFP,Vertebrata
ALB,Vertebrata
HMGA1,Eumetazoa
OLFM4,Vertebrata
RASGRP1,Vertebrata
DLL4,Opisthokonta
CHAC1,Eukaryota
MAX,Opisthokonta
SLC10A1,Vertebrata
THBS1,Opisthokonta
SIVA1,> Eukaryota
AKT1,Eumetazoa
BUB1B,Eukaryota
KHDRBS1,Vertebrata
MFSD2A,Eumetazoa
LYZ,Vertebrata
EXO1,> Eukaryota
CDK1,> Eukaryota
SCNN1A,Vertebrata
CD4,Mammalia
CD163,Opisthokonta
GDF3,Vertebrata
TNFRSF9,Vertebrata
CLDN3,Vertebrata
ELN,Vertebrata
NCOA2,Vertebrata
TNFSF4,Opisthokonta
KISS1,Opisthokonta
BTG2,Vertebrata
CHI3L1,Mammalia
NOS3,Vertebrata
MAPK3,Vertebrata
CCK,Opisthokonta
TERT,Vertebrata
SFPQ,Opisthokonta
FOXG1,Vertebrata
EAPP,Vertebrata
EGLN3,Vertebrata
NPAS3,Opisthokonta
TG,Opisthokonta
CLEC4C,Primates
IRF6,Opisthokonta
L3MBTL1,Opisthokonta
SPI1,Vertebrata
GAS2,Vertebrata
SAA1,Amniota
SAA2,Amniota
SOX6,Eukaryota
RORC,Eumetazoa
NR1I3,Eumetazoa
BCAS2,Vertebrata
SDHB,Opisthokonta
E2F1,Opisthokonta
CLU,Vertebrata
HECA,Eukaryota
ESR2,Opisthokonta
TFAP2B,Vertebrata
MAP3K5,Vertebrata
TLR3,Vertebrata
S100P,Vertebrata
RELA,Vertebrata
DRAP1,Eukaryota
FXR2,Opisthokonta
TDG,Vertebrata
FAT1,Eumetazoa
CXCR5,Vertebrata
DUX4,Primates
MUC4,Eumetazoa
EPCAM,Eumetazoa
KAT6A,Eumetazoa
TPH2,Vertebrata
NOX5,Vertebrata
PCLAF,Eumetazoa
COP1,Eukaryota
ANKRD1,Eumetazoa
PVR,Mammalia
GJA5,Vertebrata
ACKR3,Vertebrata
TBL1X,Eukaryota
TLR7,Vertebrata
MID1,Vertebrata
EDNRB,Vertebrata
CNMD,Eumetazoa
DCT,Eumetazoa
ABCC4,Opisthokonta
DNAJC3,Eukaryota
SLC15A1,Vertebrata
ADAM23,Opisthokonta
NFE2L2,Vertebrata
HOXD3,Vertebrata
HOXD9,Vertebrata
ATF2,Opisthokonta
CHRNA1,Vertebrata
SP3,Vertebrata
CDCA7,Vertebrata
PDK1,Vertebrata
HSP90AB1,> Eukaryota
ADAM10,Opisthokonta
MUC3A,Primates
TRIP6,Mammalia
HLA-DOA,Vertebrata
HLA-DMA,Vertebrata
HLA-DMB,Vertebrata
TAP2,> Eukaryota
HLA-DOB,Vertebrata
NODAL,Vertebrata
ERVFRD-1,Primates
PRTN3,Primates
ELANE,Vertebrata
ABCC3,Vertebrata
IGF2BP1,Amniota
CRISP1,Eumetazoa
CRISP3,Vertebrata
NMU,> Eukaryota
FN1,Eumetazoa
DNMT3A,Vertebrata
NKX2-1,Eumetazoa
ZFP36L1,Vertebrata
MTA1,Opisthokonta
PTBP1,Opisthokonta
PLD1,Eumetazoa
TNFSF10,Eumetazoa
HLTF,Eukaryota
FOXO3,Vertebrata
COL2A1,Vertebrata
ITGB2,Vertebrata
SATB2,Vertebrata
HSPD1,> Eukaryota
SF3B1,Vertebrata
DGKG,Opisthokonta
TNFAIP6,Eumetazoa
MYBL2,Eukaryota
WNT4,Opisthokonta
ETNK2,Eukaryota
CCND1,> Eukaryota
LRP5,Opisthokonta
BCAR1,Opisthokonta
BTAF1,Eukaryota
IDE,Eukaryota
RRP1B,> Eukaryota
IFNAR1,Vertebrata
PSMB5,Vertebrata
LTBP4,Vertebrata
TBX20,Opisthokonta
MCL1,Vertebrata
CTSK,Vertebrata
ATG5,Vertebrata
EAF1,Eumetazoa
TEAD1,Opisthokonta
NFAT5,Vertebrata
ZFHX3,Eumetazoa
RNF111,Vertebrata
LIPC,Vertebrata
ALDH1A2,> Eukaryota
TCF12,Opisthokonta
NEDD4,Vertebrata
PANK2,Opisthokonta
CDC25B,Vertebrata
FGFR3,Vertebrata
PTPN6,Vertebrata
GAPDH,> Eukaryota
ING4,Vertebrata
CASP2,Eumetazoa
CD69,Vertebrata
OLR1,Vertebrata
TRPV6,Eumetazoa
IL11,Vertebrata
AICDA,Vertebrata
U2AF2,Opisthokonta
DBP,Vertebrata
UBE2S,Eukaryota
RAC1,Vertebrata
PRG2,Mammalia
PRG3,Mammalia
CCL3,Vertebrata
ZBTB7A,Vertebrata
TICAM1,Vertebrata
FUT3,Primates
CD70,> Eukaryota
TRAF1,Opisthokonta
HLA-G,Hominidae
RHOA,Amniota
COL7A1,Primates
CAMP,Primates
CDC25A,Vertebrata
CYP7B1,Eumetazoa
FGF19,Eumetazoa
LIN54,Vertebrata
HNRNPD,Vertebrata
AKT2,Vertebrata
WFDC2,Mammalia
PLIN1,Vertebrata
E2F2,Opisthokonta
IFNLR1,Vertebrata
RARRES1,Vertebrata
ULBP1,Vertebrata
C3,Eumetazoa
GTF2F1,Vertebrata
PTGFR,Opisthokonta
SCAND1,Mammalia
ZNF274,Mammalia
ZNF202,Mammalia
PEG3,Mammalia
PLAGL2,Vertebrata
ZNF444,Mammalia
PLAGL1,Mammalia
PKLR,> Eukaryota
SETDB1,> Eukaryota
ARNT,Opisthokonta
WIF1,Opisthokonta
IL22,Mammalia
MSR1,Mammalia
ZNF268,Mammalia
ABCC6,Vertebrata
NPPA,Mammalia
CDC25C,Vertebrata
MADCAM1,Vertebrata
CDC34,Vertebrata
IRAK2,Vertebrata
GREB1,Mammalia
GCSAM,Mammalia
ZNF300,Mammalia
PDE6A,Vertebrata
TRIM22,Vertebrata
MZF1,Vertebrata
TRIM28,Vertebrata
PBX1,Opisthokonta
FGL1,Vertebrata
VCAM1,Opisthokonta
TFF1,Mammalia
TFF2,Vertebrata
TFF3,Vertebrata
CDKN2B,Mammalia
CDKN2A,Vertebrata
IFNA1,Vertebrata
IFNA13,Vertebrata
MTDH,Vertebrata
LILRB2,Mammalia
LILRB1,Mammalia
LILRB4,Mammalia
KIR2DL3,Mammalia
PMP22,Vertebrata
COL1A1,Vertebrata
SOST,Vertebrata
ETV4,Opisthokonta
THRA,Vertebrata
ORMDL3,Vertebrata
CDK5R1,Eumetazoa
PDK2,Vertebrata
TBX21,Opisthokonta
NFE2L1,Eumetazoa
HOXB1,Eumetazoa
SNF8,Opisthokonta
MSL1,Opisthokonta
SRCAP,Eukaryota
CHUK,Eumetazoa
POLH,Opisthokonta
PCSK2,Eumetazoa
PAPSS2,Opisthokonta
PTEN,Primates
FAS,Vertebrata
MXI1,Opisthokonta
BNIP3,Eumetazoa
PPP2R2D,> Eukaryota
EBF3,Opisthokonta
MGMT,Opisthokonta
GNRH1,Vertebrata
GNRH2,Mammalia
ADAM12,Vertebrata
AGT,Vertebrata
KLF5,Opisthokonta
P4HA1,Vertebrata
ECD,Vertebrata
SNAP91,Eukaryota
CCNC,> Eukaryota
POU3F1,Opisthokonta
SCT,Hominidae
SUMO1,> Eukaryota
STAT1,Vertebrata
GLS,Opisthokonta
NAB1,Eumetazoa
S100B,Hominidae
ZEB2,Vertebrata
FHL2,Eumetazoa
NR0B1,Eumetazoa
ADAMTS5,Vertebrata
ADAMTS1,Vertebrata
APP,Vertebrata
RDX,Vertebrata
ATM,Opisthokonta
NPAT,Opisthokonta
VMP1,Eukaryota
GMPS,Hominidae
EED,Eukaryota
ZFP36,Vertebrata
MTA2,Vertebrata
MEN1,Vertebrata
GFER,Vertebrata
DRG2,> Eukaryota
SLC19A1,Opisthokonta
KRT18,Vertebrata
CIP2A,Opisthokonta
RPS6KA3,Vertebrata
CYP19A1,Eumetazoa
SIGIRR,Vertebrata
MUC6,Opisthokonta
TLX1,Vertebrata
CARM1,Eukaryota
ARNT2,Opisthokonta
CUX1,Vertebrata
FUT4,Opisthokonta
LXN,Vertebrata
FOSB,Eumetazoa
RELB,Vertebrata
FCGR3B,Vertebrata
FCGR1A,Vertebrata
FCGR2B,Vertebrata
FCER1A,Vertebrata
TBX5,Opisthokonta
TBX3,Opisthokonta
PAX8,Vertebrata
FUBP3,Opisthokonta
ASS1,Opisthokonta
HSPA5,> Eukaryota
KLF10,Eumetazoa
PRF1,Vertebrata
FBXO32,Eumetazoa
SEC14L2,Vertebrata
OCLN,Opisthokonta
MECOM,Eumetazoa
ZMYND11,Eumetazoa
ARG1,Opisthokonta
HLF,Vertebrata
ENPP2,Eukaryota
GSS,Eukaryota
GSK3B,> Eukaryota
NR1I2,Eumetazoa
FGF4,Eumetazoa
SLBP,Eumetazoa
CHGB,Vertebrata
APLF,Vertebrata
GKN2,Amniota
PAEP,Mammalia
BBC3,Eumetazoa
CRX,Vertebrata
FAAH,Vertebrata
ACR,Mammalia
NPAS2,Opisthokonta
BIN1,Eukaryota
DES,Vertebrata
BARD1,Opisthokonta
ERBB4,Vertebrata
SKI,Vertebrata
WWP1,Eukaryota
ADARB2,Opisthokonta
CREM,Opisthokonta
BAMBI,Vertebrata
PLAU,Eumetazoa
HDAC7,Vertebrata
VDR,Eumetazoa
MYL9,Opisthokonta
PLXNA1,Vertebrata
RACGAP1,Vertebrata
AGGF1,Vertebrata
LOXL2,Opisthokonta
RPLP0,> Eukaryota
KLRK1,Vertebrata
TGIF2,Vertebrata
ETV5,Vertebrata
CD24,Opisthokonta
ACTA2,Vertebrata
CSF2RA,Vertebrata
TIAL1,Vertebrata
RGS10,Opisthokonta
SMAD2,Opisthokonta
P2RX4,Vertebrata
GJA1,Vertebrata
HSF2,Vertebrata
WDFY4,Eukaryota
SOX10,Opisthokonta
SREBF2,Opisthokonta
GRIN2B,Opisthokonta
MGP,Vertebrata
NME3,Vertebrata
MAP2,Vertebrata
CDH13,Vertebrata
ELMO3,Eumetazoa
ZIC2,Vertebrata
SHOX,Vertebrata
NEUROD1,Eumetazoa
CD1D,Vertebrata
TXNIP,Vertebrata
DEK,Opisthokonta
CREB3L4,Eumetazoa
SLC39A1,Vertebrata
ATP2C1,Eumetazoa
TMPRSS2,Opisthokonta
ACAT1,Eukaryota
MMP1,Vertebrata
NRIP1,Eumetazoa
SLC6A3,Vertebrata
DCDC2,Vertebrata
FOXK2,Vertebrata
ZNF160,Opisthokonta
KCNN4,Eumetazoa
POU3F2,Hominidae
ME1,Vertebrata
TTK,Eukaryota
RSPO2,Vertebrata
PCNA,Eumetazoa
KCNIP3,Eukaryota
GP1BB,Primates
POLB,Eukaryota
ALOX5AP,Vertebrata
ABCA3,Opisthokonta
NCOA4,> Eukaryota
SERPINE1,Vertebrata
ACO1,Vertebrata
SIAH1,Vertebrata
ELF3,Vertebrata
MFN2,Opisthokonta
NCF1,Vertebrata
ST6GAL1,Vertebrata
XAF1,Vertebrata
AXL,Opisthokonta
SFRP1,Opisthokonta
UBC,Hominidae
RUNX1,Vertebrata
TBX18,Opisthokonta
SALL2,Mammalia
ASPN,Vertebrata
OGN,Vertebrata
TRIB3,Opisthokonta
HEYL,Opisthokonta
EPHB2,Vertebrata
ALPL,Eukaryota
ECE1,Eumetazoa
CD34,Vertebrata
LRIG2,Vertebrata
SLC2A1,Opisthokonta
SPDEF,Eumetazoa
PFKP,Vertebrata
KLF6,Opisthokonta
NRP1,Vertebrata
ITGB1,Vertebrata
ZEB1,Vertebrata
CNP,Vertebrata
ACLY,Vertebrata
STARD3,Opisthokonta
ITGB3,Vertebrata
ZNF652,Vertebrata
CAPN10,Eukaryota
STK11,> Eukaryota
SUGP1,Vertebrata
HCN2,Opisthokonta
TCF3,Opisthokonta
SIRT6,Opisthokonta
NR2F2,Vertebrata
MEF2A,Vertebrata
BTK,Vertebrata
UPF3B,Opisthokonta
MCTS1,> Eukaryota
SYTL4,Vertebrata
SRPX2,Vertebrata
TAF7,Hominidae
FHL1,Eumetazoa
ZIC3,Vertebrata
F12,Opisthokonta
KLK10,Opisthokonta
SOX3,Eumetazoa
FOSL1,Eumetazoa
FOXO4,Vertebrata
SESN3,Opisthokonta
CORO1C,Eukaryota
ALKBH2,Vertebrata
SNCB,Vertebrata
DRD1,Vertebrata
NKX2-5,Eumetazoa
ATP6V0E1,Eumetazoa
EBF1,Opisthokonta
IL12B,Opisthokonta
ADRB2,Eumetazoa
CYFIP2,Vertebrata
HMMR,Vertebrata
INS,Hominidae
XIAP,Eumetazoa
AR,Opisthokonta
SH2D1A,> Eukaryota
POU3F4,Opisthokonta
HMGN1,Vertebrata
P2RY10,Vertebrata
CYSLTR1,Vertebrata
CNOT7,> Eukaryota
IFNB1,Vertebrata
IFNA2,Vertebrata
TNFRSF12A,Mammalia
RLN1,Vertebrata
TM4SF1,Vertebrata
NME1,Vertebrata
PNRC1,Eumetazoa
HSPH1,> Eukaryota
MSLN,Eumetazoa
ZAP70,Vertebrata
MKNK2,Opisthokonta
PTPRC,Vertebrata
KLF15,Eumetazoa
HIRA,Eukaryota
DMD,Vertebrata
MEAF6,Opisthokonta
ADRA2B,Eumetazoa
ELF2,Vertebrata
CBX8,Vertebrata
RPTOR,Vertebrata
ITGAX,Opisthokonta
PCGF2,Vertebrata
IGFBP4,Vertebrata
CCR7,Vertebrata
CXCR4,Vertebrata
TFCP2L1,Opisthokonta
GLI3,Opisthokonta
SLC10A2,Eumetazoa
GK,> Eukaryota
DDX18,> Eukaryota
ALDH1A3,Eumetazoa
