TF,Target,Mode,PMID,Tf_age,Tg_age
AHR,FOS,Unknown,10478842,Opisthokonta,Eukaryota
AHR,IL13,Unknown,22981205,Opisthokonta,Vertebrata
AHR,IL1B,Unknown,23349129,Opisthokonta,Vertebrata
AHR,IL6,Activation,20511231,Opisthokonta,> Eukaryota
AHR,IL6,Unknown,18483242;23349129,Opisthokonta,> Eukaryota
AHR,MFSD2A,Unknown,21736709,Opisthokonta,Eumetazoa
AHR,MT2A,Unknown,23994556,Opisthokonta,Primates
AHR,MYC,Unknown,11114727;16091746,Opisthokonta,Vertebrata
AHR,PCNA,Activation,12417031,Opisthokonta,Eumetazoa
AHR,RFC3,Activation,12417031,Opisthokonta,> Eukaryota
AHR,UGT1A1,Activation,18172616,Opisthokonta,Hominidae
AHR,UGT1A6,Unknown,9466822,Opisthokonta,Hominidae
AIP,AHR,Activation,11469723,Opisthokonta,Opisthokonta
AIP,GREB1,Repression,21984905,Opisthokonta,Mammalia
AIP,NFKB2,Repression,21984905,Opisthokonta,Vertebrata
AIP,RSF1,Repression,21984905,Opisthokonta,Opisthokonta
AIP,TFF1,Repression,21984905,Opisthokonta,Mammalia
AIRE,CHRNA1,Unknown,17687331,Vertebrata,Vertebrata
ANKRD1,NPPA,Repression,18273862,Vertebrata,Mammalia
APBB1,GMPS,Repression,21453247,Vertebrata,Hominidae
APC,AKT1,Repression,15888491,Vertebrata,Eumetazoa
APC,AMHR2,Repression,12724325,Vertebrata,Opisthokonta
APC,BIRC5,Unknown,11751382,Vertebrata,Eumetazoa
APC,DLG1,Unknown,21858148,Eumetazoa,Opisthokonta
APC,DNMT1,Repression,12538344,Vertebrata,Opisthokonta
APC,F8,Unknown,12010799,Opisthokonta,Vertebrata
APC,KLF4,Unknown,12387883,Opisthokonta,Opisthokonta
APC,MYC,Repression,16510874,Opisthokonta,Vertebrata
APC,NOS2,Activation,11935128,Opisthokonta,Vertebrata
APC,ODC1,Repression,12112318,Opisthokonta,> Eukaryota
APC,PTGS2,Repression,10772828;12566320,Opisthokonta,> Eukaryota
APC,PTGS2,Unknown,11396184,Opisthokonta,> Eukaryota
APC,SGK1,Repression,18487207,Opisthokonta,> Eukaryota
APEX1,CCL2,Activation,17045925,Opisthokonta,Mammalia
APEX1,CD19,Activation,10666449,Opisthokonta,Vertebrata
APEX1,CYP11B2,Repression,22652909,Opisthokonta,Mammalia
APEX1,NFKB1,Activation,17045925,Opisthokonta,Vertebrata
APEX1,PTH,Repression,14633989,Opisthokonta,Vertebrata
APEX1,RELA,Activation,17045925,> Eukaryota,Vertebrata
APEX1,SLC5A5,Activation,14630715,> Eukaryota,Opisthokonta
AR,ACTA1,Activation,15623502,> Eukaryota,Eukaryota
AR,AKR1C3,Repression,22971343,> Eukaryota,Primates
AR,AKT1,Activation,11278645,> Eukaryota,Eumetazoa
AR,AKT1,Repression,20589722,> Eukaryota,Eumetazoa
AR,ALDH1A3,Unknown,17526768,> Eukaryota,Eumetazoa
AR,ARG1,Activation,20711410,Opisthokonta,Opisthokonta
AR,ARG2,Activation,20711410,Opisthokonta,Opisthokonta
AR,ATAD2,Unknown,22771493,Opisthokonta,Opisthokonta
AR,BSG,Unknown,14633669,Opisthokonta,Opisthokonta
AR,BTG1,Repression,16281084,Opisthokonta,Vertebrata
AR,BTG2,Repression,16281084,Opisthokonta,Vertebrata
AR,CDK20,Activation,21747169,Opisthokonta,Opisthokonta
AR,CDC6,Activation,24583551,Opisthokonta,> Eukaryota
AR,CDC6,Unknown,18541154,Opisthokonta,> Eukaryota
AR,CDH1,Repression,18794357,Opisthokonta,Eumetazoa
AR,CDH11,Unknown,20191612,Opisthokonta,Vertebrata
AR,CDH2,Activation,17297473;18535113,Opisthokonta,Vertebrata
AR,CDK20,Activation,21747169,Opisthokonta,Opisthokonta
AR,CDK6,Unknown,15790678,Opisthokonta,Vertebrata
AR,CDKN1A,Activation,10076995,Opisthokonta,Vertebrata
AR,CDKN1A,Repression,16281084,Opisthokonta,Vertebrata
AR,CLK3,Repression,16281084,Opisthokonta,Eumetazoa
AR,CRH,Repression,16446741,Opisthokonta,Vertebrata
AR,CRISP1,Unknown,11223178,Opisthokonta,Eumetazoa
AR,CRISP3,Unknown,11223178,Opisthokonta,Vertebrata
AR,CTNNB1,Activation,18535113,Opisthokonta,Eumetazoa
AR,CYP7B1,Repression,16630558,Opisthokonta,Eumetazoa
AR,EGFR,Activation,11556855;21613411,Opisthokonta,Eumetazoa
AR,ELK4,Unknown,18469865,Opisthokonta,Vertebrata
AR,EP300,Activation,22334658,Opisthokonta,Eumetazoa
AR,ERBB2,Activation,21613411,Opisthokonta,Vertebrata
AR,ERBB2,Unknown,21741601,Opisthokonta,Vertebrata
AR,ERBB3,Activation,21741601,Opisthokonta,Opisthokonta
AR,ETV1,Activation,19789348,Opisthokonta,Vertebrata
AR,FKBP4,Unknown,23192983,Opisthokonta,Eukaryota
AR,FN1,Unknown,21055159,Opisthokonta,Eumetazoa
AR,FOLH1,Unknown,12539223,Opisthokonta,Opisthokonta
AR,FOXA1,Unknown,12750453,Opisthokonta,Vertebrata
AR,GNMT,Unknown,23997240,Opisthokonta,Eukaryota
AR,GREB1,Unknown,16496412,Opisthokonta,Mammalia
AR,GTF2F1,Unknown,9238003,Opisthokonta,Vertebrata
AR,HMMR,Unknown,18174258,Opisthokonta,Vertebrata
AR,HMOX1,Activation,11965035,Opisthokonta,Vertebrata
AR,IFI16,Unknown,16494870,Opisthokonta,Primates
AR,IGF1R,Activation,15033751;17202144,Opisthokonta,Vertebrata
AR,IGFBP3,Unknown,23859805,Opisthokonta,Vertebrata
AR,JUN,Activation,20148354,Opisthokonta,Eumetazoa
AR,KISS1,Activation,18331266,Opisthokonta,Opisthokonta
AR,KISS1R,Activation,18331266,Opisthokonta,Primates
AR,KLF5,Unknown,19460858,Opisthokonta,Opisthokonta
AR,KLK1,Unknown,11532861,Opisthokonta,Primates
AR,KLK2,Unknown,11532861;16751804;20688158;9241247,Opisthokonta,Vertebrata
AR,KLK3,Activation,10547578;11006269;11504717;11571582;12958311;16425097;16434977;16724108;17566103;20069563;21780100;22179832;23667504;8626436,Opisthokonta,Vertebrata
AR,KLK3,Repression,16342680;9316650,Opisthokonta,Vertebrata
AR,KLK3,Unknown,11059779;11238180;11532861;12376473;12539223;12648523;12651911;15368351;15543614;15557561;15640095;17011549;17075604;17094454;17426252;17433535;18780293;18829551;19274665;21308712;21981678;22245379;22473899;23884959;24307657;7514587;9052414;9211894,Opisthokonta,Vertebrata
AR,KLK4,Unknown,12539223,Opisthokonta,Mammalia
AR,MED1,Unknown,17483314,Opisthokonta,Eumetazoa
AR,MID1,Unknown,24913494,Opisthokonta,Vertebrata
AR,MUC1,Repression,21308711,Opisthokonta,Eumetazoa
AR,MYC,Unknown,24512546,Opisthokonta,Vertebrata
AR,NAT1,Activation,17210686,Opisthokonta,Eumetazoa
AR,NDRG1,Unknown,17075604,Opisthokonta,Eumetazoa
AR,NFKB1,Repression,18386814,Opisthokonta,Vertebrata
AR,NKX3-1,Activation,16697957;17303007,Opisthokonta,Amniota
AR,NKX3-1,Unknown,11238180,Opisthokonta,Amniota
AR,NOV,Unknown,23318417,Opisthokonta,
AR,NRAS,Repression,16281084,Opisthokonta,Vertebrata
AR,PC,Activation,18497079,Opisthokonta,Vertebrata
AR,PSCA,Unknown,23330817,Opisthokonta,Mammalia
AR,PEBP1,Unknown,23095933,Opisthokonta,Vertebrata
AR,PIGR,Unknown,11171058,Opisthokonta,Amniota
AR,PIP,Unknown,21809344,Opisthokonta,Hominidae
AR,PMEPA1,Unknown,17075604;18703514,Opisthokonta,Vertebrata
AR,PNRC1,Unknown,10894149,Opisthokonta,Eumetazoa
AR,KLK3,Unknown,24937452,Opisthokonta,Vertebrata
AR,PTEN,Activation,23418309,Opisthokonta,Primates
AR,PTEN,Unknown,20729295;21532617,Opisthokonta,Hominidae
AR,PTGS2,Repression,18386814,Opisthokonta,Primates
AR,PTPN1,Unknown,22282656,Opisthokonta,Hominidae
AR,RELA,Repression,18386814,Opisthokonta,> Eukaryota
AR,REST,Repression,24163104,Opisthokonta,Vertebrata
AR,SEPT7,Repression,16281084,Opisthokonta,Vertebrata
AR,SERPINB5,Repression,16304843,Opisthokonta,Vertebrata
AR,SESN1,Unknown,16751804,Opisthokonta,
AR,SRD5A3,Unknown,22194926,Opisthokonta,Vertebrata
AR,STIM1,Unknown,21432868,Opisthokonta,Opisthokonta
AR,TBP,Unknown,9238003,Opisthokonta,Eumetazoa
AR,TCF7L2,Unknown,12799378,Opisthokonta,Opisthokonta
AR,TGFA,Activation,11556855,Opisthokonta,Vertebrata
AR,TH,Activation,16356647,Opisthokonta,Vertebrata
AR,TJP1,Activation,18535113,Opisthokonta,Vertebrata
AR,TMPRSS2,Activation,20308527;21761340,Opisthokonta,Eumetazoa
AR,TMPRSS2,Unknown,23192983,Opisthokonta,Eumetazoa
AR,TRPS1,Unknown,15613454,Opisthokonta,Hominidae
AR,TSC1,Repression,21036700,Opisthokonta,Opisthokonta
AR,TSC2,Repression,21036700,Opisthokonta,Opisthokonta
AR,UCN,Repression,23801677,Opisthokonta,Opisthokonta
AR,UGT2B15,Unknown,18302198,Opisthokonta,Vertebrata
AR,USP26,Unknown,20501646,Opisthokonta,Mammalia
AR,VEGFA,Activation,16007189,Opisthokonta,Mammalia
AR,VEGFA,Unknown,23369005,Opisthokonta,Primates
AR,VIM,Repression,18535113,Opisthokonta,Hominidae
AR,WEE1,Repression,16281084,Opisthokonta,Primates
AR,WNT7B,Activation,21741601,Opisthokonta,Eumetazoa
AR,XIAP,Repression,20589722,Opisthokonta,Eumetazoa
ARID1A,CDKN1A,Unknown,21900401,Opisthokonta,Eumetazoa
ARID1A,IGH,Activation,18981111,Opisthokonta,Eukaryota
ARID1A,SMAD3,Unknown,21900401,Opisthokonta,Vertebrata
ARID1B,IGH,Activation,18981111,Opisthokonta,Eumetazoa
ARID3A,CDC6,Unknown,23659165,Opisthokonta,Vertebrata
ARID3A,CDK1,Unknown,23659165,Opisthokonta,
ARID3A,CR2,Unknown,19487031,Opisthokonta,Vertebrata
ARID3A,E2F1,Unknown,23659165,Opisthokonta,
ARID3A,PML,Activation,22010578,Opisthokonta,> Eukaryota
ARID3A,RBL1,Unknown,23659165,Eumetazoa,> Eukaryota
ARNT,AHR,Unknown,18540824,Eumetazoa,Opisthokonta
ARNT,BHLHE40,Unknown,12354771,Eumetazoa,Opisthokonta
ARNT,BRCA1,Unknown,16567799,Eumetazoa,Vertebrata
ARNT,CA9,Activation,22387692,Eumetazoa,Vertebrata
ARNT,CCNE1,Repression,21544813,Eumetazoa,Opisthokonta
ARNT,CDK2,Repression,21544813,Opisthokonta,Opisthokonta
ARNT,CTSD,Unknown,9611253,Opisthokonta,Hominidae
ARNT,CYP1A1,Activation,22387692,Opisthokonta,Eumetazoa
ARNT,CYP1A1,Unknown,12376470;19255421;19376845;8631128,Opisthokonta,> Eukaryota
ARNT,CYP1B1,Activation,16115918;19287966,Opisthokonta,Vertebrata
ARNT,CYP1B1,Unknown,12376470;19255421;19376845;21742528;24299737,Opisthokonta,Eukaryota
ARNT,EGLN2,Unknown,15178343,Opisthokonta,Eumetazoa
ARNT,EPO,Activation,8663540,Opisthokonta,Eumetazoa
ARNT,ESR1,Unknown,17991765,Opisthokonta,Eumetazoa
ARNT,FOS,Repression,21544813,Opisthokonta,Eumetazoa
ARNT,GAD1,Unknown,18335162,Opisthokonta,Vertebrata
ARNT,HIF1A,Activation,14764593,Opisthokonta,Vertebrata
ARNT,JUN,Repression,21544813,Opisthokonta,Eumetazoa
ARNT,MFSD2A,Unknown,21736709,Opisthokonta,Eukaryota
ARNT,RELB,Unknown,17900530,Opisthokonta,Eumetazoa
ARNT,UGT1A6,Unknown,20854796,Opisthokonta,Eumetazoa
ARNT,VEGFA,Unknown,16774940;19020709,Opisthokonta,Eumetazoa
ARNTL,BHLHE40,Activation,19032342,Opisthokonta,Eumetazoa
ARNTL,CRY1,Activation,22750052,Opisthokonta,Vertebrata
ARNTL,CRY1,Unknown,17660446,Opisthokonta,Hominidae
ARNTL,CRY2,Activation,22750052,Opisthokonta,Eumetazoa
ARNTL,CRY2,Unknown,17660446,Opisthokonta,Opisthokonta
ARNTL,PER1,Activation,17994337;22750052,Vertebrata,Vertebrata
ARNTL,PER1,Unknown,17660446;21479263,Vertebrata,Vertebrata
ARNTL,PER2,Activation,22750052,Vertebrata,Vertebrata
ARNTL,PER2,Unknown,17660446,Vertebrata,Vertebrata
ARNTL,PER3,Activation,22750052,Vertebrata,Vertebrata
ARNTL2,SERPINE1,Activation,22198637,Vertebrata,Vertebrata
ARX,KDM5C,Unknown,23246292,Vertebrata,Vertebrata
ARX,LMO1,Unknown,23771350,Vertebrata,Vertebrata
ARX,PAX4,Unknown,23771350,Vertebrata,Vertebrata
ARX,SHOX2,Unknown,23771350,Vertebrata,Vertebrata
ASCL1,CHRNA3,Unknown,20124469,Opisthokonta,Vertebrata
ASCL1,CHRNA5,Unknown,20124469,Vertebrata,Eumetazoa
ASCL1,CHRNB4,Unknown,20124469,Vertebrata,Vertebrata
ASCL1,DKK1,Repression,19744316,Vertebrata,Opisthokonta
ASCL1,IGF2,Repression,20842449,Vertebrata,Eumetazoa
ASCL1,PCSK6,Repression,11736660,Vertebrata,Vertebrata
ASCL1,TPH1,Repression,19744316,Vertebrata,Eumetazoa
ASH1L,TGFB1,Unknown,22488473,Vertebrata,Opisthokonta
ASH1L,TIMP1,Unknown,22488473,Vertebrata,Vertebrata
ASXL1,FABP4,Unknown,21047783,Vertebrata,Eukaryota
ATF1,BCL2,Unknown,10542244,Vertebrata,Vertebrata
ATF1,CCNA1,Repression,12044952,Vertebrata,Mammalia
ATF1,CFTR,Activation,10075672,Eukaryota,Vertebrata
ATF1,CGA,Unknown,10341006,Eukaryota,Vertebrata
ATF1,CYP11B1,Unknown,11014212;11196473,Vertebrata,Opisthokonta
ATF1,CYP11B2,Unknown,11196473,Opisthokonta,> Eukaryota
ATF1,ERBB2,Unknown,10698518,Opisthokonta,Primates
ATF1,FLT1,Unknown,7499271,Opisthokonta,Vertebrata
ATF1,FTH1,Activation,17565989,Opisthokonta,Mammalia
ATF1,FTH1,Repression,17565989,Opisthokonta,Mammalia
ATF1,GABPA,Unknown,10585419,Opisthokonta,Vertebrata
ATF1,IL10,Activation,10540320,Opisthokonta,Vertebrata
ATF1,LDHA,Unknown,9632793,Opisthokonta,Primates
ATF1,MAP1LC3B,Activation,20514020,Opisthokonta,Primates
ATF1,MITF,Activation,12966428,Opisthokonta,Opisthokonta
ATF1,MITF,Unknown,20068147,Opisthokonta,Vertebrata
ATF1,MUC2,Unknown,16227528,Opisthokonta,Vertebrata
ATF1,NTS,Unknown,7791794,Opisthokonta,Hominidae
ATF1,PCSK1,Activation,8999965,Opisthokonta,Opisthokonta
ATF1,PLAUR,Unknown,12369939,Opisthokonta,Opisthokonta
ATF1,SLC20A1,Activation,11722845,Opisthokonta,Opisthokonta
ATF1,SLC22A8,Unknown,16809478,Opisthokonta,Vertebrata
ATF1,TGFB2,Activation,11776974,Opisthokonta,Hominidae
ATF1,TH,Unknown,11108136,Opisthokonta,Vertebrata
ATF1,TOP2A,Unknown,12104051,Opisthokonta,Vertebrata
ATF1,USP7,Unknown,7642633,Opisthokonta,Vertebrata
ATF2,APOC3,Activation,9760243,Opisthokonta,Eumetazoa
ATF2,ATF3,Activation,10979959;20581861;8576171,Opisthokonta,Eukaryota
ATF2,CCND1,Activation,10464245;10915780,Opisthokonta,Vertebrata
ATF2,CDKN1A,Unknown,10506225,Opisthokonta,Eumetazoa
ATF2,CYP11B1,Unknown,11014212;11196473,Opisthokonta,Vertebrata
ATF2,CYP11B2,Unknown,11196473,Opisthokonta,Eukaryota
ATF2,DUSP1,Unknown,17681939,Opisthokonta,Amniota
ATF2,DUSP10,Unknown,17681939,Opisthokonta,Eumetazoa
ATF2,FAS,Unknown,19670268,Opisthokonta,> Eukaryota
ATF2,FASLG,Unknown,19670268;9710625,Opisthokonta,Vertebrata
ATF2,FN1,Unknown,10471826,Opisthokonta,Mammalia
ATF2,KAT5,Repression,18397884,Opisthokonta,Mammalia
ATF2,IFNB1,Activation,17496231,Opisthokonta,Vertebrata
ATF2,IFNB1,Unknown,10848607,Opisthokonta,Vertebrata
ATF2,IFNG,Activation,12836278;18641343;20006311;20304822,Opisthokonta,Vertebrata
ATF2,IMPDH2,Unknown,9278455,Opisthokonta,Eumetazoa
ATF2,INS,Activation,21278380,Opisthokonta,Eumetazoa
ATF2,INS,Unknown,10909971,Opisthokonta,Vertebrata
ATF2,ITGB8,Unknown,21878622,Opisthokonta,Vertebrata
ATF2,JUN,Activation,9502786,Opisthokonta,Vertebrata
ATF2,MAP3K1,Unknown,9710625,Opisthokonta,> Eukaryota
ATF2,MMP2,Activation,17079470;17258390,Opisthokonta,Eumetazoa
ATF2,NOS3,Repression,16497991,Opisthokonta,Hominidae
ATF2,PCK1,Activation,12453892,Opisthokonta,Hominidae
ATF2,PCK2,Unknown,11042264,Opisthokonta,Vertebrata
ATF2,PLAT,Activation,8647095,Opisthokonta,Eumetazoa
ATF2,PLAU,Unknown,10454570,Opisthokonta,> Eukaryota
ATF2,POLB,Activation,10518804,Opisthokonta,Opisthokonta
ATF2,PTGS2,Unknown,11278336;12057991,Opisthokonta,Vertebrata
ATF2,RELA,Activation,21350211,Opisthokonta,Opisthokonta
ATF2,RETN,Activation,20360975,Opisthokonta,Opisthokonta
ATF2,ST3GAL5,Activation,21699754,Opisthokonta,Hominidae
ATF2,TGFB2,Repression,1400310,Opisthokonta,Vertebrata
ATF2,TNF,Activation,10688670;10748079;10913190;20068037,Opisthokonta,Eumetazoa
ATF3,ADIPOR1,Repression,20696134,Opisthokonta,Eukaryota
ATF3,ADIPOR2,Repression,20696134,Opisthokonta,> Eukaryota
ATF3,AK4,Unknown,23002211,Opisthokonta,Vertebrata
ATF3,ASNS,Activation,12881527,Opisthokonta,Vertebrata
ATF3,ASNS,Unknown,15385533,Opisthokonta,Vertebrata
ATF3,CCL5,Unknown,10760799,Eumetazoa,Vertebrata
ATF3,CD82,Unknown,21454613,Eumetazoa,Vertebrata
ATF3,DDIT3,Activation,22753726,Eumetazoa,Hominidae
ATF3,GDF15,Activation,15670751,Eumetazoa,Hominidae
ATF3,ID1,Repression,20565867,Eumetazoa,Hominidae
ATF3,IFNG,Activation,20304822,Eumetazoa,Hominidae
ATF3,PCLAF,Unknown,19219066,Eumetazoa,Hominidae
ATF3,LDLR,Repression,21294679,Eumetazoa,Hominidae
ATF3,MMP2,Repression,11792711;15102941,Eumetazoa,Hominidae
ATF3,PENK,Unknown,7935470,Eumetazoa,Opisthokonta
ATF3,SELE,Repression,10964678,Eumetazoa,Eumetazoa
ATF3,TP53,Unknown,22991139,Eumetazoa,Hominidae
ATF4,APOE,Activation,22028770,Eumetazoa,Vertebrata
ATF4,ASNS,Activation,11960987;16164412;17276738,Eumetazoa,Opisthokonta
ATF4,ASNS,Unknown,15385533;23403946,Eumetazoa,Opisthokonta
ATF4,ATF3,Activation,16246168;21801305,Eumetazoa,Vertebrata
ATF4,ATF3,Unknown,22819556,Eumetazoa,Hominidae
ATF4,ATG5,Activation,20038797,Eumetazoa,Vertebrata
ATF4,BGLAP,Unknown,21866569,Eumetazoa,Vertebrata
ATF4,CA9,Unknown,19564335,Eumetazoa,Vertebrata
ATF4,CCL2,Unknown,16931790,Eumetazoa,Vertebrata
ATF4,CEBPB,Activation,16026328,Eumetazoa,> Eukaryota
ATF4,CHAC1,Activation,21737788,Eumetazoa,Eumetazoa
ATF4,CXCL8,Unknown,16931790,Eumetazoa,Vertebrata
ATF4,DDIT3,Activation,16246168;17276738;20020050;21044953;21966512,Eumetazoa,Opisthokonta
ATF4,DDIT3,Unknown,17455323;22691366,Eumetazoa,Vertebrata
ATF4,DDIT4,Activation,19059405;19439225,Eumetazoa,Vertebrata
ATF4,DDR2,Activation,20564243,Eumetazoa,Opisthokonta
ATF4,DISC1,Unknown,12812986,Eumetazoa,Eukaryota
ATF4,F7,Unknown,22848420,Eumetazoa,Opisthokonta
ATF4,FGF19,Activation,23205607,Eumetazoa,Opisthokonta
ATF4,FGF21,Activation,22233381,Eumetazoa,Eumetazoa
ATF4,HRK,Activation,23090478,Eumetazoa,Eumetazoa
ATF4,HSPA5,Repression,16205636,Eumetazoa,Vertebrata
ATF4,IGFBP1,Activation,16687408,Eumetazoa,Vertebrata
ATF4,IL6,Unknown,16931790,Eumetazoa,Eumetazoa
ATF4,IRF7,Repression,21148039,Eumetazoa,Mammalia
ATF4,MAP1LC3B,Activation,20038797;20514020,Eumetazoa,Eumetazoa
ATF4,MCL1,Unknown,22128141,Eumetazoa,Eukaryota
ATF4,NDC80,Activation,17822787,Eumetazoa,Vertebrata
ATF4,NUPR1,Activation,19946894,Eumetazoa,Vertebrata
ATF4,PLAU,Activation,18829529,Eumetazoa,Vertebrata
ATF4,PTGS2,Unknown,21244365,Eumetazoa,Vertebrata
ATF4,S100P,Unknown,19073601,Eumetazoa,Vertebrata
ATF4,SIGMAR1,Activation,22079628,Eumetazoa,Vertebrata
ATF4,SIRT1,Activation,22363646,Eumetazoa,Opisthokonta
ATF4,SIRT1,Repression,21801305,Eumetazoa,Eumetazoa
ATF4,SIRT2,Repression,21801305,Eumetazoa,Eumetazoa
ATF4,TNFRSF10B,Unknown,21044953,Eumetazoa,Hominidae
ATF4,TRIB3,Activation,15775988,Eumetazoa,> Eukaryota
ATF4,TRIB3,Unknown,20592469;21220698,Eumetazoa,Vertebrata
ATF4,VEGFA,Activation,15788408;18829529,Eumetazoa,> Eukaryota
ATF4,VEGFA,Unknown,18451308;22915762;23908598,Eumetazoa,Vertebrata
ATF5,BCL2,Activation,21212266,Eumetazoa,Hominidae
ATF5,CCND3,Activation,16300731,Eumetazoa,Opisthokonta
ATF5,CREB1,Activation,17140605,Eumetazoa,Vertebrata
ATF5,CYP2B6,Activation,18332083,Eumetazoa,Vertebrata
ATF5,DISC1,Unknown,12812986,Eumetazoa,Vertebrata
ATF5,EGR1,Unknown,19531563,Vertebrata,Eumetazoa
ATF5,ID1,Repression,18701499,Vertebrata,> Eukaryota
ATF5,SH2D1A,Unknown,18832568,Vertebrata,Vertebrata
ATF6,ATP2A2,Unknown,11595740,Vertebrata,Opisthokonta
ATF6,BGLAP,Unknown,22102412,Vertebrata,Eukaryota
ATF6,DDIT3,Unknown,17455323,Vertebrata,Eukaryota
ATF6,DNAJC3,Activation,12601012,Vertebrata,> Eukaryota
ATF6,HSPA5,Unknown,12713871,Vertebrata,Hominidae
ATF6,MAFA,Repression,18450959,Opisthokonta,Opisthokonta
ATF6,NR0B2,Activation,18450959,Opisthokonta,Opisthokonta
ATF6,NUCB1,Activation,17686766,Opisthokonta,Opisthokonta
ATF6,PDX1,Repression,18450959,Opisthokonta,Eumetazoa
ATF6,RTN3,Activation,17191123,Opisthokonta,Eumetazoa
ATF6,SRF,Unknown,9271374,Opisthokonta,Opisthokonta
ATF6,STARD4,Activation,16579971,Opisthokonta,Eukaryota
ATF6,WBP1,Activation,21841196,Opisthokonta,Opisthokonta
ATF6,XBP1,Unknown,20003459;24269637,Opisthokonta,Vertebrata
ATF7,ERBB2,Unknown,10698518,Opisthokonta,Vertebrata
ATF7,TAF12,Activation,15735663,Opisthokonta,Vertebrata
ATM,APLF,Unknown,18077224,Opisthokonta,Vertebrata
ATM,BAX,Activation,16214353,Opisthokonta,> Eukaryota
ATM,BCL2,Repression,16214353,Opisthokonta,> Eukaryota
ATM,CDKN1A,Unknown,12420214,Opisthokonta,Vertebrata
ATM,CFLAR,Activation,19351839,Opisthokonta,Vertebrata
ATM,CFLAR,Repression,20876284,Opisthokonta,Eukaryota
ATM,DUSP1,Activation,17178844,Opisthokonta,> Eukaryota
ATM,FAS,Activation,19502594,Opisthokonta,Hominidae
ATM,FOXM1,Activation,21518729,Opisthokonta,Eumetazoa
ATM,GADD45A,Activation,20164679,Opisthokonta,Vertebrata
ATM,IGF1R,Unknown,11172010,Opisthokonta,Vertebrata
ATM,KLRK1,Activation,19767562,Opisthokonta,Vertebrata
ATM,MCL1,Activation,20164679,Opisthokonta,Eukaryota
ATM,MTF1,Unknown,12926986,Opisthokonta,Opisthokonta
ATM,PBK,Unknown,15220931,Opisthokonta,Vertebrata
ATM,PCNA,Unknown,22362778,Opisthokonta,Eumetazoa
ATM,PMAIP1,Repression,20368352,Opisthokonta,Vertebrata
ATM,PVR,Activation,21406724,Opisthokonta,Mammalia
ATM,PVR,Repression,21406724,Opisthokonta,Vertebrata
ATM,SLC2A1,Repression,20676049,Opisthokonta,Opisthokonta
ATM,SP1,Repression,11466608,Opisthokonta,Opisthokonta
ATM,SP1,Unknown,12926986,Opisthokonta,Vertebrata
ATM,TERF1,Repression,17694070,Opisthokonta,Opisthokonta
ATM,TNFRSF10B,Repression,19351839,Opisthokonta,Opisthokonta
ATM,VEGFA,Repression,20676049,Opisthokonta,Vertebrata
ATOH1,HES6,Activation,17826772,Opisthokonta,Vertebrata
ATOH1,MUC2,Activation,17000673,Opisthokonta,Eumetazoa
ATRX,HBA1,Repression,7697714,Opisthokonta,Vertebrata
ATRX,HBA2,Repression,7697714,Opisthokonta,Vertebrata
BACH1,HMOX1,Activation,17942419,Opisthokonta,Vertebrata
