ensembl_id,gene_age,gene_Interval
ENSMUSG00000116166,62,55-70
ENSMUSG00000118522,1,0-3
ENSMUSG00000094840,86,82-90
ENSMUSG00000079165,86,82-90
ENSMUSG00000049041,382,352-413
ENSMUSG00000047444,77,73-82
ENSMUSG00000043692,382,352-413
ENSMUSG00000064057,244,177-312
ENSMUSG00000095737,24,21-29
ENSMUSG00000076523,5,3-7
ENSMUSG00000076522,5,3-7
ENSMUSG00000106403,77,73-82
ENSMUSG00000058741,77,73-82
ENSMUSG00000002083,77,73-82
ENSMUSG00000091811,77,73-82
ENSMUSG00000042712,101,96-105
ENSMUSG00000090122,382,352-413
ENSMUSG00000040456,382,352-413
ENSMUSG00000028460,382,352-413
ENSMUSG00000096646,5,3-7
ENSMUSG00000093996,168,159-177
ENSMUSG00000079774,168,159-177
ENSMUSG00000095207,168,159-177
ENSMUSG00000094576,5,3-7
ENSMUSG00000078721,168,159-177
ENSMUSG00000078746,168,159-177
ENSMUSG00000095552,5,3-7
ENSMUSG00000094066,168,159-177
ENSMUSG00000096237,5,3-7
ENSMUSG00000078722,5,3-7
ENSMUSG00000027919,8,7-8
ENSMUSG00000068889,5,3-7
ENSMUSG00000032595,454,435-473
ENSMUSG00000022941,454,435-473
ENSMUSG00000048281,454,435-473
ENSMUSG00000097919,244,177-312
ENSMUSG00000043687,244,177-312
ENSMUSG00000067430,50,45-55
ENSMUSG00000025481,544,473-615
ENSMUSG00000007457,544,473-615
ENSMUSG00000028991,1714,1660-1768
ENSMUSG00000028989,544,473-615
ENSMUSG00000041936,645,615-676
ENSMUSG00000110404,5,3-7
ENSMUSG00000007379,645,615-676
ENSMUSG00000070385,1934,1768-2101
ENSMUSG00000068823,1934,1768-2101
ENSMUSG00000027854,987,952-1023
ENSMUSG00000028747,424,413-435
ENSMUSG00000041143,424,413-435
ENSMUSG00000042116,544,473-615
ENSMUSG00000027652,544,473-615
ENSMUSG00000039621,680,676-684
ENSMUSG00000016346,544,473-615
ENSMUSG00000027577,645,615-676
ENSMUSG00000027582,987,952-1023
ENSMUSG00000027650,987,952-1023
ENSMUSG00000037843,950,948-952
ENSMUSG00000027649,950,948-952
ENSMUSG00000027490,1934,1768-2101
ENSMUSG00000059842,1934,1768-2101
ENSMUSG00000027598,544,473-615
ENSMUSG00000022479,810,797-824
ENSMUSG00000022475,454,435-473
ENSMUSG00000030086,454,435-473
ENSMUSG00000030084,544,473-615
ENSMUSG00000056643,645,615-676
ENSMUSG00000030089,987,952-1023
ENSMUSG00000030087,886,824-948
ENSMUSG00000030270,1714,1660-1768
ENSMUSG00000042873,645,615-676
ENSMUSG00000053646,987,952-1023
ENSMUSG00000037003,680,676-684
ENSMUSG00000052369,680,676-684
ENSMUSG00000068739,>4290,>4290
ENSMUSG00000001962,1578,1496-1660
ENSMUSG00000038246,1578,1496-1660
ENSMUSG00000031389,645,615-676
ENSMUSG00000022516,886,824-948
ENSMUSG00000032566,886,824-948
ENSMUSG00000032565,39,33-45
ENSMUSG00000027610,39,33-45
ENSMUSG00000047517,1,0-3
ENSMUSG00000006676,645,615-676
ENSMUSG00000052911,645,615-676
ENSMUSG00000017300,950,948-952
ENSMUSG00000048100,1578,1496-1660
ENSMUSG00000050213,1714,1660-1768
ENSMUSG00000093752,>4290,>4290
ENSMUSG00000078919,>4290,>4290
ENSMUSG00000051149,645,615-676
ENSMUSG00000044641,987,952-1023
ENSMUSG00000074582,>4290,>4290
ENSMUSG00000007659,987,952-1023
ENSMUSG00000009876,950,948-952
ENSMUSG00000027459,680,676-684
ENSMUSG00000027455,1934,1768-2101
ENSMUSG00000027456,332,312-352
ENSMUSG00000027457,645,615-676
ENSMUSG00000027568,645,615-676
ENSMUSG00000038963,680,676-684
ENSMUSG00000015627,544,473-615
ENSMUSG00000038980,645,615-676
ENSMUSG00000003283,645,615-676
ENSMUSG00000068040,1578,1496-1660
ENSMUSG00000046229,168,159-177
ENSMUSG00000033961,168,159-177
ENSMUSG00000058638,132,105-159
ENSMUSG00000021514,132,105-159
ENSMUSG00000058028,39,33-45
ENSMUSG00000030757,168,159-177
ENSMUSG00000025602,244,177-312
ENSMUSG00000070822,93,90-96
ENSMUSG00000100512,168,159-177
ENSMUSG00000040321,332,312-352
ENSMUSG00000002265,132,105-159
ENSMUSG00000051413,454,435-473
ENSMUSG00000022987,244,177-312
ENSMUSG00000054939,132,105-159
ENSMUSG00000050619,244,177-312
ENSMUSG00000018347,168,159-177
ENSMUSG00000020472,168,159-177
ENSMUSG00000044876,132,105-159
ENSMUSG00000019817,244,177-312
ENSMUSG00000046020,244,177-312
ENSMUSG00000027475,1714,1660-1768
ENSMUSG00000027589,645,615-676
ENSMUSG00000010505,680,676-684
ENSMUSG00000042203,645,615-676
ENSMUSG00000011427,39,33-45
ENSMUSG00000063047,24,21-29
ENSMUSG00000031374,987,952-1023
ENSMUSG00000070495,332,312-352
ENSMUSG00000025821,987,952-1023
ENSMUSG00000045598,168,159-177
ENSMUSG00000067942,987,952-1023
ENSMUSG00000078580,987,952-1023
ENSMUSG00000045757,987,952-1023
ENSMUSG00000048921,987,952-1023
ENSMUSG00000045251,987,952-1023
ENSMUSG00000061701,5,3-7
ENSMUSG00000038346,454,435-473
ENSMUSG00000024429,>4290,>4290
ENSMUSG00000003534,454,435-473
ENSMUSG00000059714,950,948-952
ENSMUSG00000001525,544,473-615
ENSMUSG00000061607,987,952-1023
ENSMUSG00000030689,987,952-1023
ENSMUSG00000007029,680,676-684
ENSMUSG00000007036,>4290,>4290
ENSMUSG00000040511,132,105-159
ENSMUSG00000053559,454,435-473
ENSMUSG00000062300,680,676-684
ENSMUSG00000053182,86,82-90
ENSMUSG00000116542,5,3-7
ENSMUSG00000071552,454,435-473
ENSMUSG00000038094,>4290,>4290
ENSMUSG00000048939,>4290,>4290
ENSMUSG00000030302,886,824-948
ENSMUSG00000034112,>4290,>4290
ENSMUSG00000003380,>4290,>4290
ENSMUSG00000054499,454,435-473
ENSMUSG00000008496,454,435-473
ENSMUSG00000040857,886,824-948
ENSMUSG00000005442,950,948-952
ENSMUSG00000046541,424,413-435
ENSMUSG00000057177,>4290,>4290
ENSMUSG00000052763,332,312-352
ENSMUSG00000054893,132,105-159
ENSMUSG00000003378,950,948-952
ENSMUSG00000049848,645,615-676
ENSMUSG00000005447,454,435-473
ENSMUSG00000063651,987,952-1023
ENSMUSG00000050232,454,435-473
ENSMUSG00000045039,645,615-676
ENSMUSG00000040940,987,952-1023
ENSMUSG00000003379,454,435-473
ENSMUSG00000003123,454,435-473
ENSMUSG00000043843,1064,1023-1105
ENSMUSG00000030879,1064,1023-1105
ENSMUSG00000022637,645,615-676
ENSMUSG00000053175,886,824-948
ENSMUSG00000002984,1934,1768-2101
ENSMUSG00000001247,454,435-473
ENSMUSG00000036634,544,473-615
ENSMUSG00000030468,544,473-615
ENSMUSG00000030474,544,473-615
ENSMUSG00000004609,544,473-615
ENSMUSG00000039013,544,473-615
ENSMUSG00000051504,39,33-45
ENSMUSG00000074277,454,435-473
ENSMUSG00000064254,950,948-952
ENSMUSG00000032259,680,676-684
ENSMUSG00000051768,645,615-676
ENSMUSG00000118560,454,435-473
ENSMUSG00000107482,>4290,>4290
ENSMUSG00000004610,>4290,>4290
ENSMUSG00000058239,645,615-676
ENSMUSG00000013367,454,435-473
ENSMUSG00000019429,645,615-676
ENSMUSG00000051314,645,615-676
ENSMUSG00000028842,332,312-352
ENSMUSG00000041530,544,473-615
ENSMUSG00000012117,544,473-615
ENSMUSG00000108398,544,473-615
ENSMUSG00000050105,680,676-684
ENSMUSG00000028854,1934,1768-2101
ENSMUSG00000037306,454,435-473
ENSMUSG00000037157,332,312-352
ENSMUSG00000022971,332,312-352
ENSMUSG00000020009,424,413-435
ENSMUSG00000037139,950,948-952
ENSMUSG00000028675,680,676-684
ENSMUSG00000062585,454,435-473
ENSMUSG00000023075,544,473-615
ENSMUSG00000043333,>4290,>4290
ENSMUSG00000028647,>4290,>4290
ENSMUSG00000028278,1714,1660-1768
ENSMUSG00000028646,1714,1660-1768
ENSMUSG00000090125,950,948-952
ENSMUSG00000093668,77,73-82
ENSMUSG00000024406,950,948-952
ENSMUSG00000028907,950,948-952
ENSMUSG00000032643,886,824-948
ENSMUSG00000028871,645,615-676
ENSMUSG00000028869,>4290,>4290
ENSMUSG00000042707,>4290,>4290
ENSMUSG00000028862,645,615-676
ENSMUSG00000028849,645,615-676
ENSMUSG00000043962,645,615-676
ENSMUSG00000073758,1488,1480-1496
ENSMUSG00000050212,645,615-676
ENSMUSG00000042608,987,952-1023
ENSMUSG00000042616,987,952-1023
ENSMUSG00000028861,987,952-1023
ENSMUSG00000028859,454,435-473
ENSMUSG00000001985,950,948-952
ENSMUSG00000042677,680,676-684
ENSMUSG00000028894,1934,1768-2101
ENSMUSG00000028890,1578,1496-1660
ENSMUSG00000096036,5,3-7
ENSMUSG00000094081,5,3-7
ENSMUSG00000094484,5,3-7
ENSMUSG00000093927,5,3-7
ENSMUSG00000093848,5,3-7
ENSMUSG00000096898,5,3-7
ENSMUSG00000094660,5,3-7
ENSMUSG00000103468,5,3-7
ENSMUSG00000094773,5,3-7
ENSMUSG00000093903,5,3-7
ENSMUSG00000096666,5,3-7
ENSMUSG00000095032,5,3-7
ENSMUSG00000096686,5,3-7
ENSMUSG00000094838,5,3-7
ENSMUSG00000095267,5,3-7
ENSMUSG00000079806,5,3-7
ENSMUSG00000095867,5,3-7
ENSMUSG00000095302,5,3-7
ENSMUSG00000091077,5,3-7
ENSMUSG00000099550,5,3-7
ENSMUSG00000021395,544,473-615
ENSMUSG00000020331,987,952-1023
ENSMUSG00000035890,645,615-676
ENSMUSG00000011306,645,615-676
ENSMUSG00000003068,>4290,>4290
ENSMUSG00000035640,>4290,>4290
ENSMUSG00000036199,>4290,>4290
ENSMUSG00000036180,950,948-952
ENSMUSG00000002343,950,948-952
ENSMUSG00000002346,645,615-676
ENSMUSG00000002341,645,615-676
ENSMUSG00000036151,680,676-684
ENSMUSG00000038170,886,824-948
ENSMUSG00000043541,886,824-948
ENSMUSG00000038205,544,473-615
ENSMUSG00000040339,987,952-1023
ENSMUSG00000045326,544,473-615
ENSMUSG00000049565,680,676-684
ENSMUSG00000040389,680,676-684
ENSMUSG00000041570,544,473-615
ENSMUSG00000026270,1714,1660-1768
ENSMUSG00000026254,>4290,>4290
ENSMUSG00000032377,680,676-684
ENSMUSG00000019461,680,676-684
ENSMUSG00000026253,454,435-473
ENSMUSG00000095577,24,21-29
ENSMUSG00000036480,544,473-615
ENSMUSG00000094113,24,21-29
ENSMUSG00000072889,987,952-1023
ENSMUSG00000046613,1714,1660-1768
ENSMUSG00000033809,1714,1660-1768
ENSMUSG00000051146,544,473-615
ENSMUSG00000115219,5,3-7
ENSMUSG00000041205,544,473-615
ENSMUSG00000041215,1064,1023-1105
ENSMUSG00000043008,987,952-1023
ENSMUSG00000026273,987,952-1023
ENSMUSG00000026274,987,952-1023
ENSMUSG00000027827,>4290,>4290
ENSMUSG00000027763,645,615-676
ENSMUSG00000004364,1934,1768-2101
ENSMUSG00000054702,454,435-473
ENSMUSG00000050711,454,435-473
ENSMUSG00000032883,>4290,>4290
ENSMUSG00000004872,544,473-615
ENSMUSG00000032537,645,615-676
ENSMUSG00000034220,645,615-676
ENSMUSG00000054976,645,615-676
ENSMUSG00000022523,680,676-684
ENSMUSG00000033918,1578,1496-1660
ENSMUSG00000027963,544,473-615
ENSMUSG00000040423,680,676-684
ENSMUSG00000033722,544,473-615
ENSMUSG00000028717,645,615-676
ENSMUSG00000027788,886,824-948
ENSMUSG00000027784,645,615-676
ENSMUSG00000027776,645,615-676
ENSMUSG00000027777,645,615-676
ENSMUSG00000102422,645,615-676
ENSMUSG00000075700,645,615-676
ENSMUSG00000028681,1578,1496-1660
ENSMUSG00000028683,>4290,>4290
ENSMUSG00000028680,645,615-676
ENSMUSG00000014226,645,615-676
ENSMUSG00000058267,645,615-676
ENSMUSG00000015829,645,615-676
ENSMUSG00000032531,544,473-615
ENSMUSG00000000731,544,473-615
ENSMUSG00000032549,382,352-413
ENSMUSG00000049515,645,615-676
ENSMUSG00000014602,645,615-676
ENSMUSG00000026272,>4290,>4290
ENSMUSG00000026279,>4290,>4290
ENSMUSG00000026278,987,952-1023
ENSMUSG00000006390,544,473-615
ENSMUSG00000006398,1934,1768-2101
ENSMUSG00000026275,14,8-21
ENSMUSG00000053774,1714,1660-1768
ENSMUSG00000032496,645,615-676
ENSMUSG00000050821,645,615-676
ENSMUSG00000044664,132,105-159
ENSMUSG00000058398,14,8-21
ENSMUSG00000032493,950,948-952
ENSMUSG00000048752,132,105-159
ENSMUSG00000056399,244,177-312
ENSMUSG00000047884,168,159-177
ENSMUSG00000090658,168,159-177
ENSMUSG00000026125,168,159-177
ENSMUSG00000037529,168,159-177
ENSMUSG00000049719,93,90-96
ENSMUSG00000049620,244,177-312
ENSMUSG00000050762,950,948-952
ENSMUSG00000055193,244,177-312
ENSMUSG00000020323,950,948-952
ENSMUSG00000030695,1934,1768-2101
ENSMUSG00000063129,1934,1768-2101
ENSMUSG00000059343,1934,1768-2101
ENSMUSG00000002844,645,615-676
ENSMUSG00000030738,645,615-676
ENSMUSG00000036892,1934,1768-2101
ENSMUSG00000030699,987,952-1023
ENSMUSG00000026036,987,952-1023
ENSMUSG00000005649,454,435-473
ENSMUSG00000059981,454,435-473
ENSMUSG00000030678,645,615-676
ENSMUSG00000058966,645,615-676
ENSMUSG00000107068,454,435-473
ENSMUSG00000092534,454,435-473
ENSMUSG00000030680,454,435-473
ENSMUSG00000030677,454,435-473
ENSMUSG00000045114,454,435-473
ENSMUSG00000052301,454,435-473
ENSMUSG00000032637,454,435-473
ENSMUSG00000032342,454,435-473
ENSMUSG00000025008,680,676-684
ENSMUSG00000042275,680,676-684
ENSMUSG00000023909,886,824-948
ENSMUSG00000027233,1578,1496-1660
ENSMUSG00000030782,454,435-473
ENSMUSG00000055839,645,615-676
ENSMUSG00000023908,645,615-676
ENSMUSG00000044134,645,615-676
ENSMUSG00000049687,454,435-473
ENSMUSG00000030672,454,435-473
ENSMUSG00000038208,454,435-473
ENSMUSG00000062312,645,615-676
ENSMUSG00000038319,987,952-1023
ENSMUSG00000001983,987,952-1023
ENSMUSG00000006575,454,435-473
ENSMUSG00000038893,950,948-952
ENSMUSG00000029632,645,615-676
ENSMUSG00000036672,645,615-676
ENSMUSG00000058005,5,3-7
ENSMUSG00000094084,1,0-3
ENSMUSG00000090268,1,0-3
ENSMUSG00000096879,1,0-3
ENSMUSG00000094328,1,0-3
ENSMUSG00000094163,1,0-3
ENSMUSG00000095822,1,0-3
ENSMUSG00000103362,5,3-7
ENSMUSG00000089696,1,0-3
ENSMUSG00000060256,1,0-3
ENSMUSG00000095251,1,0-3
ENSMUSG00000057522,1714,1660-1768
ENSMUSG00000103350,1,0-3
ENSMUSG00000068879,5,3-7
ENSMUSG00000074424,1,0-3
ENSMUSG00000046719,645,615-676
ENSMUSG00000000120,645,615-676
ENSMUSG00000006574,680,676-684
ENSMUSG00000059995,950,948-952
ENSMUSG00000078619,544,473-615
ENSMUSG00000020708,>4290,>4290
ENSMUSG00000052373,987,952-1023
ENSMUSG00000041483,544,473-615
ENSMUSG00000020936,>4290,>4290
ENSMUSG00000064307,>4290,>4290
ENSMUSG00000052613,645,615-676
ENSMUSG00000024998,810,797-824
ENSMUSG00000044026,645,615-676
ENSMUSG00000036560,244,177-312
ENSMUSG00000026961,244,177-312
ENSMUSG00000067242,645,615-676
ENSMUSG00000033777,14,8-21
ENSMUSG00000037095,168,159-177
ENSMUSG00000054237,1714,1660-1768
ENSMUSG00000024992,>4290,>4290
ENSMUSG00000024990,>4290,>4290
ENSMUSG00000024989,>4290,>4290
ENSMUSG00000041014,544,473-615
ENSMUSG00000025089,645,615-676
ENSMUSG00000054843,645,615-676
ENSMUSG00000025083,680,676-684
ENSMUSG00000025082,645,615-676
ENSMUSG00000025081,645,615-676
ENSMUSG00000035173,645,615-676
ENSMUSG00000035283,680,676-684
ENSMUSG00000025078,680,676-684
ENSMUSG00000025077,645,615-676
ENSMUSG00000035818,332,312-352
ENSMUSG00000036334,987,952-1023
ENSMUSG00000027761,1064,1023-1105
ENSMUSG00000027762,645,615-676
ENSMUSG00000027765,645,615-676
ENSMUSG00000036894,454,435-473
ENSMUSG00000036885,886,824-948
ENSMUSG00000027770,1578,1496-1660
ENSMUSG00000043441,645,615-676
ENSMUSG00000027820,680,676-684
ENSMUSG00000036834,680,676-684
ENSMUSG00000048581,680,676-684
ENSMUSG00000022897,>4290,>4290
ENSMUSG00000022636,544,473-615
ENSMUSG00000039361,1714,1660-1768
ENSMUSG00000031969,1714,1660-1768
ENSMUSG00000035443,1714,1660-1768
ENSMUSG00000031988,>4290,>4290
ENSMUSG00000032268,950,948-952
ENSMUSG00000000167,987,952-1023
ENSMUSG00000030600,544,473-615
ENSMUSG00000109336,5,3-7
ENSMUSG00000003437,5,3-7
ENSMUSG00000038335,>4290,>4290
ENSMUSG00000043099,544,473-615
ENSMUSG00000078789,>4290,>4290
ENSMUSG00000045374,>4290,>4290
ENSMUSG00000040543,645,615-676
ENSMUSG00000107877,645,615-676
ENSMUSG00000020807,645,615-676
ENSMUSG00000020803,645,615-676
ENSMUSG00000017286,1714,1660-1768
ENSMUSG00000010277,1714,1660-1768
ENSMUSG00000018379,544,473-615
ENSMUSG00000020679,680,676-684
ENSMUSG00000034940,680,676-684
ENSMUSG00000018651,987,952-1023
ENSMUSG00000017386,886,824-948
ENSMUSG00000019437,645,615-676
ENSMUSG00000002059,544,473-615
ENSMUSG00000047248,544,473-615
ENSMUSG00000051048,950,948-952
ENSMUSG00000029433,950,948-952
ENSMUSG00000030888,950,948-952
ENSMUSG00000037032,645,615-676
ENSMUSG00000052516,645,615-676
ENSMUSG00000030987,987,952-1023
ENSMUSG00000026641,987,952-1023
ENSMUSG00000032126,987,952-1023
ENSMUSG00000032096,987,952-1023
ENSMUSG00000048537,680,676-684
ENSMUSG00000020716,1488,1480-1496
ENSMUSG00000018378,1488,1480-1496
ENSMUSG00000018428,1488,1480-1496
ENSMUSG00000058173,1488,1480-1496
ENSMUSG00000017376,>4290,>4290
ENSMUSG00000032109,544,473-615
ENSMUSG00000026255,987,952-1023
ENSMUSG00000079436,645,615-676
ENSMUSG00000017677,680,676-684
ENSMUSG00000017453,680,676-684
ENSMUSG00000037791,987,952-1023
ENSMUSG00000059439,987,952-1023
ENSMUSG00000000094,987,952-1023
ENSMUSG00000034329,>4290,>4290
ENSMUSG00000018481,544,473-615
ENSMUSG00000000804,645,615-676
ENSMUSG00000037278,645,615-676
ENSMUSG00000004798,544,473-615
ENSMUSG00000010025,>4290,>4290
ENSMUSG00000034118,886,824-948
ENSMUSG00000038351,645,615-676
ENSMUSG00000017615,1064,1023-1105
ENSMUSG00000001105,1064,1023-1105
ENSMUSG00000072640,1064,1023-1105
ENSMUSG00000049313,1578,1496-1660
ENSMUSG00000047412,544,473-615
ENSMUSG00000031994,454,435-473
ENSMUSG00000039016,454,435-473
ENSMUSG00000000171,454,435-473
ENSMUSG00000039217,454,435-473
ENSMUSG00000002769,454,435-473
ENSMUSG00000016200,544,473-615
ENSMUSG00000029596,454,435-473
ENSMUSG00000021182,1064,1023-1105
ENSMUSG00000047415,645,615-676
ENSMUSG00000021185,645,615-676
ENSMUSG00000037669,645,615-676
ENSMUSG00000044456,987,952-1023
ENSMUSG00000038300,987,952-1023
ENSMUSG00000020673,987,952-1023
ENSMUSG00000020672,950,948-952
ENSMUSG00000037270,950,948-952
ENSMUSG00000028300,950,948-952
ENSMUSG00000045083,645,615-676
ENSMUSG00000028156,645,615-676
ENSMUSG00000005813,645,615-676
ENSMUSG00000074207,454,435-473
ENSMUSG00000037797,454,435-473
ENSMUSG00000028138,454,435-473
ENSMUSG00000074206,5,3-7
ENSMUSG00000024227,544,473-615
ENSMUSG00000005873,645,615-676
ENSMUSG00000015289,544,473-615
ENSMUSG00000079532,544,473-615
ENSMUSG00000079536,544,473-615
ENSMUSG00000031181,544,473-615
ENSMUSG00000014813,680,676-684
ENSMUSG00000031565,886,824-948
ENSMUSG00000023307,886,824-948
ENSMUSG00000025228,1714,1660-1768
ENSMUSG00000079941,645,615-676
ENSMUSG00000061518,645,615-676
ENSMUSG00000020476,645,615-676
ENSMUSG00000035273,544,473-615
ENSMUSG00000022092,454,435-473
ENSMUSG00000022099,645,615-676
ENSMUSG00000031226,645,615-676
ENSMUSG00000022100,1714,1660-1768
ENSMUSG00000022103,645,615-676
ENSMUSG00000006273,987,952-1023
ENSMUSG00000030002,645,615-676
ENSMUSG00000055799,544,473-615
ENSMUSG00000035266,987,952-1023
ENSMUSG00000029314,>4290,>4290
ENSMUSG00000035187,987,952-1023
ENSMUSG00000062328,>4290,>4290
ENSMUSG00000090451,39,33-45
ENSMUSG00000070056,645,615-676
ENSMUSG00000062991,645,615-676
ENSMUSG00000047789,950,948-952
ENSMUSG00000049184,454,435-473
ENSMUSG00000031897,454,435-473
ENSMUSG00000029177,>4290,>4290
ENSMUSG00000024472,>4290,>4290
ENSMUSG00000034653,950,948-952
ENSMUSG00000093930,>4290,>4290
ENSMUSG00000028465,987,952-1023
ENSMUSG00000028464,5,3-7
ENSMUSG00000035392,544,473-615
ENSMUSG00000026749,544,473-615
ENSMUSG00000026750,645,615-676
ENSMUSG00000026751,810,797-824
ENSMUSG00000038740,810,797-824
ENSMUSG00000038696,810,797-824
ENSMUSG00000029419,810,797-824
ENSMUSG00000050875,645,615-676
ENSMUSG00000024597,1292,1105-1480
ENSMUSG00000052488,1292,1105-1480
ENSMUSG00000039552,987,952-1023
ENSMUSG00000040866,987,952-1023
ENSMUSG00000041168,1934,1768-2101
ENSMUSG00000027959,1934,1768-2101
ENSMUSG00000055053,987,952-1023
