Tf,distance
YBR210W,Saccharomycetaceae
YBR211C,Saccharomycetaceae
YBR212W,Fungi
YBR213W,Fungi
YBR214W,Fungi
YBR216C,Saccharomyceta
YBR217W,Saccharomyceta
YBR218C,Dikarya
YBR221C,Ascomycota
YBR222C,Ascomycota
YBR223C,Ascomycota
YBR225W,Ascomycota
YBR227C,Ascomycota
YBR228W,Ascomycota
YBR229C,Ascomycota
YBR230C,Ascomycota
YBR231C,Ascomycota
YBR234C,Ascomycota
YBR235W,Ascomycota
YBR236C,Ascomycota
YOR027W,Eukaryota
YOR028C,Saccharomycetaceae
YOR030W,Saccharomycetaceae
YOR032C,Saccharomycetaceae
YOR038C,Ascomycota
YOR039W,Eukaryota
YOR042W,Ascomycota
YOR043W,Ascomycota
YOR045W,Ascomycota
YOR047C,Saccharomyceta
YOR048C,Ascomycota
YOR049C,Ascomycota
YOR052C,Ascomycota
YOR054C,Ascomycota
YOR056C,Ascomycota
YOR057W,Ascomycota
YOR058C,Ascomycota
YOR060C,Ascomycota
YOR061W,Saccharomyceta
YOR064C,Saccharomyces
YOR065W,Saccharomyces
YOR066W,Saccharomyces
YOR067C,Ascomycota
YOR070C,Eukaryota
YOR071C,Ascomycota
YOR073W,Saccharomyces
YOR074C,Saccharomyces
YOR075W,Saccharomyces
YOR077W,Saccharomyces
YOR078W,Saccharomyces
YOR084W,Fungi
YOR086C,Eukaryota
YOR087W,Eukaryota
YOR090C,Eukaryota
YOR091W,Eukaryota
YOR092W,Ascomycota
YOR093C,Ascomycota
YOR094W,Fungi
YOR095C,Fungi
YOR096W,Ascomycota
YOR097C,Ascomycota
YOR098C,Ascomycota
YOR099W,Ascomycota
YOR100C,Dikarya
YOR101W,Fungi
YOR107W,Ascomycota
YOR108W,Ascomycota
YOR112W,Fungi
YOR113W,Fungi
YOR115C,Fungi
YOR116C,> Eukaryota
YOR117W,> Eukaryota
YOR119C,> Eukaryota
YOR120W,Dikarya
YOR122C,Dikarya
YOR124C,Dikarya
YOR128C,Fungi
YOR129C,Fungi
YOR130C,Fungi
YOR134W,Saccharomyces
YOR136W,Saccharomycetaceae
YOR138C,Saccharomycetaceae
YOR140W,Ascomycota
YNR051C,Ascomycota
YNR054C,> Eukaryota
YNR055C,> Eukaryota
YNR057C,> Eukaryota
YNR058W,> Eukaryota
YNR059W,Saccharomyces
YNR060W,Saccharomyces
YNR062C,Saccharomyces
YNR063W,Saccharomyces
YNR067C,Saccharomyces
YNR068C,Saccharomyces
YNR069C,Saccharomyces
YNR070W,Saccharomyceta
YNR071C,Saccharomyces
YNR072W,Saccharomyces
YNR076W,Saccharomycetaceae
YOL165C,Saccharomyces
YOL164W,Saccharomyces
YOL161C,Saccharomycetaceae
YOL158C,Saccharomyces
YOL157C,Saccharomyces
YOL156W,Saccharomyceta
YOL155C,Saccharomyces
YOL154W,Saccharomyces
YOL152W,Saccharomyces
YOL151W,Saccharomyceta
YOL148C,Saccharomyceta
YOL147C,Saccharomyceta
YOL146W,Saccharomyceta
YOL145C,Saccharomyceta
YOL144W,Saccharomyceta
YOL140W,Eukaryota
YOL139C,Eukaryota
YOL138C,Eukaryota
YOL137W,Eukaryota
YOL136C,Eukaryota
YOL135C,Eukaryota
YOL133W,Fungi
YOL132W,Fungi
YOL030W,Ascomycota
YOL128C,Saccharomyces
YOL127W,Saccharomyces
YOL126C,Saccharomycetaceae
YOL125W,Saccharomycetaceae
YOL124C,Saccharomycetaceae
YOL123W,Fungi
YOL122C,Ascomycota
YOL121C,Ascomycota
YOL120C,Ascomycota
YOL119C,Ascomycota
YOL117W,Ascomycota
YOL116W,Saccharomycetaceae
YOL115W,Eukaryota
YOL114C,Eukaryota
YOL113W,Saccharomyces
YOL112W,Ascomycota
YOL108C,Ascomycota
YOL107W,Ascomycota
YOL105C,Saccharomyceta
YOL104C,Saccharomyceta
YOL102C,Dikarya
YOL101C,Dikarya
YOL100W,Dikarya
YOL095C,Saccharomyceta
YOL092W,Saccharomyceta
YOL089C,Saccharomyceta
YOL086C,Dikarya
YCR097W,Dikarya
YCR098C,Saccharomyces
YCR100C,Saccharomyces
YCR102C,Ascomycota
YCR104W,Saccharomycetaceae
YCR105W,Ascomycota
YCR106W,Saccharomycetaceae
YCR107W,Saccharomyces
YDL247W,Saccharomyces
YDL246C,Saccharomyces
YDL245C,Saccharomyces
YDL244W,Fungi
YDL243C,Saccharomyces
YDL240W,Saccharomyces
YDL239C,Saccharomycetaceae
YDL238C,Saccharomycetaceae
YDL237W,Saccharomycetaceae
YDL236W,Saccharomycetaceae
YDL234C,Eukaryota
YDL233W,Eukaryota
YDL231C,Saccharomycetaceae
YDL230W,Dikarya
YDL229W,> Eukaryota
YDL227C,Saccharomyces
YDL226C,Fungi
YDL225W,Saccharomycetaceae
YDL224C,Fungi
YDL223C,Saccharomycetaceae
YDL218W,Ascomycota
YDL216C,Eukaryota
YDL215C,Eukaryota
YDL214C,Fungi
YDL025C,Fungi
YDL213C,Fungi
YDL212W,Fungi
YDL211C,Saccharomycetaceae
YDL210W,Saccharomycetaceae
YDL209C,Saccharomycetaceae
YDL208W,> Eukaryota
YDL206W,Opisthokonta
YDL205C,Opisthokonta
YDL204W,Ascomycota
YDL198C,Ascomycota
YDL193W,Dikarya
YDL192W,Eukaryota
YDL137W,Eukaryota
YDL191W,> Eukaryota
YDL136W,> Eukaryota
YDL190C,> Eukaryota
YDL189W,> Eukaryota
YDL188C,Ascomycota
YDL134C,Ascomycota
YDL186W,Ascomycota
YDL185W,> Eukaryota
YDL184C,Saccharomycetaceae
YDL183C,Saccharomycetaceae
YDL182W,Fungi
YDL181W,Ascomycota
YDL180W,Ascomycota
YDL179W,Fungi
YDL127W,Fungi
YDL177C,Saccharomycetaceae
YDL176W,Saccharomycetaceae
YDL175C,Dikarya
YDL174C,Dikarya
YDL171C,Dikarya
YDL170W,Dikarya
YDL169C,Dikarya
YDL168W,Dikarya
YDL167C,Dikarya
YDL164C,Dikarya
YDL161W,Ascomycota
YDL160C,> Eukaryota
YDL084W,> Eukaryota
YDL159W,Fungi
YDL157C,Fungi
YDL156W,Fungi
YDL155W,Dikarya
YDL154W,Saccharomycetaceae
YDL149W,Saccharomycetaceae
YDL148C,Saccharomycetaceae
YDL147W,Saccharomycetaceae
YDL146W,Saccharomycetaceae
YDL145C,> Eukaryota
YDL144C,> Eukaryota
YDL143W,> Eukaryota
YDL142C,> Eukaryota
YDL141W,> Eukaryota
YDL140C,> Eukaryota
YDL135C,> Eukaryota
YDL133W,> Eukaryota
YDL130W,Saccharomyceta
YDL129W,Eukaryota
YDL128W,Eukaryota
YDL126C,Fungi
YDL125C,Fungi
YDL124W,Fungi
YDL122W,Eukaryota
YDL121C,Eukaryota
YDL120W,Eukaryota
YDL119C,Fungi
YDL117W,Fungi
YDL116W,Fungi
YDL115C,Fungi
YDL114W,Fungi
YDL113C,Ascomycota
YDL112W,Ascomycota
YDL110C,Ascomycota
YDL107W,Ascomycota
YDL106C,Ascomycota
YDL105W,Ascomycota
YDL104C,Eukaryota
YDL102W,> Eukaryota
YDL101C,Ascomycota
YDL097C,Ascomycota
YDL095W,Fungi
YDL093W,Fungi
YDL092W,Fungi
YDL091C,Ascomycota
YDL090C,> Eukaryota
YDL089W,> Eukaryota
YDL088C,Ascomycota
YDL085W,Ascomycota
YDL083C,Ascomycota
YDL082W,Ascomycota
YDL080C,Ascomycota
YDL078C,Saccharomycetaceae
YDL076C,Saccharomycetaceae
YDL075W,Ascomycota
YDL074C,Ascomycota
YDL073W,Ascomycota
YDL072C,Eukaryota
YDL070W,Saccharomyces
YDL067C,Saccharomyces
YDL066W,Ascomycota
YDL061C,Eukaryota
YDL060W,> Eukaryota
YDL059C,> Eukaryota
YDL058W,> Eukaryota
YDL057W,> Eukaryota
YDL056W,Ascomycota
YDL055C,Ascomycota
YDL054C,Eukaryota
YDL053C,Eukaryota
YDL052C,Eukaryota
YDL051W,Eukaryota
YDL049C,Ascomycota
YDL048C,Saccharomyceta
YDL047W,Saccharomyceta
YDL044C,Saccharomyceta
YPL095C,Saccharomyces
YPL094C,Saccharomyces
YPL093W,Saccharomyces
YPL092W,Saccharomyces
YPL091W,Ascomycota
YPL017C,Saccharomyces
YPL090C,Ascomycota
YPL089C,Eukaryota
YPL083C,Eukaryota
YPL082C,Eukaryota
YPL081W,> Eukaryota
YPL079W,> Eukaryota
YPL078C,> Eukaryota
YPL075W,> Eukaryota
YPL071C,Ascomycota
YPL070W,Ascomycota
YPL068C,Ascomycota
YPL067C,Ascomycota
YPL066W,Ascomycota
YPL061W,Saccharomycetaceae
YPL059W,Ascomycota
YPL058C,Ascomycota
YPL051W,Ascomycota
YPL050C,Ascomycota
YPL049C,Ascomycota
YPL048W,Ascomycota
YPL043W,Eukaryota
YPL041C,Fungi
YPL040C,Eukaryota
YPL039W,Eukaryota
YPL038W,Saccharomyceta
YPL037C,Ascomycota
YPL036W,Ascomycota
YPL034W,Ascomycota
YPL032C,Ascomycota
YPL031C,Saccharomycetaceae
YPL030W,Saccharomycetaceae
YPL028W,Saccharomycetaceae
YPL026C,Fungi
YPL024W,Fungi
YCR018C,Saccharomyces
YPL019C,Saccharomyces
YPL018W,Saccharomyces
YPL016W,Saccharomyces
YPL015C,> Eukaryota
YPL014W,> Eukaryota
YPL013C,> Eukaryota
YPL012W,> Eukaryota
YPL005W,> Eukaryota
YPR001W,Ascomycota
YPR003C,Saccharomyces
YPR006C,Saccharomycetaceae
YPR009W,Saccharomyceta
YPR010C,Dikarya
YCL024W,Eukaryota
YCL018W,Eukaryota
YCL017C,Eukaryota
YCL016C,Eukaryota
YCL014W,Eukaryota
YCL011C,Fungi
YCL010C,Fungi
YCL009C,Fungi
YCL008C,Fungi
YCL005W,Fungi
YCL004W,Fungi
YCL002C,Fungi
YCL001W,Fungi
YCR002C,Dikarya
YCR003W,Dikarya
YCR004C,Fungi
YCR005C,Dikarya
YCR008W,Saccharomycetaceae
YCR012W,Eukaryota
YCR015C,Eukaryota
YCR016W,Eukaryota
YCR017C,Eukaryota
YCR019W,Eukaryota
YCR021C,Saccharomycetaceae
YCR023C,Saccharomycetaceae
YCR024C,Eukaryota
YCR026C,Eukaryota
YCR027C,Fungi
YCR028C,Saccharomyceta
YCR030C,Saccharomyceta
YCR031C,Saccharomyceta
YCR032W,Saccharomyceta
YCR034W,Eukaryota
YCR037C,Opisthokonta
YCR039C,Saccharomyceta
YCR040W,Saccharomycetaceae
YCR041W,Saccharomyces
YCL065W,Saccharomyces
YCR042C,Saccharomyces
YCR043C,Saccharomyces
YCR045C,Saccharomyces
YCR053W,Eukaryota
YCR057C,> Eukaryota
YCR059C,Ascomycota
YCR060W,Ascomycota
YCR061W,Dikarya
YCR063W,Dikarya
YCR065W,Opisthokonta
YCR066W,Opisthokonta
YCR067C,Saccharomyceta
YCR068W,Saccharomyceta
YCR073C,Saccharomyces
YCR075C,Ascomycota
YCR077C,Ascomycota
YCR079W,Ascomycota
YCR081W,Ascomycota
YCR082W,Ascomycota
YCR083W,Opisthokonta
YCR086W,Saccharomyceta
YCR088W,Saccharomyceta
YCR089W,Saccharomyceta
YCR090C,Saccharomyceta
YCR092C,Eukaryota
YCR093W,Eukaryota
YCR094W,Dikarya
YCR095C,Dikarya
YCR096C,Saccharomyceta
YHR148W,Saccharomyceta
YHR149C,Saccharomycetaceae
YHR150W,Ascomycota
YHR151C,Ascomycota
YHR154W,Ascomycota
YHR155W,Ascomycota
YHR156C,Ascomycota
YHR161C,Eukaryota
YHR162W,Opisthokonta
YHR163W,> Eukaryota
YHR164C,Eukaryota
YHR170W,> Eukaryota
YHR171W,> Eukaryota
YHR174W,Ascomycota
YHR175W,Ascomycota
YHR178W,Saccharomycetaceae
YHR179W,Saccharomyceta
YHR181W,Saccharomyceta
YHR182W,Saccharomyceta
YHR183W,Dikarya
YHR184W,Dikarya
YHR185C,Dikarya
YHR190W,Dikarya
YHR191C,Dikarya
YHR192W,Dikarya
YHR193C,Dikarya
YHR194W,Ascomycota
YHR195W,Ascomycota
YHR197W,Ascomycota
YHR199C,Fungi
YHR200W,Fungi
YHR201C,Fungi
YHR202W,Fungi
YHR203C,Ascomycota
YHR204W,Ascomycota
YHR205W,Eukaryota
YHR206W,Fungi
YHR207C,Fungi
YHR208W,Ascomycota
YHR211W,Saccharomycetaceae
YHR212C,Saccharomyces
YAR060C,Saccharomyces
YAR064W,Saccharomyces
YHR214W,Saccharomyces
YAR066W,Saccharomyces
YAR068W,Saccharomyces
YAR070C,Saccharomyces
YHR218W,Saccharomycetaceae
YIL177C,Saccharomycetaceae
YIL176C,Saccharomycetaceae
YIL173W,Eukaryota
YIL172C,Saccharomyces
YIL166C,Saccharomyces
YIL164C,Saccharomyces
YIL162W,Saccharomyces
YIL161W,Saccharomyces
YIL160C,Saccharomyces
YIL159W,Saccharomyceta
YIL158W,Saccharomycetaceae
YIL155C,Saccharomyceta
YDR074W,Fungi
YDR077W,Saccharomyceta
YDR078C,Saccharomyceta
YDR079W,Saccharomyceta
YDR080W,Saccharomyceta
YDR081C,Saccharomyceta
YDR083W,Saccharomyceta
YDR084C,Saccharomyceta
YDR085C,Saccharomycetaceae
YDR086C,Saccharomycetaceae
YDR088C,Saccharomycetaceae
YDR089W,Saccharomycetaceae
YDR090C,Saccharomycetaceae
YDR091C,Saccharomycetaceae
YDR092W,Eukaryota
YDR093W,Fungi
YDR097C,Fungi
YDR098C,Eukaryota
YDR099W,Eukaryota
YDR100W,Eukaryota
YDR101C,Eukaryota
YDR103W,Eukaryota
YDR107C,Eukaryota
YDR108W,Eukaryota
YDR111C,Ascomycota
YDR113C,Ascomycota
YDR115W,Ascomycota
YDR122W,Opisthokonta
YDR123C,Opisthokonta
YDR124W,Opisthokonta
YDR125C,Saccharomyceta
YDR126W,Saccharomyceta
YDR127W,Saccharomyceta
YDR129C,Saccharomyceta
YDR130C,Saccharomyceta
YDR131C,Saccharomycetaceae
YDR132C,Ascomycota
YDR135C,Saccharomycetaceae
YDR137W,Saccharomycetaceae
YDR138W,Saccharomycetaceae
YDR141C,Eukaryota
YDR142C,Eukaryota
YDR143C,Eukaryota
YDR144C,Saccharomyceta
YDR145W,Saccharomyceta
YDR146C,Fungi
YDR147W,Fungi
YDR148C,Ascomycota
YDR150W,Ascomycota
YDR151C,Eukaryota
YDR152W,Eukaryota
YDR155C,Eukaryota
YDR156W,Eukaryota
YDR158W,Eukaryota
YDR160W,Eukaryota
YDR161W,Eukaryota
YDR164C,Eukaryota
YDR165W,Eukaryota
YDR166C,Eukaryota
YDR167W,Eukaryota
YDR168W,Eukaryota
YDR169C,Eukaryota
YDR171W,Saccharomycetaceae
YDR172W,Eukaryota
YDR173C,Eukaryota
YDR174W,Eukaryota
YDR175C,Eukaryota
YDR176W,Eukaryota
YDR179C,Ascomycota
YDR180W,Ascomycota
YDR181C,Ascomycota
YDL037C,Saccharomyces
YDL036C,> Eukaryota
YDL035C,> Eukaryota
YDL031W,> Eukaryota
YDL030W,> Eukaryota
YDL028C,Ascomycota
YDL027C,Ascomycota
YDL024C,Saccharomyces
YDL020C,Saccharomyceta
YDL019C,Eukaryota
YDL018C,Opisthokonta
YDL017W,Eukaryota
YDL013W,Eukaryota
YDL012C,Saccharomyces
YDL010W,Saccharomyceta
YDL007W,> Eukaryota
YDL006W,> Eukaryota
YDL005C,> Eukaryota
YDL004W,> Eukaryota
YDL003W,> Eukaryota
YDR003W,Saccharomyceta
YDR004W,Eukaryota
YDR005C,Eukaryota
YDR006C,Eukaryota
YDR007W,Fungi
YDR009W,Fungi
YDR011W,Saccharomyceta
YDR012W,Ascomycota
YDR013W,Ascomycota
YDR014W,Ascomycota
YDR019C,Ascomycota
YDR020C,Ascomycota
YDR021W,Ascomycota
YDR022C,Ascomycota
YDR023W,Ascomycota
YDR025W,Ascomycota
YDR026C,Fungi
YDR027C,Fungi
YDR028C,Fungi
YDR030C,Fungi
YDR031W,Fungi
YDR032C,Fungi
YDR033W,Saccharomycetaceae
YDR034C,Saccharomycetaceae
YDR035W,Ascomycota
YDR036C,Ascomycota
YDR037W,> Eukaryota
YDR038C,Saccharomyces
YDR039C,Saccharomyces
YDR040C,Saccharomyces
YDR041W,Saccharomyces
YDR043C,Fungi
YDR044W,Fungi
YDR046C,Saccharomyceta
YDR047W,Saccharomyceta
YDR049W,Saccharomyceta
YDR050C,Saccharomyceta
YDR052C,Saccharomyceta
YDR054C,Eukaryota
YDR055W,Ascomycota
YDR056C,Ascomycota
YDR057W,Ascomycota
YDR058C,Ascomycota
YDR061W,Saccharomyces
YDR063W,Ascomycota
YDR064W,Ascomycota
YDR065W,Ascomycota
YDR066C,Saccharomyceta
YDR067C,Eukaryota
YDR068W,Eukaryota
YDR070C,Dikarya
YDR071C,Dikarya
YDR072C,Saccharomyceta
YDR073W,Saccharomyceta
YBR016W,Saccharomycetaceae
YBR017C,Saccharomycetaceae
YBR018C,Saccharomycetaceae
YBR019C,Saccharomycetaceae
YBR020W,Fungi
YBR021W,Ascomycota
YBR022W,Ascomycota
YBR023C,Ascomycota
YBR024W,Eukaryota
YBR025C,Ascomycota
YBR029C,Ascomycota
YBR030W,Ascomycota
YBR033W,Dikarya
YBR035C,Dikarya
YBR036C,Dikarya
YBR037C,Eukaryota
YBR038W,Eukaryota
YBR039W,Eukaryota
YBR040W,Eukaryota
YBR041W,Eukaryota
YBR042C,Saccharomyces
YBR043C,Saccharomyces
YBR044C,Saccharomyces
YBR046C,Saccharomyces
YBR047W,Saccharomyces
YBR048W,Ascomycota
YBR049C,Fungi
YBR053C,Saccharomyces
YBR054W,Saccharomycetaceae
YBR055C,Eukaryota
YBR056W,Eukaryota
YBR057C,Eukaryota
YBR060C,Fungi
YBR061C,Eukaryota
YBR066C,Fungi
YBR067C,Saccharomycetaceae
YBR068C,Saccharomyceta
YBR069C,Saccharomycetaceae
YBR070C,Saccharomycetaceae
YBR072W,Saccharomycetaceae
YBR073W,Eukaryota
YBR074W,Eukaryota
YBR077C,Eukaryota
YBR078W,Ascomycota
YBR080C,Ascomycota
YBR081C,Fungi
YBR082C,Opisthokonta
YBR083W,Opisthokonta
YBR084W,Ascomycota
YBR085W,Ascomycota
YBR086C,Ascomycota
YBR087W,> Eukaryota
YBR092C,Saccharomyces
YBR093C,Saccharomyces
YBR094W,Saccharomyces
YBR095C,Saccharomyces
YBR096W,Saccharomyces
YBR097W,Saccharomyces
YBR101C,Saccharomyces
YBR102C,Saccharomyces
YBR103W,Saccharomyces
YBR104W,Eukaryota
YBR107C,Fungi
YBR108W,Fungi
YBR109C,Fungi
YBR110W,Fungi
YBR112C,Fungi
YBR114W,Eukaryota
YBR115C,Eukaryota
YBR117C,Ascomycota
YBR118W,Ascomycota
YBR119W,Ascomycota
YBR121C,Ascomycota
YIL044C,Saccharomyceta
YIL043C,Saccharomyceta
YIL042C,Saccharomyceta
YIL041W,Ascomycota
YIL040W,Ascomycota
YIL038C,Ascomycota
YIL037C,Ascomycota
YIL036W,Saccharomyceta
YIL035C,Saccharomyceta
YIL033C,Saccharomyceta
YIL031W,Saccharomyceta
YIL030C,Saccharomyceta
YIL026C,Saccharomyceta
YIL023C,Saccharomyceta
YIL022W,Saccharomyceta
YIL020C,> Eukaryota
YIL019W,> Eukaryota
YIL018W,Ascomycota
YIL015W,Saccharomyceta
YIL014W,Saccharomycetaceae
YIL013C,Saccharomyceta
YIL011W,Saccharomycetaceae
YIL010W,Saccharomycetaceae
YIL009W,Ascomycota
YIL002C,Fungi
YIL001W,Fungi
YIR001C,Fungi
YIR002C,Fungi
YIR003W,Fungi
YIR004W,Fungi
YIR005W,Fungi
YIR006C,Opisthokonta
YIR007W,Opisthokonta
YIR010W,Opisthokonta
YIR014W,Opisthokonta
YIR017C,Opisthokonta
YIR018W,Saccharomycetaceae
YIR019C,Saccharomycetaceae
YIR021W,Saccharomycetaceae
YIR022W,Saccharomycetaceae
YIR023W,Saccharomycetaceae
YIR024C,Saccharomycetaceae
YIR025W,Saccharomycetaceae
YIR027C,Saccharomycetaceae
YIR028W,Ascomycota
YIR029W,Ascomycota
YIR030C,Ascomycota
YIR031C,Ascomycota
YIR032C,Ascomycota
YIR033W,Opisthokonta
YIR034C,Opisthokonta
YIR035C,Eukaryota
YIR038C,Fungi
YIR040C,Saccharomyces
YIR041W,Saccharomycetaceae
YIR042C,Saccharomycetaceae
YJL225C,Saccharomycetaceae
YJL223C,Saccharomycetaceae
YJL222W,Eukaryota
YJL221C,Eukaryota
YJL219W,Saccharomyceta
YJL214W,Saccharomyces
YJL218W,Saccharomyces
YJL217W,Saccharomyces
YJL216C,Saccharomyces
YJL213W,Saccharomyces
YJL212C,Saccharomyces
YJL210W,Saccharomyces
YJL209W,Saccharomyces
YJL207C,Saccharomyces
YJL206C,Ascomycota
YAL068C,Saccharomycetaceae
YAL067C,Saccharomyceta
YAL063C,Saccharomycetaceae
YAL062W,> Eukaryota
YAL061W,Saccharomycetaceae
YAL060W,Ascomycota
YAL058W,Ascomycota
YAL056W,Saccharomyceta
YAL054C,Fungi
YAL053W,Dikarya
YAL051W,Saccharomycetaceae
YAL049C,Saccharomycetaceae
YAL048C,Saccharomycetaceae
YAL047C,Saccharomycetaceae
YAL046C,Saccharomycetaceae
YAL044C,Saccharomycetaceae
YAL043C,Saccharomycetaceae
YAL042W,Fungi
YAL041W,Fungi
YAL040C,Dikarya
YAL039C,Eukaryota
YAL038W,Ascomycota
YAL037W,Saccharomycetaceae
YAL036C,> Eukaryota
YAL035W,> Eukaryota
YAL034C,Ascomycota
YAL033W,Ascomycota
YAL031C,Ascomycota
YAL030W,Dikarya
YAL029C,Saccharomycetaceae
YAL028W,Saccharomycetaceae
YAL027W,Saccharomycetaceae
YAL026C,Dikarya
YAL025C,Dikarya
YAL024C,Dikarya
YAL023C,Ascomycota
YAL022C,Ascomycota
YAL018C,Saccharomycetaceae
YAL017W,Fungi
YAL016W,Fungi
YAL012W,Ascomycota
YAL007C,Saccharomycetaceae
YAL005C,Ascomycota
YAL004W,Saccharomyces
YAL003W,Saccharomyces
YAL001C,Saccharomyces
YAR002W,Saccharomyces
YAR003W,Ascomycota
YAR007C,Ascomycota
YAR008W,Ascomycota
YAR014C,Ascomycota
YAR015W,Ascomycota
YAR018C,> Eukaryota
YAR019C,Saccharomyceta
YAR020C,Saccharomycetaceae
YAR023C,Saccharomycetaceae
YAR027W,Saccharomycetaceae
YAR031W,Saccharomycetaceae
YAR042W,Eukaryota
YAR050W,Saccharomycetaceae
YAR071W,Saccharomyces
YAR073W,Saccharomyceta
YBL113C,Saccharomycetaceae
YBL111C,Saccharomycetaceae
YBL112C,Saccharomycetaceae
YBL108W,Saccharomyces
YBL107C,Saccharomyces
YBL106C,Fungi
YBL104C,Fungi
YBL103C,Fungi
YBL102W,Fungi
YBL099W,Opisthokonta
YBL098W,Opisthokonta
YBL097W,Opisthokonta
YBL095W,Fungi
YBL093C,Fungi
YDR404C,Fungi
YDR405W,Fungi
YDR406W,Ascomycota
YDR408C,Ascomycota
YDR409W,Eukaryota
YDR410C,Eukaryota
YDR411C,Eukaryota
YDR412W,Eukaryota
YDR415C,Eukaryota
YDR416W,Eukaryota
YDR418W,Fungi
YDR419W,Fungi
YDR420W,Saccharomycetaceae
YDR421W,Saccharomycetaceae
YDR422C,Saccharomycetaceae
YDR423C,Saccharomycetaceae
YDR427W,Ascomycota
YDR434W,> Eukaryota
YDR435C,Dikarya
YDR436W,Fungi
YDR437W,Fungi
YDR438W,Eukaryota
YDR439W,Eukaryota
YDR440W,Eukaryota
YDR441C,Saccharomyces
YDR446W,Ascomycota
YDR447C,Ascomycota
YDR448W,Ascomycota
YDR449C,Ascomycota
YDR450W,Dikarya
YDR451C,Saccharomyces
YDR452W,Saccharomyces
YDR453C,Eukaryota
YDR454C,Eukaryota
YDR456W,Eukaryota
YDR457W,Eukaryota
YDR461W,Saccharomycetaceae
YDR463W,Saccharomyceta
YDR465C,Saccharomyceta
YDR466W,Dikarya
YDR468C,Dikarya
YDR469W,Dikarya
YDR470C,Dikarya
YDR471W,> Eukaryota
YDR472W,> Eukaryota
YDR473C,> Eukaryota
YDR475C,Saccharomyceta
YDR479C,Ascomycota
YDR480W,Ascomycota
YDR481C,Ascomycota
YDR482C,Ascomycota
YDR483W,Saccharomycetaceae
YDR484W,Saccharomycetaceae
YDR486C,Saccharomycetaceae
