gene,origin_mechanism,parental_gene
YCR104W,DNA-based duplication,YGR294W
YCR104W,DNA-based duplication,YIL176C
YCR104W,DNA-based duplication,YEL049W
YCR104W,DNA-based duplication,YLL064C
YCR104W,DNA-based duplication,YKL224C
YCR104W,DNA-based duplication,YDR542W
YCR104W,DNA-based duplication like,YJR151C
YCR104W,DNA-based duplication like,YJR150C
YCR104W,DNA-based duplication,YHL046C
YCR104W,DNA-based duplication,YPL282C
YCR104W,DNA-based duplication,YBR301W
YCR104W,DNA-based duplication,YFL020C
YCR104W,DNA-based duplication,YBL108C-A
YCR104W,DNA-based duplication,YLL025W
YCR104W,DNA-based duplication,YAR020C
YCR104W,DNA-based duplication,YJL223C
YCR104W,DNA-based duplication,YNR076W
YCR104W,DNA-based duplication,YOL161C
YCR104W,DNA-based duplication,YOR394W
YCR104W,DNA-based duplication,YAL068C
YCR104W,DNA-based duplication,YGL261C
YCR106W,DNA-based duplication like,YOR363C
YCR106W,DNA-based duplication like,YLL054C
YCR106W,DNA-based duplication like,YAL051W
YCR107W,DNA-based duplication,YNL331C
YCR107W,DNA-based duplication,YDL243C
YCR107W,DNA-based duplication,YJR155W
YDL248W,DNA-based duplication,YML132W
YDL248W,DNA-based duplication,YBR302C
YDL248W,DNA-based duplication,YHL048W
YDL248W,DNA-based duplication,YGR295C
YDL248W,DNA-based duplication like,YHL043W
YDL248W,DNA-based duplication,YJR161C
YDL248W,DNA-based duplication,YNL336W
YDL248W,DNA-based duplication like,YNR075W
YDL248W,DNA-based duplication,YFL062W
YDL248W,DNA-based duplication like,YHL042W
YDL248W,DNA-based duplication,YKL219W
YDL248W,DNA-based duplication like,YGL263W
YDL247W,de novo origination,YDL247W
YDL246C,DNA-based duplication,YLR070C
YDL246C,DNA-based duplication,YJR159W
YDL245C,DNA-based duplication,YMR011W
YDL245C,DNA-based duplication like,YHR096C
YDL245C,DNA-based duplication,YDR342C
YDL245C,DNA-based duplication,YLR081W
YDL245C,DNA-based duplication,YHR094C
YDL245C,DNA-based duplication,YJL214W
YDL245C,DNA-based duplication,YOL156W
YDL245C,DNA-based duplication,YHR092C
YDL245C,DNA-based duplication,YFL011W
YDL245C,DNA-based duplication,YDR343C
YDL245C,DNA-based duplication,YJL219W
YDL245C,DNA-based duplication,YEL069C
YDL245C,DNA-based duplication,YDR345C
YDL245C,DNA-based duplication,YJR158W
YDL243C,DNA-based duplication,YNL331C
YDL243C,DNA-based duplication,YCR107W
YDL243C,DNA-based duplication,YJR155W
YDL228C,DNA-based duplication like,YAL004W
YDL218W,de novo origination,YDL218W
YDL211C,DNA-based duplication like,YNL176C
YDL199C,de novo origination,YDL199C
YDL184C,DNA-based duplication,YDL133C-A
YDL133C-A,DNA-based duplication,YDL184C
YDL170W,de novo origination,YDL170W
YDL070W,DNA-based duplication like,YLR399C
YDL057W,de novo origination,YDL057W
YPL095C,DNA-based duplication,YBR177C
YPL095C,DNA-based duplication like,YMR210W
YPL017C,DNA-based duplication like,YFL018C
YPL017C,DNA-based duplication like,YPL091W
YPL053C,de novo origination,YPL053C
YPL021W,DNA-based duplication like,YCR018C
YCR018C,DNA-based duplication like,YPL021W
YPL019C,DNA-based duplication,YFL004W
YPL019C,DNA-based duplication like,YJL012C
YPR002C-A,DNA-based duplication,YGR122C-A
YPR002C-A,DNA-based duplication like,YLR334C
YPR002C-A,DNA-based duplication like,YOL106W
YPR002C-A,DNA-based duplication,YCR018C-A
YPR002C-A,DNA-based duplication,YDR034C-A
YPR002C-A,DNA-based duplication,YMR046W-A
YCR007C,DNA-based duplication like,YAR033W
YCR007C,DNA-based duplication like,YAR028W
YCR007C,DNA-based duplication like,YHL044W
YCR007C,DNA-based duplication like,YAR031W
YCR007C,DNA-based duplication like,YAR027W
YCR007C,DNA-based duplication like,YAR023C
YCR007C,DNA-based duplication like,YGL053W
YCR007C,DNA-based duplication like,YGL051W
YCR013C,de novo origination,YCR013C
YCR041W,DNA-based duplication,YCR097W-A
YCR041W,DNA-based duplication,YCL065W
YCL065W,DNA-based duplication,YCR041W
YCL065W,DNA-based duplication,YCR097W-A
YCR073C,DNA-based duplication like,YAR019C
YCR073C,DNA-based duplication like,YNR031C
YCR089W,de novo origination,YCR089W
YHR182C-A,de novo origination,YHR182C-A
YHR195W,de novo origination,YHR195W
YHR209W,DNA-based duplication like,YER175C
YHR210C,DNA-based duplication,YNR071C
YHR211W,DNA-based duplication,YAL064C-A
YHR211W,DNA-based duplication,YHR213W
YHR211W,DNA-based duplication like,YKR102W
YHR211W,DNA-based duplication,YAR050W
YHR211W,DNA-based duplication,YAL063C
YHR211W,DNA-based duplication like,YFL051C
YHR211W,DNA-based duplication,YHR212W-A
YHR212C,DNA-based duplication,YAR060C
YAR060C,DNA-based duplication,YHR212C
YHR212W-A,DNA-based duplication like,YHR211W
YHR212W-A,DNA-based duplication like,YAL064C-A
YHR212W-A,DNA-based duplication like,YHR213W
YHR212W-A,DNA-based duplication like,YKR102W
YHR212W-A,DNA-based duplication like,YAR050W
YHR212W-A,DNA-based duplication like,YAL063C
YHR212W-A,DNA-based duplication like,YFL051C
YHR213W,DNA-based duplication like,YHR211W
YHR213W,DNA-based duplication,YAL064C-A
YHR213W,DNA-based duplication like,YKR102W
YHR213W,DNA-based duplication like,YAR050W
YHR213W,DNA-based duplication like,YAL063C
YHR213W,DNA-based duplication like,YFL051C
YHR213W,DNA-based duplication like,YHR212W-A
YHR213W-B,DNA-based duplication,YAR064W
YAR064W,DNA-based duplication,YHR213W-B
YHR214W,DNA-based duplication,YAR066W
YHR214W,DNA-based duplication like,YOL155C
YHR214W,DNA-based duplication like,YIL169C
YAR066W,DNA-based duplication,YHR214W
YAR066W,DNA-based duplication like,YOL155C
YAR066W,DNA-based duplication like,YIL169C
YHR214W-A,DNA-based duplication,YAR068W
YAR068W,DNA-based duplication,YHR214W-A
YHR214C-D,DNA-based duplication,YAR069C
YAR069C,DNA-based duplication,YHR214C-D
YHR214C-E,DNA-based duplication,YAR070C
YAR070C,DNA-based duplication,YHR214C-E
YHR215W,DNA-based duplication,YAR071W
YHR215W,DNA-based duplication,YBR093C
YHR215W,DNA-based duplication,YDL024C
YHR215W,DNA-based duplication,YBR092C
YHR217C,DNA-based duplication,YBL109W
YHR217C,DNA-based duplication,YDR544C
YHR218W,DNA-based duplication like,YIL177C
YHR218W,DNA-based duplication like,YLR462W
YHR218W,DNA-based duplication like,YHL050C
YHR218W,DNA-based duplication like,YDR545W
YHR218W,DNA-based duplication like,YHR219W
YHR218W,DNA-based duplication like,YBL112C
YHR218W,DNA-based duplication like,YEL077C
YHR218W,DNA-based duplication,YFL066C
YHR218W,DNA-based duplication like,YHR218W-A
YHR218W,DNA-based duplication like,YLL066C
YHR218W,DNA-based duplication,YBL111C
YHR218W,DNA-based duplication like,YER190W
YHR218W,DNA-based duplication like,YML133C
YHR218W,DNA-based duplication like,YJL225C
YHR218W,DNA-based duplication like,YLR467W
YHR218W,DNA-based duplication like,YPL283C
YHR218W,DNA-based duplication like,YPR204W
YHR218W,DNA-based duplication like,YBL113C
YHR218W,DNA-based duplication like,YLR466W
YHR218W,DNA-based duplication like,YOR396W
YHR218W,DNA-based duplication like,YGR296W
YHR218W,DNA-based duplication like,YLL067C
YHR218W,DNA-based duplication like,YNL339C
YHR218W-A,retroposition like,YIL177C
YHR218W-A,DNA-based duplication like,YLR462W
YHR218W-A,retroposition like,YHL050C
YHR218W-A,DNA-based duplication like,YDR545W
YHR218W-A,DNA-based duplication like,YHR219W
YHR218W-A,DNA-based duplication,YBL112C
YHR218W-A,DNA-based duplication like,YEL077C
YHR218W-A,DNA-based duplication like,YFL066C
YHR218W-A,retroposition like,YLL066C
YHR218W-A,retroposition like,YBL111C
YHR218W-A,DNA-based duplication like,YER190W
YHR218W-A,retroposition like,YML133C
YHR218W-A,retroposition like,YJL225C
YHR218W-A,DNA-based duplication like,YLR467W
YHR218W-A,retroposition like,YPL283C
YHR218W-A,DNA-based duplication like,YPR204W
YHR218W-A,DNA-based duplication like,YBL113C
YHR218W-A,DNA-based duplication like,YLR466W
YHR218W-A,DNA-based duplication like,YOR396W
YHR218W-A,retroposition like,YGR296W
YHR218W-A,retroposition like,YLL067C
YHR218W-A,retroposition like,YNL339C
YHR218W-A,retroposition like,YHR218W
YHR219W,retroposition like,YIL177C
YHR219W,DNA-based duplication like,YLR462W
YHR219W,retroposition,YHL050C
YHR219W,DNA-based duplication like,YDR545W
YHR219W,DNA-based duplication like,YBL112C
YHR219W,DNA-based duplication like,YEL077C
YHR219W,DNA-based duplication like,YFL066C
YHR219W,DNA-based duplication like,YHR218W-A
YHR219W,retroposition,YLL066C
YHR219W,retroposition like,YBL111C
YHR219W,DNA-based duplication like,YER190W
YHR219W,retroposition like,YML133C
YHR219W,retroposition like,YJL225C
YHR219W,DNA-based duplication like,YLR467W
YHR219W,retroposition like,YPL283C
YHR219W,DNA-based duplication,YPR204W
YHR219W,DNA-based duplication,YBL113C
YHR219W,DNA-based duplication like,YLR466W
YHR219W,DNA-based duplication like,YOR396W
YHR219W,retroposition like,YGR296W
YHR219W,retroposition like,YLL067C
YHR219W,retroposition like,YNL339C
YHR219W,retroposition like,YHR218W
YHR219C-A,DNA-based duplication,YFL068W
YHR219C-A,DNA-based duplication,YGR296C-B
YHR219C-A,DNA-based duplication,YLR466C-A
YHR219C-A,DNA-based duplication,YLL067W-A
YHR219C-A,DNA-based duplication,YJL225W-A
YHR219C-A,DNA-based duplication,YOR396C-A
YHR219C-A,DNA-based duplication,YLR467C-A
YHR219C-A,DNA-based duplication,YDR545C-A
YHR219C-A,DNA-based duplication,YBL113W-A
YHR219C-A,DNA-based duplication,YHL050W-A
YHR219C-A,DNA-based duplication,YML133W-B
YHR219C-A,DNA-based duplication,YLL066W-A
YHR219C-A,DNA-based duplication,YPL283W-B
YHR219C-A,DNA-based duplication,YER190C-B
YHR219C-A,DNA-based duplication,YNL339W-B
YHR219C-A,DNA-based duplication,YEL077W-A
YHR219C-A,DNA-based duplication,YPR204C-A
YHR219C-A,DNA-based duplication,YIL177W-A
YIL177C,DNA-based duplication like,YLR462W
YIL177C,DNA-based duplication,YHL050C
YIL177C,DNA-based duplication,YDR545W
YIL177C,DNA-based duplication,YHR219W
YIL177C,DNA-based duplication,YBL112C
YIL177C,DNA-based duplication,YEL077C
YIL177C,DNA-based duplication,YFL066C
YIL177C,DNA-based duplication,YHR218W-A
YIL177C,DNA-based duplication,YLL066C
YIL177C,DNA-based duplication,YBL111C
YIL177C,DNA-based duplication,YER190W
YIL177C,DNA-based duplication,YML133C
YIL177C,DNA-based duplication,YJL225C
YIL177C,DNA-based duplication,YLR467W
YIL177C,DNA-based duplication,YPL283C
YIL177C,DNA-based duplication,YPR204W
YIL177C,DNA-based duplication,YBL113C
YIL177C,DNA-based duplication,YLR466W
YIL177C,DNA-based duplication,YOR396W
YIL177C,DNA-based duplication,YGR296W
YIL177C,DNA-based duplication,YLL067C
YIL177C,DNA-based duplication,YNL339C
YIL177C,DNA-based duplication,YHR218W
YIL177W-A,DNA-based duplication,YFL068W
YIL177W-A,DNA-based duplication,YHR219C-A
YIL177W-A,DNA-based duplication,YGR296C-B
YIL177W-A,DNA-based duplication,YLR466C-A
YIL177W-A,DNA-based duplication,YLL067W-A
YIL177W-A,DNA-based duplication,YJL225W-A
YIL177W-A,DNA-based duplication,YOR396C-A
YIL177W-A,DNA-based duplication,YLR467C-A
YIL177W-A,DNA-based duplication,YDR545C-A
YIL177W-A,DNA-based duplication,YBL113W-A
YIL177W-A,DNA-based duplication,YHL050W-A
YIL177W-A,DNA-based duplication,YML133W-B
YIL177W-A,DNA-based duplication,YLL066W-A
YIL177W-A,DNA-based duplication,YPL283W-B
YIL177W-A,DNA-based duplication,YER190C-B
YIL177W-A,DNA-based duplication,YNL339W-B
YIL177W-A,DNA-based duplication,YEL077W-A
YIL177W-A,DNA-based duplication,YPR204C-A
YIL176C,DNA-based duplication,YLR461W
YIL176C,DNA-based duplication,YMR325W
YIL176C,DNA-based duplication,YIR041W
YIL176C,DNA-based duplication,YLR037C
YIL176C,DNA-based duplication,YGR294W
YIL176C,DNA-based duplication,YEL049W
YIL176C,DNA-based duplication,YLL064C
YIL176C,DNA-based duplication,YKL224C
YIL176C,DNA-based duplication,YDR542W
YIL176C,DNA-based duplication like,YJR151C
YIL176C,DNA-based duplication like,YJR150C
YIL176C,DNA-based duplication,YHL046C
YIL176C,DNA-based duplication,YPL282C
YIL176C,DNA-based duplication,YBR301W
YIL176C,DNA-based duplication,YFL020C
YIL176C,DNA-based duplication,YAR020C
YIL176C,DNA-based duplication,YLL025W
YIL176C,DNA-based duplication,YBL108C-A
YIL176C,DNA-based duplication,YJL223C
YIL176C,DNA-based duplication,YCR104W
YIL176C,DNA-based duplication,YNR076W
YIL176C,DNA-based duplication,YOL161C
YIL176C,DNA-based duplication,YOR394W
YIL176C,DNA-based duplication,YAL068C
YIL176C,DNA-based duplication,YGL261C
YIL172C,DNA-based duplication,YJL216C
YIL172C,DNA-based duplication,YBR299W
YIL172C,DNA-based duplication,YGR292W
YIL172C,DNA-based duplication,YGR287C
YIL172C,DNA-based duplication,YOL157C
YIL171W-A,DNA-based duplication,YJL220W
YIL169C,DNA-based duplication,YAR066W
YIL169C,DNA-based duplication,YHR214W
YIL169C,DNA-based duplication,YOL155C
YIL166C,DNA-based duplication like,YOL163W
YIL166C,DNA-based duplication like,YOL162W
YIL164C,de novo origination,YIL164C
YIL158W,DNA-based duplication like,YKR100C
YDR085C,DNA-based duplication like,YER158C
YDR119W,de novo origination,YDR119W
YDR119W-A,de novo origination,YDR119W-A
YDL039C,DNA-based duplication like,YDL037C
YDL037C,DNA-based duplication like,YDL039C
YDL024C,DNA-based duplication,YAR071W
YDL024C,DNA-based duplication,YBR093C
YDL024C,DNA-based duplication,YHR215W
YDL024C,DNA-based duplication,YBR092C
YDL012C,DNA-based duplication like,YBR016W
YDR034C-A,DNA-based duplication,YGR122C-A
YDR034C-A,DNA-based duplication like,YLR334C
YDR034C-A,DNA-based duplication like,YOL106W
YDR034C-A,DNA-based duplication,YPR002C-A
YDR034C-A,DNA-based duplication like,YCR018C-A
YDR034C-A,DNA-based duplication,YMR046W-A
YCR018C-A,DNA-based duplication,YGR122C-A
YCR018C-A,DNA-based duplication like,YLR334C
YCR018C-A,DNA-based duplication,YOL106W
YCR018C-A,DNA-based duplication,YPR002C-A
YCR018C-A,DNA-based duplication,YDR034C-A
YCR018C-A,DNA-based duplication,YMR046W-A
YDR038C,DNA-based duplication,YDR039C
YDR039C,DNA-based duplication,YDR038C
YDR059C,DNA-based duplication like,YDR092W
YDR059C,DNA-based duplication,YBR082C
YBR042C,DNA-based duplication like,YBR180W
YBR042C,DNA-based duplication like,YBR043C
YBR043C,DNA-based duplication like,YBR180W
YBR043C,DNA-based duplication like,YBR042C
YBR052C,DNA-based duplication like,YCR004C
YBR052C,DNA-based duplication,YDR032C
YBR067C,DNA-based duplication like,YER011W
YBR067C,DNA-based duplication like,YOR009W
YBR067C,DNA-based duplication like,YIL011W
YBR067C,DNA-based duplication like,YOR010C
YBR069C,DNA-based duplication like,YCL025C
YBR069C,DNA-based duplication like,YLL061W
YBR069C,DNA-based duplication like,YBR068C
YBR069C,DNA-based duplication like,YDR508C
YBR069C,DNA-based duplication like,YDR046C
YBR069C,DNA-based duplication like,YPL274W
YBR069C,DNA-based duplication like,YOL020W
YBR092C,DNA-based duplication,YAR071W
YBR092C,DNA-based duplication,YBR093C
YBR092C,DNA-based duplication,YHR215W
YBR092C,DNA-based duplication,YDL024C
YBR093C,DNA-based duplication,YAR071W
YBR093C,DNA-based duplication,YHR215W
YBR093C,DNA-based duplication,YDL024C
YBR093C,DNA-based duplication,YBR092C
YIL040W,de novo origination,YIL040W
YIL011W,DNA-based duplication like,YER011W
YIL011W,DNA-based duplication like,YBR067C
YIL011W,DNA-based duplication like,YOR009W
YIL011W,DNA-based duplication like,YOR010C
YIR021W,de novo origination,YIR021W
YIR036C,DNA-based duplication,YIR035C
YIR040C,DNA-based duplication,YJL222W-B
YIR040C,DNA-based duplication,YJL222W-A
YIR040C,DNA-based duplication,YNR075C-A
YIR040C,DNA-based duplication,YBL108W
YIR040C,DNA-based duplication,YAL067W-A
YIR040C,DNA-based duplication,YKL223W
YIR040C,DNA-based duplication,YGL260W
YIR041W,DNA-based duplication,YLR461W
YIR041W,DNA-based duplication,YMR325W
YIR041W,DNA-based duplication,YLR037C
YIR041W,DNA-based duplication,YGR294W
YIR041W,DNA-based duplication,YIL176C
YIR041W,DNA-based duplication,YEL049W
YIR041W,DNA-based duplication,YLL064C
YIR041W,DNA-based duplication,YKL224C
YIR041W,DNA-based duplication,YDR542W
YIR041W,DNA-based duplication like,YJR151C
YIR041W,DNA-based duplication like,YJR150C
YIR041W,DNA-based duplication,YHL046C
YIR041W,DNA-based duplication,YPL282C
YIR041W,DNA-based duplication,YBR301W
YIR041W,DNA-based duplication,YFL020C
YIR041W,DNA-based duplication,YAR020C
YIR041W,DNA-based duplication,YLL025W
YIR041W,DNA-based duplication,YBL108C-A
YIR041W,DNA-based duplication,YJL223C
YIR041W,DNA-based duplication,YCR104W
YIR041W,DNA-based duplication,YNR076W
YIR041W,DNA-based duplication,YOL161C
YIR041W,DNA-based duplication,YOR394W
YIR041W,DNA-based duplication,YAL068C
YIR041W,DNA-based duplication,YGL261C
YIR042C,de novo origination,YIR042C
YJL225C,DNA-based duplication,YIL177C
YJL225C,DNA-based duplication like,YLR462W
YJL225C,DNA-based duplication,YHL050C
YJL225C,DNA-based duplication,YDR545W
YJL225C,DNA-based duplication,YHR219W
YJL225C,DNA-based duplication,YBL112C
YJL225C,DNA-based duplication,YEL077C
YJL225C,DNA-based duplication,YFL066C
YJL225C,DNA-based duplication,YHR218W-A
YJL225C,DNA-based duplication,YLL066C
YJL225C,DNA-based duplication,YBL111C
YJL225C,DNA-based duplication,YER190W
YJL225C,DNA-based duplication,YML133C
YJL225C,DNA-based duplication,YLR467W
YJL225C,DNA-based duplication,YPL283C
YJL225C,DNA-based duplication,YPR204W
YJL225C,DNA-based duplication,YBL113C
YJL225C,DNA-based duplication,YLR466W
YJL225C,DNA-based duplication,YOR396W
YJL225C,DNA-based duplication,YGR296W
YJL225C,DNA-based duplication,YLL067C
YJL225C,DNA-based duplication,YNL339C
YJL225C,DNA-based duplication,YHR218W
YJL225W-A,DNA-based duplication,YFL068W
YJL225W-A,DNA-based duplication,YHR219C-A
YJL225W-A,DNA-based duplication,YGR296C-B
YJL225W-A,DNA-based duplication,YLR466C-A
YJL225W-A,DNA-based duplication,YLL067W-A
YJL225W-A,DNA-based duplication,YOR396C-A
YJL225W-A,DNA-based duplication,YLR467C-A
