Gene,modeAge
PDGFA,Vertebrata
RLN2,Mammalia
APOB,Eumetazoa
CSF2,Mammalia
NR3C1,Vertebrata
TFF1,Mammalia
PRNP,Vertebrata
SOD2,Cellular_organisms
LCAT,Eukaryota
OAT,Euk+Bac
TK1,Cellular_organisms
MYCN,Vertebrata
THY1,Vertebrata
HLA-C,Vertebrata
CD74,Vertebrata
S100B,Vertebrata
VWF,Eumetazoa
SHBG,Vertebrata
SEMG1,Mammalia
GAPDH,Euk+Bac
HLA-A,Vertebrata
HLA-DPB1,Vertebrata
PRM1,Mammalia
ERBB2,Opisthokonta
NTRK1,Vertebrata
CAPNS1,Eukaryota
TP53,Opisthokonta
MT1E,Mammalia
MT1F,Mammalia
HSPB1,Eumetazoa
CYP1A1,Euk+Bac
RLN1,Mammalia
TYMS,Euk+Bac
CYBB,Eukaryota
SLC4A2,Eumetazoa
IGF1,Vertebrata
ATP1B1,Eumetazoa
CHGB,Vertebrata
ALDOB,Euk+Bac
APP,Eumetazoa
ARG1,Euk+Bac
APOD,Euk+Bac
CYP17A1,Eukaryota
ITGB3,Eumetazoa
ITGB2,Eumetazoa
CYP11A1,Euk+Bac
IL4,Mammalia
IL5,Mammalia
HMGN1,Vertebrata
SERPINB2,Cellular_organisms
SERPINE1,Cellular_organisms
CFI,Eumetazoa
MPO,Euk+Bac
CYP1A2,Euk+Bac
CYP2E1,Eukaryota
ALPL,Cellular_organisms
FGF1,Eumetazoa
IL6,Vertebrata
EDN1,Vertebrata
ICAM1,Eumetazoa
RPLP0,Euk_Archaea
JUN,Eumetazoa
POLR3D,Eumetazoa
SSB,Eukaryota
HLA-A,Vertebrata
HLA-DQB2,Vertebrata
TFAP2A,Eumetazoa
ITGB1,Eumetazoa
PRKCB,Eukaryota
KRT18,Eumetazoa
CSN2,Mammalia
CALB1,Vertebrata
GYPB,Mammalia
UGT2B4,Cellular_organisms
INSR,Eumetazoa
LCK,Vertebrata
CCK,Vertebrata
HLA-DOA,Vertebrata
RB1,Eukaryota
PGR,Vertebrata
PTMA,Vertebrata
CDK1,Eukaryota
S100A9,Mammalia
S100A6,Vertebrata
APOA4,Euk+Bac
CD2,Vertebrata
CEACAM5,Eumetazoa
CKM,Euk+Bac
ENO1,Cellular_organisms
FCER2,Mammalia
POLB,Cellular_organisms
NPM1,Eumetazoa
ITGAV,Eumetazoa
CRH,Vertebrata
LPL,Eumetazoa
KLK1,Mammalia
TH,Eumetazoa
DBI,Euk+Bac
FABP1,Eumetazoa
NEFL,Eukaryota
TPO,Euk+Bac
GPX1,Eumetazoa
THBD,Vertebrata
PROS1,Vertebrata
KLK3,Mammalia
CRYGC,Vertebrata
CRYGB,Vertebrata
ADH1A,Euk+Bac
FES,Eukaryota
CSF1R,Vertebrata
CTSD,Eukaryota
GP1BA,Vertebrata
IVL,Eumetazoa
ADRB2,Eumetazoa
DCN,Opisthokonta
CTSL,Eukaryota
CTSB,Eukaryota
LDHC,Cellular_organisms
HSP90AA1,Euk+Bac
GALT,Euk+Bac
UMOD,Eumetazoa
LAMB1,Eumetazoa
YES1,Eukaryota
RET,Eumetazoa
SFTPB,Eukaryota
ERCC1,Eukaryota
THBS1,Eumetazoa
GJB1,Vertebrata
SP1,Opisthokonta
IGF1R,Opisthokonta
RHO,Eumetazoa
HSPA1A,Eukaryota
HSPA1B,Eukaryota
MSMB,Vertebrata
COL1A2,Opisthokonta
RHOC,Eukaryota
NGFR,Eumetazoa
GLI1,Opisthokonta
ABCB1,Euk+Bac
SLC3A2,Euk+Bac
NR3C2,Vertebrata
GUSB,Cellular_organisms
HSP90AB1,Euk+Bac
ASNS,Cellular_organisms
ELANE,Eumetazoa
SYP,Eumetazoa
MMP2,Eumetazoa
MMP3,Mammalia
GSTA1,Euk+Bac
CTSG,Eumetazoa
MME,Cellular_organisms
MGP,Vertebrata
ITGA2B,Eumetazoa
PDHA1,Euk+Bac
CD14,Mammalia
COL4A2,Opisthokonta
CYC1,Eukaryota
PTPRC,Eumetazoa
MET,Eumetazoa
MELTF,Eumetazoa
CFH,Vertebrata
FGF4,Eumetazoa
HCK,Vertebrata
ITGA5,Eumetazoa
NFIC,Eumetazoa
VIM,Vertebrata
CYP3A4,Cellular_organisms
IL3,Mammalia
F7,Eukaryota
KRT19,Eumetazoa
KRT7,Mammalia
KRT16,Eumetazoa
IGFBP1,Vertebrata
STS,Euk+Bac
IL6R,Vertebrata
HTR1A,Eumetazoa
ROS1,Opisthokonta
FGF2,Eumetazoa
POU2F2,Eumetazoa
DBH,Eumetazoa
GSTP1,Euk+Bac
MMP7,Eukaryota
MMP10,Mammalia
CXCL1,Mammalia
LGALS1,Vertebrata
HMGB1,Eukaryota
PAEP,Mammalia
FBP1,Cellular_organisms
SPARC,Eumetazoa
GSTM1,Euk+Bac
CNP,Eumetazoa
WNT2,Eumetazoa
HMOX1,Euk+Bac
CSF1,Vertebrata
PDGFRB,Vertebrata
HOXB7,Vertebrata
HOXC6,Eukaryota
HNRNPA1,Eukaryota
SCT,Mammalia
CD3G,Vertebrata
LCT,Vertebrata
PARP1,Eukaryota
ALOX5,Euk+Bac
ALPI,Cellular_organisms
FURIN,Eukaryota
C4A,Eumetazoa
C4B,Euk+Bac
TFPT,Vertebrata
UBB,Eukaryota
UBC,Eukaryota
GLI2,Opisthokonta
GLI3,Eumetazoa
GZMB,Eumetazoa
CXCL8,Vertebrata
CCL3,Mammalia
RNASE2,Vertebrata
MYB,Eukaryota
MYBL1,Eukaryota
MYBL2,Eukaryota
AR,Vertebrata
RARA,Eumetazoa
HLA-A,Vertebrata
HLA-B,Vertebrata
HLA-C,Vertebrata
ACR,Eumetazoa
BCL2,Opisthokonta
SPP1,Mammalia
NR2F6,Eumetazoa
NR2F1,Eumetazoa
TXN,Eukaryota
TGFB3,Eumetazoa
CYP2C8,Eukaryota
CYP2D6,Vertebrata
CHGA,Vertebrata
KIT,Vertebrata
RBP3,Euk+Bac
CD28,Vertebrata
HSPD1,Cellular_organisms
RARB,Eumetazoa
THRA,Eumetazoa
THRB,Eumetazoa
CLU,Vertebrata
GHR,Vertebrata
IRF1,Vertebrata
CD8B,Vertebrata
IAPP,Vertebrata
HSPA5,Cellular_organisms
MAP2,Eumetazoa
HSPA8,Cellular_organisms
LIPC,Eumetazoa
EGR2,Opisthokonta
SLC2A1,Euk+Bac
SLC2A3,Euk+Bac
ITGAM,Eumetazoa
ERG,Eumetazoa
PIM1,Eukaryota
FGFR1,Vertebrata
TOP1,Eukaryota
TOP2A,Eukaryota
G6PD,Euk+Bac
PSG1,Eumetazoa
VDR,Eumetazoa
ESRRA,Eumetazoa
PC,Euk+Bac
CYP2A6,Mammalia
CYP19A1,Eumetazoa
DMD,Eumetazoa
CETP,Eukaryota
SFTPC,Mammalia
CYP2C9,Eukaryota
IGF2R,Opisthokonta
ADH5,Euk+Bac
CDK4,Eukaryota
SRF,Eukaryota
MS4A1,Mammalia
CRYGA,Mammalia
CD79A,Vertebrata
ODC1,Cellular_organisms
PCNA,Euk_Archaea
COX6A1,Eukaryota
FABP2,Eumetazoa
COL11A1,Vertebrata
IMPDH2,Cellular_organisms
PTHLH,Vertebrata
PIP,Mammalia
FCGR1A,Eumetazoa
FCER1A,Eumetazoa
BMP2,Eumetazoa
BMP4,Eumetazoa
SKI,Eumetazoa
SKIL,Eumetazoa
ACE,Euk+Bac
CDH1,Eumetazoa
SRC,Eukaryota
XRCC6,Eukaryota
LYL1,Eumetazoa
XRCC5,Eukaryota
ALAS1,Euk+Bac
GP1BB,Vertebrata
IL7,Vertebrata
CCL4,Vertebrata
TDGF1,Mammalia
CCL2,Mammalia
CCL5,Vertebrata
MYH6,Eukaryota
CFTR,Vertebrata
NCAM1,Eumetazoa
ICAM2,Mammalia
VCAN,Vertebrata
RARG,Eumetazoa
MT1G,Mammalia
KRT10,Eumetazoa
KRT13,Eukaryota
KRT5,Eukaryota
P4HA1,Eukaryota
ACP5,Euk+Bac
CEACAM1,Eumetazoa
TPT1,Eukaryota
OSM,Mammalia
F3,Vertebrata
PRG2,Mammalia
HLA-E,Eumetazoa
HLA-DRB1,Vertebrata
HLA-DRB1,Vertebrata
HLA-DRB4,Vertebrata
HLA-DOB,Vertebrata
SLC5A1,Euk+Bac
ANXA8,Eukaryota
COL11A2,Eumetazoa
ADRB3,Eumetazoa
CD59,Vertebrata
HSD3B1,Euk+Bac
HSD17B1,Cellular_organisms
GFAP,Eukaryota
SELL,Eumetazoa
MIF,Eukaryota
CD99,Vertebrata
HGF,Eukaryota
PRF1,Vertebrata
IRF2,Eumetazoa
FDPS,Euk+Bac
SI,Eukaryota
DRD2,Eumetazoa
PLA2G2A,Eumetazoa
PKM,Cellular_organisms
CCNB1,Eukaryota
HOXB1,Eumetazoa
SLC2A4,Euk+Bac
TYR,Eumetazoa
IDE,Euk+Bac
GP9,Vertebrata
IL1R1,Eumetazoa
MMP9,Vertebrata
IL2RB,Vertebrata
POU2F1,Eumetazoa
IDO1,Opisthokonta
ETS1,Eumetazoa
JUP,Eukaryota
LIF,Vertebrata
ETS2,Eumetazoa
FABP4,Eumetazoa
AKR1B1,Euk+Bac
ANPEP,Cellular_organisms
PVR,Eumetazoa
GSPT1,Eukaryota
MYOD1,Eumetazoa
MYOG,Eumetazoa
IFNGR1,Vertebrata
B4GALT1,Eukaryota
EZR,Vertebrata
FOLR1,Eumetazoa
ATF2,Opisthokonta
CD19,Mammalia
FOSL1,Eumetazoa
FOSL2,Eumetazoa
HPGD,Euk+Bac
ELN,Vertebrata
CSF2RA,Vertebrata
AREG,Vertebrata
CD46,Mammalia
NME1,Cellular_organisms
CYP11B1,Cellular_organisms
NQO1,Cellular_organisms
VEGFA,Vertebrata
CD1D,Vertebrata
PAX1,Eumetazoa
TCF4,Eumetazoa
ST6GAL1,Vertebrata
RAG1,Vertebrata
TCF3,Eumetazoa
RPA2,Eukaryota
MUC1,Euk+Bac
COX7C,Eumetazoa
GATA1,Opisthokonta
TIMP2,Eumetazoa
ALOX15,Euk+Bac
CD44,Vertebrata
NQO2,Cellular_organisms
SELP,Opisthokonta
ACAN,Vertebrata
ITGB4,Eumetazoa
SPN,Mammalia
HLA-A,Vertebrata
HLA-A,Vertebrata
CREB1,Eumetazoa
PDGFRA,Vertebrata
PECAM1,Vertebrata
CTLA4,Vertebrata
EPCAM,Vertebrata
POR,Euk+Bac
MGMT,Cellular_organisms
TSHR,Eumetazoa
PDE6A,Vertebrata
PCSK2,Eukaryota
SELE,Opisthokonta
ATP2A2,Eukaryota
UGT2B7,Eumetazoa
CD36,Eukaryota
NPPB,Mammalia
STMN1,Eumetazoa
ZNF24,Opisthokonta
HMGA1,Vertebrata
IFNAR1,Vertebrata
BPI,Eukaryota
PRKCA,Eukaryota
JUNB,Eumetazoa
ITGA2,Eumetazoa
GJA1,Eumetazoa
SMPD1,Eukaryota
UBTF,Eumetazoa
HOXB8,Vertebrata
HOXB4,Eumetazoa
AKR1C4,Euk+Bac
JUND,Eumetazoa
TAL1,Eumetazoa
ATF7,Opisthokonta
SYN1,Eumetazoa
TYRP1,Vertebrata
DES,Eukaryota
CEBPB,Vertebrata
HLA-G,Vertebrata
TAT,Cellular_organisms
TPH1,Euk+Bac
CTPS1,Cellular_organisms
ENG,Vertebrata
DDX5,Eukaryota
XBP1,Eumetazoa
GM2A,Opisthokonta
CR1,Eumetazoa
LGALS3,Vertebrata
IGFBP3,Vertebrata
SPI1,Vertebrata
FLT1,Eumetazoa
PTPN1,Eukaryota
ALOX12,Euk+Bac
ERCC2,Cellular_organisms
BMP7,Eumetazoa
ADRA2B,Eumetazoa
EGR1,Opisthokonta
LBP,Eukaryota
NAT1,Euk+Bac
HLA-A,Vertebrata
HLA-B,Vertebrata
HLA-B,Vertebrata
IL1RN,Vertebrata
RCC1,Euk+Bac
SDC1,Eumetazoa
ATF1,Eumetazoa
ATF3,Eumetazoa
ATF4,Eumetazoa
ATF6,Eumetazoa
XRCC1,Eukaryota
KRT15,Eumetazoa
KRT4,Eukaryota
CDH2,Eumetazoa
CYP11B2,Euk+Bac
HDC,Euk+Bac
UGT1A6,Euk+Bac
EPOR,Vertebrata
CD58,Vertebrata
VCAM1,Eumetazoa
NCL,Eukaryota
NDUFV2,Euk+Bac
ELK1,Eumetazoa
TNNI3,Eumetazoa
TRIM21,Mammalia
TFEB,Eumetazoa
EIF2AK2,Eukaryota
TFE3,Opisthokonta
WT1,Opisthokonta
SLC9A1,Euk+Bac
RXRA,Eumetazoa
CEL,Vertebrata
NFKB1,Opisthokonta
CXCL2,Mammalia
NCF2,Eukaryota
FST,Eumetazoa
TYMP,Cellular_organisms
CR2,Eumetazoa
HLA-DPA1,Vertebrata
TCN2,Vertebrata
CD33,Eumetazoa
KLK2,Mammalia
TBP,Euk_Archaea
CCNA2,Eukaryota
POU3F2,Eumetazoa
CD22,Eumetazoa
BTF3,Eukaryota
ALOX5AP,Euk+Bac
TNFRSF1B,Mammalia
RAB3A,Eukaryota
TAC1,Vertebrata
NR1D1,Eumetazoa
TRH,Vertebrata
MX1,Opisthokonta
ITGAL,Vertebrata
ITGAX,Eumetazoa
DDC,Euk+Bac
HOXA5,Vertebrata
BCL3,Eumetazoa
OGN,Vertebrata
NTF3,Eumetazoa
IL11,Vertebrata
CYP2B6,Eukaryota
CYP3A5,Cellular_organisms
HNF1A,Eumetazoa
C4BPB,Mammalia
FLG,Mammalia
CD247,Vertebrata
CDK11B,Eukaryota
MAL,Vertebrata
FUT3,Eukaryota
PTN,Eumetazoa
CSRP1,Eukaryota
NF1,Eukaryota
MAOA,Euk+Bac
ACO1,Cellular_organisms
ABCB4,Eukaryota
S1PR1,Eumetazoa
CNR1,Eumetazoa
TNFAIP3,Eumetazoa
NT5E,Euk+Bac
SAT1,Cellular_organisms
TAF1,Eukaryota
DRD1,Eumetazoa
TBXA2R,Eumetazoa
MSR1,Eumetazoa
FGF7,Eumetazoa
BGN,Euk+Bac
IBSP,Vertebrata
ERBB3,Opisthokonta
SDHB,Cellular_organisms
MATN1,Vertebrata
FUT4,Eukaryota
CDH3,Eumetazoa
IL10,Vertebrata
ACHE,Euk+Bac
UGT1A1,Euk+Bac
UGT1A4,Opisthokonta
USF1,Vertebrata
FGFR4,Vertebrata
SPRR1B,Mammalia
ALAS2,Euk+Bac
FDXR,Euk+Bac
FGFR3,Vertebrata
HNRNPA2B1,Eukaryota
RFX1,Opisthokonta
CYP7A1,Cellular_organisms
IGFBP4,Vertebrata
NR4A1,Eumetazoa
GNLY,Mammalia
LHCGR,Eumetazoa
XPA,Opisthokonta
CES1,Eumetazoa
FBLN1,Vertebrata
PTGS1,Eukaryota
ITGA6,Eumetazoa
SFPQ,Eumetazoa
MYF6,Eumetazoa
GLRA1,Eumetazoa
JAK1,Vertebrata
PTPRG,Vertebrata
PTPRZ1,Eumetazoa
SP100,Mammalia
TNFSF4,Mammalia
NFYA,Eukaryota
BDNF,Vertebrata
PAX3,Eumetazoa
GATA2,Opisthokonta
GATA3,Vertebrata
RRM1,Cellular_organisms
FSHR,Eumetazoa
IL32,Mammalia
PRTN3,Eumetazoa
MMP11,Eukaryota
CCND1,Eukaryota
CRHBP,Eumetazoa
CYP3A7,Euk+Bac
NR2F2,Eumetazoa
GADD45A,Eukaryota
EDNRB,Eumetazoa
TBXAS1,Cellular_organisms
IGFBP5,Eumetazoa
ACAT1,Euk+Bac
TNC,Eukaryota
MYL9,Opisthokonta
DNASE1,Euk+Bac
CCNC,Eukaryota
CCNE1,Eukaryota
CYP2F1,Eukaryota
CDK2,Eukaryota
CXCR1,Mammalia
CXCR2,Vertebrata
APC,Eumetazoa
CD24,Mammalia
GUCY2C,Opisthokonta
GRK2,Eukaryota
PTAFR,Eumetazoa
ACKR3,Vertebrata
F2R,Eumetazoa
MPZ,Vertebrata
MCM3,Euk_Archaea
NFYB,Eukaryota
LAMA1,Eumetazoa
BRD2,Eukaryota
FAS,Eumetazoa
YY1,Eumetazoa
ATP5F1A,Euk+Bac
CTSS,Eukaryota
LMO2,Eumetazoa
LMO1,Eumetazoa
S100P,Mammalia
UCP1,Eukaryota
CD40,Opisthokonta
NFKBIA,Eumetazoa
ITGB7,Vertebrata
ITGB8,Vertebrata
