,Tf,Tg,TF_age,Tg_age
51,YAL051W,YNL299W,Saccharomyceta,Eukaryota
52,YAL051W,YNL321W,Saccharomyceta,Euk+Bac
53,YAL051W,YNL322C,Saccharomyceta,Saccharomyceta
54,YAL051W,YOL083W,Saccharomyceta,
55,YAL051W,YOR042W,Saccharomyceta,Saccharomyceta
56,YAL051W,YPL016W,Saccharomyceta,Opisthokonta
57,YAL051W,YPL017C,Saccharomyceta,Euk+Bac
58,YAL051W,YPL262W,Saccharomyceta,Cellular_organisms
59,YAL051W,YPL263C,Saccharomyceta,Eukaryota
60,YAL051W,YPR148C,Saccharomyceta,Ascomycota
61,YBL005W,YBL006C,Dikarya,
62,YBL005W,YBR008C,Dikarya,Euk+Bac
63,YBL005W,YDR011W,Dikarya,Eukaryota
64,YBL005W,YDR072C,Dikarya,Saccharomyceta
65,YBL005W,YDR406W,Dikarya,Eukaryota
66,YBL005W,YDR415C,Dikarya,Euk+Bac
67,YBL005W,YDR416W,Dikarya,Eukaryota
68,YBL005W,YDR468C,Dikarya,Eukaryota
69,YBL005W,YDR469W,Dikarya,Opisthokonta
70,YBL005W,YGR281W,Dikarya,Dikarya
71,YBL005W,YHR064C,Dikarya,Dikarya
72,YBL005W,YJL219W,Dikarya,Euk+Bac
73,YBL005W,YJR007W,Dikarya,Euk_Archaea
74,YBL005W,YKL077W,Dikarya,Saccharomyceta
75,YBL005W,YML093W,Dikarya,Eukaryota
76,YBL005W,YML095CA,Dikarya,
77,YBL005W,YML096W,Dikarya,Eukaryota
78,YBL005W,YML097C,Dikarya,Eukaryota
79,YBL005W,YMR193W,Dikarya,Eukaryota
80,YBL005W,YMR258C,Dikarya,Saccharomyceta
81,YBL005W,YNL258C,Dikarya,Saccharomyceta
82,YBL005W,YNR007C,Dikarya,Eukaryota
83,YBL005W,YNR008W,Dikarya,Eukaryota
84,YBL005W,YOL083W,Dikarya,
85,YBL005W,YOL156W,Dikarya,Euk+Bac
86,YBL005W,YOR148C,Dikarya,Eukaryota
87,YBL005W,YOR153W,Dikarya,Eukaryota
88,YBL005W,YOR233W,Dikarya,Euk+Bac
89,YBL005W,YOR328W,Dikarya,Eukaryota
90,YBL054W,YIR030C,Saccharomyceta,Dikarya
91,YBL103C,YAL062W,Opisthokonta,Euk+Bac
92,YBL103C,YBL043W,Opisthokonta,Saccharomyceta
93,YBL103C,YBR104W,Opisthokonta,Eukaryota
94,YBL103C,YCR005C,Opisthokonta,Euk+Bac
95,YBL103C,YCR018CA,Opisthokonta,
96,YBL103C,YCR019W,Opisthokonta,Dikarya
97,YBL103C,YCR020CA,Opisthokonta,
98,YBL103C,YCR021C,Opisthokonta,Dikarya
99,YBL103C,YCR090C,Opisthokonta,Eukaryota
100,YBL103C,YCR095C,Opisthokonta,Saccharomyceta
101,YBL103C,YCR096C,Opisthokonta,
102,YBL103C,YCR097W,Opisthokonta,
103,YBL103C,YCR105W,Opisthokonta,Cellular_organisms
104,YBL103C,YCR107W,Opisthokonta,Cellular_organisms
105,YBL103C,YDL013W,Opisthokonta,Saccharomyceta
106,YBL103C,YDL044C,Opisthokonta,
107,YBL103C,YDL066W,Opisthokonta,Euk+Bac
108,YBL103C,YDL067C,Opisthokonta,Ascomycota
109,YBL103C,YDL182W,Opisthokonta,Cellular_organisms
110,YBL103C,YDR040C,Opisthokonta,Eukaryota
111,YBL103C,YDR041W,Opisthokonta,Euk+Bac
112,YBL103C,YDR042C,Opisthokonta,
113,YBL103C,YDR067C,Opisthokonta,Eukaryota
114,YBL103C,YDR068W,Opisthokonta,Eukaryota
115,YBL103C,YDR077W,Opisthokonta,Saccharomyceta
116,YBL103C,YDR078C,Opisthokonta,
117,YBL103C,YDR079W,Opisthokonta,Saccharomyceta
118,YBL103C,YDR084C,Opisthokonta,Eukaryota
119,YBL103C,YDR127W,Opisthokonta,Cellular_organisms
120,YBL103C,YDR179C,Opisthokonta,
121,YBL103C,YDR179WA,Opisthokonta,
122,YBL103C,YDR210WD,Opisthokonta,
123,YBL103C,YDR314C,Opisthokonta,Saccharomyceta
124,YBL103C,YDR317W,Opisthokonta,
125,YBL103C,YDR482C,Opisthokonta,Saccharomyceta
126,YBL103C,YDR483W,Opisthokonta,Eukaryota
127,YBL103C,YDR508C,Opisthokonta,Euk+Bac
128,YBL103C,YDR510W,Opisthokonta,Eukaryota
129,YBL103C,YDR519W,Opisthokonta,Euk+Bac
130,YBL103C,YDR522C,Opisthokonta,Opisthokonta
131,YBL103C,YDR540C,Opisthokonta,Euk+Bac
132,YBL103C,YEL010W,Opisthokonta,
133,YBL103C,YEL050C,Opisthokonta,Euk+Bac
134,YBL103C,YEL071W,Opisthokonta,Euk+Bac
135,YBL103C,YER002W,Opisthokonta,Dikarya
136,YBL103C,YER013W,Opisthokonta,Euk+Bac
137,YBL103C,YER044CA,Opisthokonta,
138,YBL103C,YER069W,Opisthokonta,Cellular_organisms
139,YBL103C,YER129W,Opisthokonta,Eukaryota
140,YBL103C,YER138C,Opisthokonta,Saccharomyceta
141,YBL103C,YFR017C,Opisthokonta,
142,YBL103C,YGL255W,Opisthokonta,Eukaryota
143,YBL103C,YGR050C,Opisthokonta,
144,YBL103C,YGR071C,Opisthokonta,
145,YBL103C,YGR072W,Opisthokonta,Saccharomyceta
146,YBL103C,YGR142W,Opisthokonta,
147,YBL103C,YGR218W,Opisthokonta,Eukaryota
148,YBL103C,YGR271CA,Opisthokonta,
149,YBL103C,YGR272C,Opisthokonta,
150,YBL103C,YHR018C,Opisthokonta,Cellular_organisms
151,YBL103C,YHR161C,Opisthokonta,Eukaryota
152,YBL103C,YHR162W,Opisthokonta,Eukaryota
153,YBL103C,YIL056W,Opisthokonta,Saccharomyceta
154,YBL103C,YIR029W,Opisthokonta,Euk+Bac
155,YBL103C,YJL088W,Opisthokonta,Cellular_organisms
156,YBL103C,YJR011C,Opisthokonta,
157,YBL103C,YJR109C,Opisthokonta,Cellular_organisms
158,YBL103C,YJR110W,Opisthokonta,Eukaryota
159,YBL103C,YJR148W,Opisthokonta,Euk+Bac
160,YBL103C,YKL067W,Opisthokonta,Cellular_organisms
161,YBL103C,YKL071W,Opisthokonta,Euk+Bac
162,YBL103C,YKR004C,Opisthokonta,Saccharomyceta
163,YBL103C,YLL004W,Opisthokonta,Saccharomyceta
164,YBL103C,YLL005C,Opisthokonta,Eukaryota
165,YBL103C,YLL015W,Opisthokonta,Eukaryota
166,YBL103C,YLR049C,Opisthokonta,
167,YBL103C,YLR082C,Opisthokonta,
168,YBL103C,YLR130C,Opisthokonta,Eukaryota
169,YBL103C,YLR140W,Opisthokonta,
170,YBL103C,YLR141W,Opisthokonta,
171,YBL103C,YLR266C,Opisthokonta,Ascomycota
172,YBL103C,YLR267W,Opisthokonta,
173,YBL103C,YLR302C,Opisthokonta,
174,YBL103C,YLR304C,Opisthokonta,Cellular_organisms
175,YBL103C,YLR316C,Opisthokonta,Eukaryota
176,YBL103C,YLR318W,Opisthokonta,Eukaryota
177,YBL103C,YLR397C,Opisthokonta,Cellular_organisms
178,YBL103C,YMR019W,Opisthokonta,Saccharomyceta
179,YBL103C,YMR098C,Opisthokonta,Saccharomyceta
180,YBL103C,YMR135WA,Opisthokonta,
181,YBL103C,YMR178W,Opisthokonta,Cellular_organisms
182,YBL103C,YMR193W,Opisthokonta,Eukaryota
183,YBL103C,YMR227C,Opisthokonta,Eukaryota
184,YBL103C,YMR228W,Opisthokonta,Ascomycota
185,YBL103C,YMR251WA,Opisthokonta,
186,YBL103C,YNL001W,Opisthokonta,Euk_Archaea
187,YBL103C,YNL002C,Opisthokonta,Saccharomyceta
188,YBL103C,YNL036W,Opisthokonta,Euk+Bac
189,YBL103C,YNL037C,Opisthokonta,Eukaryota
190,YBL103C,YNL134C,Opisthokonta,Dikarya
191,YBL103C,YNR001C,Opisthokonta,Euk+Bac
192,YBL103C,YNR017W,Opisthokonta,Eukaryota
193,YBL103C,YOL159C,Opisthokonta,
194,YBL103C,YOR136W,Opisthokonta,Cellular_organisms
195,YBL103C,YOR302W,Opisthokonta,
196,YBL103C,YOR303W,Opisthokonta,Cellular_organisms
197,YBL103C,YPL124W,Opisthokonta,
198,YBL103C,YPL135W,Opisthokonta,Cellular_organisms
199,YBL103C,YPL137C,Opisthokonta,Saccharomyceta
200,YBL103C,YPL268W,Opisthokonta,Eukaryota
201,YBL103C,YPR001W,Opisthokonta,Cellular_organisms
202,YBL103C,YPR038W,Opisthokonta,
203,YBL103C,YPR039W,Opisthokonta,
204,YBL103C,YPR040W,Opisthokonta,Eukaryota
205,YBL103C,YPR198W,Opisthokonta,Euk+Bac
206,YBR033W,YEL015W,Saccharomyceta,Opisthokonta
207,YBR033W,YEL016C,Saccharomyceta,Eukaryota
208,YBR033W,YJR132W,Saccharomyceta,Eukaryota
209,YBR049C,YAL030W,Eukaryota,Eukaryota
210,YBR049C,YAL031C,Eukaryota,Saccharomyceta
211,YBR049C,YAL038W,Eukaryota,Cellular_organisms
212,YBR049C,YAL054C,Eukaryota,Cellular_organisms
213,YBR049C,YBL058W,Eukaryota,Eukaryota
214,YBR049C,YBL059CA,Eukaryota,
215,YBR049C,YBL059W,Eukaryota,Saccharomyceta
216,YBR049C,YBR019C,Eukaryota,Cellular_organisms
217,YBR049C,YBR020W,Eukaryota,Euk+Bac
218,YBR049C,YBR095C,Eukaryota,Saccharomyceta
219,YBR049C,YBR096W,Eukaryota,Saccharomyceta
220,YBR049C,YBR170C,Eukaryota,Eukaryota
221,YBR049C,YBR171W,Eukaryota,Dikarya
222,YBR049C,YBR236C,Eukaryota,Eukaryota
223,YBR049C,YBR237W,Eukaryota,Eukaryota
224,YBR049C,YCR012W,Eukaryota,Cellular_organisms
225,YBR049C,YCR032W,Eukaryota,Eukaryota
226,YBR049C,YCR042C,Eukaryota,Eukaryota
227,YBR049C,YCR094W,Eukaryota,Eukaryota
228,YBR049C,YDL045WA,Eukaryota,
229,YBR049C,YDL137W,Eukaryota,Eukaryota
230,YBR049C,YDL140C,Eukaryota,Cellular_organisms
231,YBR049C,YDL155W,Eukaryota,Eukaryota
232,YBR049C,YDL161W,Eukaryota,Eukaryota
233,YBR049C,YDL164C,Eukaryota,Cellular_organisms
234,YBR049C,YDL186W,Eukaryota,
235,YBR049C,YDL188C,Eukaryota,Eukaryota
236,YBR049C,YDL212W,Eukaryota,Dikarya
237,YBR049C,YDL213C,Eukaryota,Opisthokonta
238,YBR049C,YDL225W,Eukaryota,Saccharomyceta
239,YBR049C,YDL226C,Eukaryota,Eukaryota
240,YBR049C,YDR003W,Eukaryota,Saccharomyceta
241,YBR049C,YDR007W,Eukaryota,Cellular_organisms
242,YBR049C,YDR028C,Eukaryota,Dikarya
243,YBR049C,YDR036C,Eukaryota,Euk+Bac
244,YBR049C,YDR037W,Eukaryota,Cellular_organisms
245,YBR049C,YDR050C,Eukaryota,Euk+Bac
246,YBR049C,YDR146C,Eukaryota,Opisthokonta
247,YBR049C,YDR257C,Eukaryota,Eukaryota
248,YBR049C,YDR313C,Eukaryota,Dikarya
249,YBR049C,YDR322CA,Eukaryota,
250,YBR049C,YDR323C,Eukaryota,Opisthokonta
251,YBR049C,YDR328C,Eukaryota,Eukaryota
252,YBR049C,YDR455C,Eukaryota,
253,YBR049C,YDR457W,Eukaryota,Eukaryota
254,YBR049C,YDR465C,Eukaryota,Eukaryota
255,YBR049C,YDR466W,Eukaryota,Eukaryota
256,YBR049C,YEL012W,Eukaryota,Eukaryota
257,YBR049C,YEL022W,Eukaryota,Eukaryota
258,YBR049C,YEL023C,Eukaryota,Euk+Bac
259,YBR049C,YER013W,Eukaryota,Euk+Bac
260,YBR049C,YER025W,Eukaryota,Euk_Archaea
261,YBR049C,YER049W,Eukaryota,Opisthokonta
262,YBR049C,YER066CA,Eukaryota,
263,YBR049C,YER068W,Eukaryota,Eukaryota
264,YBR049C,YER086W,Eukaryota,Euk+Bac
265,YBR049C,YER105C,Eukaryota,Eukaryota
266,YBR049C,YER106W,Eukaryota,
267,YBR049C,YER156C,Eukaryota,Euk+Bac
268,YBR049C,YER157W,Eukaryota,Eukaryota
269,YBR049C,YFL005W,Eukaryota,Eukaryota
270,YBR049C,YFL039C,Eukaryota,Eukaryota
271,YBR049C,YGL026C,Eukaryota,Cellular_organisms
272,YBR049C,YGL088W,Eukaryota,
273,YBR049C,YGL089C,Eukaryota,Saccharomyceta
274,YBR049C,YGL119W,Eukaryota,Euk+Bac
275,YBR049C,YGL120C,Eukaryota,Euk+Bac
276,YBR049C,YGL151W,Eukaryota,Dikarya
277,YBR049C,YGL152C,Eukaryota,
278,YBR049C,YGL181W,Eukaryota,Eukaryota
279,YBR049C,YGL182C,Eukaryota,
280,YBR049C,YGL183C,Eukaryota,Eukaryota
281,YBR049C,YGL191W,Eukaryota,Opisthokonta
282,YBR049C,YGL193C,Eukaryota,
283,YBR049C,YGL244W,Eukaryota,Eukaryota
284,YBR049C,YGR012W,Eukaryota,Euk+Bac
285,YBR049C,YGR147C,Eukaryota,Dikarya
286,YBR049C,YGR184C,Eukaryota,Eukaryota
287,YBR049C,YGR241C,Eukaryota,Eukaryota
288,YBR049C,YGR243W,Eukaryota,Eukaryota
289,YBR049C,YGR254W,Eukaryota,Cellular_organisms
290,YBR049C,YHR039CA,Eukaryota,
291,YBR049C,YHR040W,Eukaryota,Eukaryota
292,YBR049C,YHR146W,Eukaryota,Saccharomyceta
293,YBR049C,YIL022W,Eukaryota,Eukaryota
294,YBR049C,YIL023C,Eukaryota,Eukaryota
295,YBR049C,YIL075C,Eukaryota,Eukaryota
296,YBR049C,YIL108W,Eukaryota,Euk+Bac
297,YBR049C,YIL109C,Eukaryota,Eukaryota
298,YBR049C,YIL112W,Eukaryota,Euk+Bac
299,YBR049C,YIL148W,Eukaryota,Eukaryota
300,YBR049C,YIL149C,Eukaryota,Eukaryota
301,YBR049C,YIR002C,Eukaryota,Euk_Archaea
302,YBR049C,YIR003W,Eukaryota,Saccharomyceta
303,YBR049C,YJL001W,Eukaryota,Eukaryota
304,YBR049C,YJL002C,Eukaryota,Eukaryota
305,YBR049C,YJL105W,Eukaryota,Opisthokonta
306,YBR049C,YJL148W,Eukaryota,Saccharomyceta
307,YBR049C,YJR007W,Eukaryota,Euk_Archaea
308,YBR049C,YJR085C,Eukaryota,Eukaryota
309,YBR049C,YJR086W,Eukaryota,Saccharomyceta
310,YBR049C,YJR087W,Eukaryota,
311,YBR049C,YJR090C,Eukaryota,Eukaryota
312,YBR049C,YJR097W,Eukaryota,Eukaryota
313,YBR049C,YJR098C,Eukaryota,Dikarya
314,YBR049C,YJR099W,Eukaryota,Eukaryota
315,YBR049C,YJR100C,Eukaryota,Eukaryota
316,YBR049C,YJR101W,Eukaryota,Ascomycota
317,YBR049C,YJR122W,Eukaryota,Euk+Bac
318,YBR049C,YKL025C,Eukaryota,Eukaryota
319,YBR049C,YKL058W,Eukaryota,Eukaryota
320,YBR049C,YKL059C,Eukaryota,Eukaryota
321,YBR049C,YKL072W,Eukaryota,Dikarya
322,YBR049C,YKL081W,Eukaryota,Eukaryota
323,YBR049C,YKL082C,Eukaryota,Eukaryota
324,YBR049C,YKL104C,Eukaryota,Cellular_organisms
325,YBR049C,YKL146W,Eukaryota,Eukaryota
326,YBR049C,YKL148C,Eukaryota,Cellular_organisms
327,YBR049C,YKL182W,Eukaryota,Euk+Bac
328,YBR049C,YKR015C,Eukaryota,
329,YBR049C,YKR016W,Eukaryota,Eukaryota
330,YBR049C,YKR068C,Eukaryota,Eukaryota
331,YBR049C,YKR069W,Eukaryota,Cellular_organisms
332,YBR049C,YLL040C,Eukaryota,Eukaryota
333,YBR049C,YLR032W,Eukaryota,Cellular_organisms
334,YBR049C,YLR223C,Eukaryota,Saccharomyceta
335,YBR049C,YLR224W,Eukaryota,Saccharomyceta
336,YBR049C,YLR378C,Eukaryota,Euk_Archaea
337,YBR049C,YLR380W,Eukaryota,Eukaryota
338,YBR049C,YML001W,Eukaryota,Eukaryota
339,YBR049C,YML119W,Eukaryota,
340,YBR049C,YML120C,Eukaryota,Cellular_organisms
341,YBR049C,YML129C,Eukaryota,
342,YBR049C,YMR039C,Eukaryota,Eukaryota
343,YBR049C,YMR040W,Eukaryota,Eukaryota
344,YBR049C,YMR117C,Eukaryota,Ascomycota
345,YBR049C,YMR121C,Eukaryota,Euk_Archaea
346,YBR049C,YMR122WA,Eukaryota,
347,YBR049C,YMR182C,Eukaryota,Dikarya
348,YBR049C,YMR182WA,Eukaryota,
349,YBR049C,YMR186W,Eukaryota,Euk+Bac
350,YBR049C,YMR188C,Eukaryota,Saccharomyceta
351,YBR049C,YMR189W,Eukaryota,Cellular_organisms
352,YBR049C,YMR214W,Eukaryota,Eukaryota
353,YBR049C,YMR221C,Eukaryota,Eukaryota
354,YBR049C,YMR280C,Eukaryota,Saccharomyceta
355,YBR049C,YMR281W,Eukaryota,Eukaryota
356,YBR049C,YNL008C,Eukaryota,Saccharomyceta
357,YBR049C,YNL090W,Eukaryota,Ascomycota
358,YBR049C,YNL091W,Eukaryota,Eukaryota
359,YBR049C,YNL111C,Eukaryota,Eukaryota
360,YBR049C,YNL113W,Eukaryota,Eukaryota
361,YBR049C,YNL115C,Eukaryota,Saccharomyceta
362,YBR049C,YNL161W,Eukaryota,Eukaryota
363,YBR049C,YNL169C,Eukaryota,Euk+Bac
364,YBR049C,YNL171C,Eukaryota,
365,YBR049C,YNL216W,Eukaryota,Saccharomyceta
366,YBR049C,YNL284C,Eukaryota,Eukaryota
367,YBR049C,YNR011C,Eukaryota,Euk+Bac
368,YBR049C,YNR012W,Eukaryota,Cellular_organisms
369,YBR049C,YNR039C,Eukaryota,Ascomycota
370,YBR049C,YNR040W,Eukaryota,Saccharomyceta
371,YBR049C,YOL004W,Eukaryota,Eukaryota
372,YBR049C,YOL005C,Eukaryota,Eukaryota
373,YBR049C,YOL006C,Eukaryota,Eukaryota
374,YBR049C,YOL144W,Eukaryota,Saccharomyceta
375,YBR049C,YOL145C,Eukaryota,Eukaryota
376,YBR049C,YOR044W,Eukaryota,
377,YBR049C,YOR048C,Eukaryota,Eukaryota
378,YBR049C,YOR074C,Eukaryota,Euk+Bac
379,YBR049C,YOR075W,Eukaryota,Eukaryota
380,YBR049C,YOR093C,Eukaryota,Opisthokonta
381,YBR049C,YOR094W,Eukaryota,Opisthokonta
382,YBR049C,YOR116C,Eukaryota,Cellular_organisms
383,YBR049C,YOR117W,Eukaryota,Eukaryota
384,YBR049C,YOR122C,Eukaryota,Eukaryota
385,YBR049C,YOR128C,Eukaryota,Cellular_organisms
386,YBR049C,YOR148C,Eukaryota,Eukaryota
387,YBR049C,YOR149C,Eukaryota,Eukaryota
388,YBR049C,YOR150W,Eukaryota,Euk+Bac
389,YBR049C,YOR187W,Eukaryota,Euk+Bac
390,YBR049C,YOR271C,Eukaryota,Eukaryota
391,YBR049C,YOR272W,Eukaryota,Eukaryota
392,YBR049C,YOR287C,Eukaryota,Eukaryota
393,YBR049C,YOR335C,Eukaryota,Cellular_organisms
394,YBR049C,YOR336W,Eukaryota,Eukaryota
395,YBR049C,YPL180W,Eukaryota,Saccharomyceta
396,YBR049C,YPL182C,Eukaryota,
397,YBR049C,YPL204W,Eukaryota,Eukaryota
398,YBR049C,YPL206C,Eukaryota,Euk+Bac
399,YBR049C,YPL231W,Eukaryota,Euk+Bac
400,YBR049C,YPR025C,Eukaryota,Eukaryota
401,YBR049C,YPR026W,Eukaryota,Euk+Bac
402,YBR049C,YPR052C,Eukaryota,Eukaryota
403,YBR049C,YPR053C,Eukaryota,
404,YBR049C,YPR055W,Eukaryota,Eukaryota
405,YBR049C,YPR067W,Eukaryota,Euk+Bac
406,YBR049C,YPR074C,Eukaryota,Euk+Bac
407,YBR049C,YPR076W,Eukaryota,
408,YBR049C,YPR099C,Eukaryota,
409,YBR049C,YPR101W,Eukaryota,
410,YBR049C,YPR119W,Eukaryota,Eukaryota
411,YBR049C,YPR163C,Eukaryota,Opisthokonta
412,YBR049C,YPR164W,Eukaryota,
413,YBR049C,YPR181C,Eukaryota,Eukaryota
414,YBR049C,YPR182W,Eukaryota,Euk_Archaea
415,YBR083W,YAR010C,Opisthokonta,
416,YBR083W,YAR014C,Opisthokonta,Dikarya
417,YBR083W,YAR015W,Opisthokonta,Cellular_organisms
418,YBR083W,YBL016W,Opisthokonta,Eukaryota
419,YBR083W,YBL017C,Opisthokonta,Eukaryota
420,YBR083W,YBR012WA,Opisthokonta,
421,YBR083W,YBR012WB,Opisthokonta,
422,YBR083W,YBR040W,Opisthokonta,Saccharomyceta
423,YBR083W,YBR082C,Opisthokonta,Eukaryota
424,YBR083W,YCL027W,Opisthokonta,Saccharomyceta
425,YBR083W,YCR089W,Opisthokonta,Opisthokonta
426,YBR083W,YCR107W,Opisthokonta,Cellular_organisms
427,YBR083W,YDL126C,Opisthokonta,Cellular_organisms
428,YBR083W,YDL127W,Opisthokonta,Saccharomyceta
429,YBR083W,YDR098CA,Opisthokonta,
430,YBR083W,YDR098CB,Opisthokonta,
431,YBR083W,YDR180W,Opisthokonta,Eukaryota
432,YBR083W,YDR210W,Opisthokonta,Dikarya
433,YBR083W,YDR309C,Opisthokonta,
434,YBR083W,YDR316WA,Opisthokonta,
435,YBR083W,YDR316WB,Opisthokonta,
436,YBR083W,YDR317W,Opisthokonta,
437,YBR083W,YDR461W,Opisthokonta,
438,YBR083W,YDR463W,Opisthokonta,Saccharomyceta
439,YBR083W,YDR522C,Opisthokonta,Opisthokonta
440,YBR083W,YEL040W,Opisthokonta,Dikarya
441,YBR083W,YER118C,Opisthokonta,Dikarya
442,YBR083W,YER120W,Opisthokonta,Eukaryota
443,YBR083W,YER137CA,Opisthokonta,
444,YBR083W,YER189W,Opisthokonta,
445,YBR083W,YER190W,Opisthokonta,Saccharomyceta
446,YBR083W,YFL039C,Opisthokonta,Eukaryota
447,YBR083W,YGL032C,Opisthokonta,
448,YBR083W,YGL062W,Opisthokonta,Euk+Bac
449,YBR083W,YGL192W,Opisthokonta,Eukaryota
450,YBR083W,YGL194C,Opisthokonta,Cellular_organisms
451,YBR083W,YGR014W,Opisthokonta,Dikarya
452,YBR083W,YGR039W,Opisthokonta,
453,YBR083W,YGR221C,Opisthokonta,Saccharomyceta
454,YBR083W,YHR005C,Opisthokonta,Eukaryota
455,YBR083W,YHR084W,Opisthokonta,Dikarya
456,YBR083W,YHR141C,Opisthokonta,
457,YBR083W,YHR142W,Opisthokonta,Saccharomyceta
458,YBR083W,YIL119C,Opisthokonta,
459,YBR083W,YIL123W,Opisthokonta,Ascomycota
460,YBR083W,YJL186W,Opisthokonta,Saccharomyceta
461,YBR083W,YJL187C,Opisthokonta,Eukaryota
462,YBR083W,YKL095W,Opisthokonta,Eukaryota
463,YBR083W,YKL096WA,Opisthokonta,
464,YBR083W,YKL097C,Opisthokonta,
465,YBR083W,YKL104C,Opisthokonta,Cellular_organisms
466,YBR083W,YKR041W,Opisthokonta,
467,YBR083W,YKR061W,Opisthokonta,Eukaryota
468,YBR083W,YKR091W,Opisthokonta,
469,YBR083W,YLL015W,Opisthokonta,Eukaryota
470,YBR083W,YLL065W,Opisthokonta,
471,YBR083W,YLR084C,Opisthokonta,Dikarya
472,YBR083W,YLR360W,Opisthokonta,
473,YBR083W,YLR403W,Opisthokonta,Dikarya
474,YBR083W,YLR463C,Opisthokonta,
475,YBR083W,YLR465C,Opisthokonta,
476,YBR083W,YLR467W,Opisthokonta,
477,YBR083W,YMR065W,Opisthokonta,Ascomycota
478,YBR083W,YMR135C,Opisthokonta,Eukaryota
479,YBR083W,YMR136W,Opisthokonta,Eukaryota
480,YBR083W,YMR164C,Opisthokonta,Saccharomyceta
481,YBR083W,YMR232W,Opisthokonta,Saccharomyceta
482,YBR083W,YNL053W,Opisthokonta,Eukaryota
483,YBR083W,YNL145W,Opisthokonta,
484,YBR083W,YNL279W,Opisthokonta,Dikarya
485,YBR083W,YNL280C,Opisthokonta,Eukaryota
486,YBR083W,YNL282W,Opisthokonta,Saccharomyceta
487,YBR083W,YNL283C,Opisthokonta,Saccharomyceta
488,YBR083W,YNL289W,Opisthokonta,Dikarya
489,YBR083W,YNL337W,Opisthokonta,
490,YBR083W,YNR044W,Opisthokonta,Opisthokonta
491,YBR083W,YOL105C,Opisthokonta,Saccharomyceta
492,YBR083W,YOR077W,Opisthokonta,Eukaryota
493,YBR083W,YOR129C,Opisthokonta,Eukaryota
494,YBR083W,YOR315W,Opisthokonta,
495,YBR083W,YPL163C,Opisthokonta,
496,YBR083W,YPL178W,Opisthokonta,Eukaryota
497,YBR083W,YPR158WA,Opisthokonta,
498,YBR083W,YPR158WB,Opisthokonta,
