Gene,modeAge
YLR448W,Eukaryota
YKL180W,Cellular_organisms
YLR344W,Euk_Archaea
YPL143W,Eukaryota
YMR194W,Eukaryota
YLR029C,Euk_Archaea
YLR061W,Eukaryota
YNL178W,Cellular_organisms
YBR189W,Euk_Archaea
YDR064W,Euk_Archaea
YLR167W,Eukaryota
YDR168W,Eukaryota
YIL038C,Eukaryota
YGL058W,Eukaryota
YJL080C,Eukaryota
YLR303W,Cellular_organisms
YGR088W,Euk+Bac
YLR355C,Cellular_organisms
YLR044C,Cellular_organisms
YAL039C,Eukaryota
YPR113W,Eukaryota
YNL104C,Euk+Bac
YDL017W,Eukaryota
YJL164C,Euk+Bac
YCR031C,Cellular_organisms
YOR202W,Cellular_organisms
YOR204W,Eukaryota
YLR442C,Eukaryota
YOR257W,Eukaryota
YPR160W,Euk+Bac
YGL237C,Eukaryota
YGR191W,Euk+Bac
YJR052W,Opisthokonta
YPR165W,Opisthokonta
YNL090W,Ascomycota
YKL178C,Dikarya
YDL159W,Eukaryota
YOR074C,Euk+Bac
YBR109C,Eukaryota
YER171W,Cellular_organisms
YER161C,Saccharomyceta
YOR065W,Euk+Bac
YKL182W,Euk+Bac
YDR226W,Cellular_organisms
YIL116W,Cellular_organisms
YNL121C,Eukaryota
YGL234W,Cellular_organisms
YGR204W,Cellular_organisms
YMR083W,Euk+Bac
YDR216W,Opisthokonta
YMR042W,Eukaryota
YDR173C,Eukaryota
YBL099W,Cellular_organisms
YDL067C,Ascomycota
YBL045C,Euk+Bac
YPR191W,Euk+Bac
YOR303W,Cellular_organisms
YJL130C,Cellular_organisms
YOL139C,Eukaryota
YPL075W,Dikarya
YOR375C,Euk+Bac
YGL009C,Cellular_organisms
YIR021W,Ascomycota
YDL106C,Opisthokonta
YFR034C,Saccharomyceta
YLR014C,Dikarya
YOR122C,Eukaryota
YHR037W,Euk+Bac
YGR258C,Eukaryota
YIL033C,Euk+Bac
YOL121C,Euk_Archaea
YNL302C,Euk_Archaea
YFL045C,Eukaryota
YDR023W,Cellular_organisms
YDR354W,Cellular_organisms
YBR243C,Eukaryota
YMR108W,Cellular_organisms
YHR013C,Cellular_organisms
YFL005W,Eukaryota
YBR115C,Euk+Bac
YPR110C,Euk_Archaea
YGR094W,Cellular_organisms
YOR236W,Euk+Bac
YFL009W,Euk+Bac
YAL024C,Dikarya
YOR274W,Euk+Bac
YLR438W,Euk+Bac
YNL192W,Opisthokonta
YIL099W,Opisthokonta
YEL024W,Euk+Bac
YDR146C,Opisthokonta
YPL262W,Cellular_organisms
YPR047W,Euk+Bac
YBR018C,Euk+Bac
YER026C,Cellular_organisms
YDR523C,Eukaryota
YDR522C,Opisthokonta
YNL277W,Cellular_organisms
YOR151C,Cellular_organisms
YJL167W,Eukaryota
YJL166W,Dikarya
YJR010W,Cellular_organisms
YHR005C,Eukaryota
YDR127W,Cellular_organisms
YLR451W,Saccharomyceta
YIR019C,Ascomycota
YCR005C,Euk+Bac
YHR023W,Cellular_organisms
YOR260W,Eukaryota
YJL194W,Eukaryota
YLR377C,Cellular_organisms
YEL060C,Euk+Bac
YLR142W,Eukaryota
YBL075C,Eukaryota
YBL076C,Cellular_organisms
YBR084W,Cellular_organisms
YDR298C,Euk+Bac
YPL016W,Opisthokonta
YGL203C,Euk+Bac
YFL018C,Cellular_organisms
YML124C,Eukaryota
YOR313C,Saccharomyceta
YJL026W,Cellular_organisms
YDR232W,Euk+Bac
YLR182W,Opisthokonta
YLR333C,Eukaryota
YKR057W,Eukaryota
YJL190C,Cellular_organisms
YPR102C,Euk_Archaea
YLR264W,Euk_Archaea
YDR471W,Eukaryota
YDL075W,Eukaryota
YLR406C,Eukaryota
YLL053C,Euk+Bac
YDL247W,Euk+Bac
YJR160C,Dikarya
YER039C,Eukaryota
YLR256W,Saccharomyceta
YKR103W,Opisthokonta
YMR325W,Saccharomyceta
YOR394W,Saccharomyceta
YLL039C,Eukaryota
YIL148W,Eukaryota
YFL061W,Saccharomyceta
YHL034C,Euk+Bac
YGL256W,Cellular_organisms
YMR256C,Saccharomyceta
YER152C,Euk+Bac
YLR163C,Euk+Bac
YJL133W,Eukaryota
YAL005C,Eukaryota
YLL024C,Eukaryota
YHR007C,Euk+Bac
YDL130W,Saccharomyceta
YLR180W,Euk+Bac
YCR066W,Opisthokonta
YER011W,Saccharomyceta
YER052C,Cellular_organisms
YGL073W,Eukaryota
YAL025C,Eukaryota
YKR097W,Euk+Bac
YDL192W,Eukaryota
YGL062W,Euk+Bac
YLR382C,Cellular_organisms
YDR044W,Euk+Bac
YNL241C,Euk+Bac
YAL041W,Eukaryota
YDL229W,Cellular_organisms
YDR481C,Cellular_organisms
YPR052C,Eukaryota
YCL027W,Saccharomyceta
YMR235C,Eukaryota
YMR043W,Eukaryota
YML098W,Eukaryota
YHR205W,Eukaryota
YHR024C,Euk+Bac
YNL216W,Saccharomyceta
YLR452C,Dikarya
YDR227W,Eukaryota
YJL153C,Euk+Bac
YBR143C,Euk_Archaea
YOR043W,Dikarya
YIL015W,Eukaryota
YML075C,Euk_Archaea
YLR450W,Euk_Archaea
YNL005C,Euk+Bac
YNL071W,Euk+Bac
YBR196C,Cellular_organisms
YNL250W,Cellular_organisms
YKL209C,Cellular_organisms
YMR231W,Eukaryota
YGL115W,Eukaryota
YJL092W,Cellular_organisms
YOR276W,Saccharomyceta
YDR009W,Euk+Bac
YML116W,Euk+Bac
YNL238W,Eukaryota
YLR081W,Euk+Bac
YDR122W,Eukaryota
YLR096W,Eukaryota
YAL040C,Saccharomyceta
YNL102W,Cellular_organisms
YER148W,Euk_Archaea
YHR084W,Dikarya
YGL167C,Cellular_organisms
YDR040C,Eukaryota
YDR158W,Cellular_organisms
YGL205W,Euk+Bac
YBR195C,Eukaryota
YGR152C,Eukaryota
YOL108C,Saccharomyceta
YPR183W,Cellular_organisms
YKL138C,Dikarya
YOR120W,Cellular_organisms
YGL030W,Euk_Archaea
YDR447C,Euk_Archaea
YKL112W,Eukaryota
YBR038W,Dikarya
YNL082W,Eukaryota
YJL151C,Opisthokonta
YKL060C,Euk+Bac
YJL141C,Eukaryota
YGR040W,Eukaryota
YDR054C,Eukaryota
YHR083W,Saccharomyceta
YER162C,Eukaryota
YDR217C,Eukaryota
YKR026C,Eukaryota
YKL104C,Cellular_organisms
YML057W,Eukaryota
YLL015W,Eukaryota
YDR155C,Euk+Bac
YDR035W,Euk+Bac
YKL103C,Euk+Bac
YOR254C,Eukaryota
YMR228W,Ascomycota
YBR112C,Eukaryota
YLR354C,Cellular_organisms
YMR186W,Euk+Bac
YDR037W,Cellular_organisms
YDR256C,Euk+Bac
YPR181C,Eukaryota
YGL166W,Dikarya
YJR152W,Cellular_organisms
YIR022W,Euk_Archaea
YOR348C,Euk+Bac
YDR194C,Eukaryota
YDL102W,Cellular_organisms
YDR283C,Eukaryota
YDR454C,Euk+Bac
YPL117C,Cellular_organisms
YLR060W,Cellular_organisms
YFL022C,Cellular_organisms
YGR282C,Ascomycota
YOR027W,Eukaryota
YBR082C,Eukaryota
YIL035C,Eukaryota
YOR330C,Opisthokonta
YBR213W,Dikarya
YCR088W,Opisthokonta
YBR072W,Euk+Bac
YCR053W,Euk+Bac
YBR127C,Cellular_organisms
YJL034W,Eukaryota
YNL210W,Eukaryota
YCL050C,Euk+Bac
YHR042W,Euk+Bac
YLR105C,Eukaryota
YBR110W,Eukaryota
YDR137W,Saccharomyceta
YMR205C,Euk+Bac
YBL016W,Eukaryota
YNL272C,Opisthokonta
YHL033C,Eukaryota
YJR060W,Dikarya
YPR141C,Eukaryota
YDR389W,Opisthokonta
YHR152W,Saccharomyceta
YPL031C,Eukaryota
YDL185W,Cellular_organisms
YNL322C,Saccharomyceta
YCR075C,Eukaryota
YHR025W,Cellular_organisms
YGR233C,Dikarya
YKL085W,Euk+Bac
YNL079C,Euk+Bac
YNL138W,Eukaryota
YOR158W,Saccharomyceta
YGR019W,Eukaryota
YCL040W,Euk+Bac
YPR189W,Eukaryota
YNL151C,Saccharomyceta
YNL130C,Eukaryota
YCL043C,Eukaryota
YBR085W,Eukaryota
YBL030C,Eukaryota
YPR167C,Cellular_organisms
YBR083W,Opisthokonta
YER040W,Opisthokonta
YLR393W,Dikarya
YOL140W,Cellular_organisms
YHR128W,Cellular_organisms
YLR392C,Saccharomyceta
YBR080C,Eukaryota
YOR212W,Eukaryota
YJR086W,Saccharomyceta
YMR173W,Opisthokonta
YBR003W,Cellular_organisms
YHR028C,Euk+Bac
YLR229C,Opisthokonta
YPL231W,Euk+Bac
YKR039W,Euk+Bac
YDL137W,Eukaryota
YOL081W,Eukaryota
YJR047C,Euk_Archaea
YDR148C,Euk+Bac
YLR071C,Eukaryota
YDR502C,Euk+Bac
YLR304C,Cellular_organisms
YOR061W,Eukaryota
YPL132W,Euk+Bac
YOR326W,Eukaryota
YPL133C,Dikarya
YPL036W,Cellular_organisms
YJL085W,Eukaryota
YBR055C,Eukaryota
YDL030W,Eukaryota
YGL077C,Euk+Bac
YGR184C,Eukaryota
YML007W,Ascomycota
YDL236W,Cellular_organisms
YLR259C,Cellular_organisms
YFR049W,Saccharomyceta
YMR013C,Eukaryota
YBR166C,Dikarya
YIL072W,Eukaryota
YLR420W,Euk+Bac
YPR178W,Euk+Bac
YNL135C,Euk+Bac
YNR011C,Euk+Bac
YMR243C,Cellular_organisms
YPR176C,Eukaryota
YOR140W,Eukaryota
YJL140W,Eukaryota
YPR187W,Euk_Archaea
YMR199W,Saccharomyceta
YPL256C,Saccharomyceta
YJL033W,Eukaryota
YKL045W,Eukaryota
YJR007W,Euk_Archaea
YLR133W,Eukaryota
YBR135W,Eukaryota
YDL047W,Eukaryota
YPL218W,Eukaryota
YOR098C,Opisthokonta
YLR396C,Eukaryota
YJR004C,Saccharomyceta
YIL125W,Euk+Bac
YGL055W,Euk+Bac
YLR131C,Opisthokonta
YGL011C,Eukaryota
YOR128C,Cellular_organisms
YJL157C,Saccharomyceta
YPL271W,Opisthokonta
YOR188W,Saccharomyceta
YBR237W,Eukaryota
YJR049C,Cellular_organisms
YJR050W,Eukaryota
YJR051W,Euk+Bac
YER070W,Cellular_organisms
YBR049C,Eukaryota
YPL215W,Eukaryota
YPL172C,Cellular_organisms
YDR402C,Saccharomyceta
YDR403W,Euk+Bac
YIR023W,Ascomycota
YIL066C,Cellular_organisms
YLL041C,Cellular_organisms
YPL094C,Eukaryota
YIR031C,Cellular_organisms
YGL097W,Euk+Bac
YNL262W,Eukaryota
YDL066W,Euk+Bac
YHL020C,Saccharomyceta
YNL307C,Saccharomyceta
YDL090C,Eukaryota
YOR336W,Eukaryota
YKR099W,Eukaryota
YOR290C,Eukaryota
YDR530C,Euk+Bac
YOL126C,Euk+Bac
YER142C,Cellular_organisms
YJL180C,Eukaryota
YMR282C,Saccharomyceta
YGL206C,Eukaryota
YPR010C,Eukaryota
YOR210W,Euk_Archaea
YHR123W,Eukaryota
YER012W,Eukaryota
YMR307W,Dikarya
YGL173C,Eukaryota
YOL116W,Saccharomyceta
YGL071W,Saccharomyceta
YER103W,Eukaryota
YOR332W,Eukaryota
YGR092W,Eukaryota
YAR018C,Eukaryota
YNL183C,Saccharomyceta
YLR268W,Eukaryota
YOR307C,Opisthokonta
YPL153C,Euk+Bac
YLR043C,Cellular_organisms
YBR097W,Eukaryota
YOR207C,Cellular_organisms
YGR183C,Eukaryota
YAR007C,Eukaryota
YJL063C,Euk+Bac
YGL248W,Eukaryota
YGR171C,Cellular_organisms
YDR143C,Saccharomyceta
YKL210W,Eukaryota
YLR240W,Eukaryota
YOL004W,Eukaryota
YOL058W,Cellular_organisms
YGR209C,Cellular_organisms
YGL156W,Cellular_organisms
YFL014W,Dikarya
YCR019W,Dikarya
YHL022C,Saccharomyceta
YHL021C,Opisthokonta
YML063W,Euk_Archaea
YPR074C,Euk+Bac
YCR042C,Eukaryota
YHR135C,Eukaryota
YNL154C,Eukaryota
YPR161C,Eukaryota
YEL034W,Euk_Archaea
YFR015C,Euk+Bac
YGR076C,Ascomycota
YDR243C,Eukaryota
YKR052C,Eukaryota
YNL240C,Euk+Bac
YLR027C,Euk+Bac
YMR011W,Euk+Bac
YDL134C,Eukaryota
YDL188C,Eukaryota
YGR116W,Eukaryota
YGR135W,Eukaryota
YML092C,Euk_Archaea
YJR077C,Eukaryota
YML115C,Saccharomyceta
YDR495C,Eukaryota
YBL041W,Eukaryota
YLR300W,Eukaryota
YMR283C,Eukaryota
YMR281W,Eukaryota
YBR037C,Euk+Bac
YLL043W,Cellular_organisms
YHR026W,Eukaryota
YGR148C,Eukaryota
YKL197C,Eukaryota
YBR092C,Dikarya
YEL032W,Euk_Archaea
YMR079W,Eukaryota
YER013W,Euk+Bac
YPR175W,Eukaryota
YMR220W,Eukaryota
YOR351C,Ascomycota
YNL112W,Eukaryota
YPL119C,Eukaryota
YDR423C,Dikarya
YJR090C,Eukaryota
YNL289W,Dikarya
YGR108W,Eukaryota
YPR119W,Eukaryota
YDL155W,Eukaryota
YLR210W,Eukaryota
YDL122W,Saccharomyceta
YOL023W,Euk+Bac
YOL022C,Eukaryota
YPR065W,Dikarya
YOR157C,Eukaryota
YDL230W,Eukaryota
YMR296C,Euk+Bac
YBL093C,Ascomycota
YML008C,Eukaryota
YOR201C,Euk+Bac
YNL007C,Euk+Bac
YKL190W,Eukaryota
YML123C,Cellular_organisms
YMR061W,Eukaryota
YDR004W,Eukaryota
YER111C,Opisthokonta
YMR214W,Eukaryota
YCR008W,Eukaryota
YIR029W,Euk+Bac
YCR092C,Eukaryota
YCR063W,Eukaryota
YGL010W,Euk+Bac
YGL012W,Eukaryota
YCR002C,Opisthokonta
YCL032W,Dikarya
YCR024C,Euk+Bac
YCR098C,Dikarya
YCR003W,Saccharomyceta
YCR004C,Cellular_organisms
YCR023C,Eukaryota
YCR026C,Eukaryota
YCR032W,Eukaryota
YCR034W,Eukaryota
YCR037C,Cellular_organisms
YCR065W,Opisthokonta
YCR067C,Dikarya
YCR095C,Saccharomyceta
YCL031C,Eukaryota
YCL034W,Dikarya
YCL036W,Saccharomyceta
YCR083W,Euk+Bac
YCL035C,Eukaryota
YCL017C,Cellular_organisms
YCL057W,Euk+Bac
YCL025C,Euk+Bac
YCR105W,Cellular_organisms
YCR027C,Eukaryota
YCL064C,Eukaryota
YCL048W,Saccharomyceta
YCR045C,Cellular_organisms
YCL020W,Dikarya
YDL058W,Cellular_organisms
YCL024W,Eukaryota
YCR073C,Opisthokonta
YGL123W,Euk_Archaea
YER094C,Eukaryota
YER179W,Euk_Archaea
YER095W,Euk_Archaea
YNL064C,Eukaryota
YKL015W,Saccharomyceta
YEL027W,Eukaryota
YCL010C,Eukaryota
YCL011C,Eukaryota
YCL014W,Saccharomyceta
YCL016C,Eukaryota
YCL001W,Eukaryota
YCL002C,Saccharomyceta
YCL033C,Cellular_organisms
YCL037C,Eukaryota
YCL038C,Euk+Bac
YCL039W,Eukaryota
YCL044C,Saccharomyceta
YCL004W,Euk+Bac
YCL052C,Ascomycota
YCL054W,Eukaryota
YCL055W,Eukaryota
YCL059C,Eukaryota
YCL061C,Ascomycota
YCL008C,Eukaryota
YCL009C,Cellular_organisms
YCR100C,Eukaryota
YCR102C,Dikarya
YCR104W,Saccharomyceta
YCR106W,Saccharomyceta
YCR107W,Cellular_organisms
YCR015C,Saccharomyceta
YCR016W,Saccharomyceta
YCR017C,Eukaryota
YCR021C,Dikarya
YCR028C,Dikarya
YCR030C,Dikarya
YCR057C,Eukaryota
YCR059C,Eukaryota
YCR060W,Eukaryota
YCR061W,Dikarya
YCR068W,Dikarya
YCR077C,Dikarya
YCR079W,Dikarya
YCR081W,Ascomycota
YCR086W,Saccharomyceta
YCR089W,Opisthokonta
YCR090C,Eukaryota
YCR093W,Eukaryota
YCR094W,Eukaryota
YCR099C,Opisthokonta
YDL127W,Saccharomyceta
YDL126C,Cellular_organisms
YGR087C,Cellular_organisms
YGL116W,Euk+Bac
YPL131W,Euk_Archaea
YKR034W,Opisthokonta
YDL170W,Ascomycota
YMR055C,Eukaryota
YPL160W,Euk_Archaea
YJL139C,Ascomycota
YNL312W,Eukaryota
YJR123W,Euk_Archaea
YIL133C,Euk_Archaea
YNL069C,Euk_Archaea
YOR096W,Eukaryota
YKL113C,Euk_Archaea
YJR005W,Eukaryota
YLR258W,Euk+Bac
YNR013C,Cellular_organisms
YNR012W,Cellular_organisms
YJL172W,Euk+Bac
YAR015W,Cellular_organisms
YAR019C,Eukaryota
YAR014C,Dikarya
YBR067C,Saccharomyceta
YGL119W,Euk+Bac
YGL035C,Opisthokonta
YIL160C,Cellular_organisms
YDR483W,Eukaryota
YOR099W,Eukaryota
YAL058W,Eukaryota
YEL061C,Eukaryota
YNL137C,Dikarya
YGL070C,Eukaryota
YNL113W,Eukaryota
YAL034C,Ascomycota
YAL033W,Eukaryota
YOR178C,Opisthokonta
YHR089C,Eukaryota
YMR267W,Cellular_organisms
YER065C,Cellular_organisms
YOR136W,Cellular_organisms
YEL012W,Eukaryota
YKL216W,Cellular_organisms
YBL039C,Cellular_organisms
YKL096W,Saccharomyceta
YKL095W,Eukaryota
YKL007W,Eukaryota
YKL008C,Eukaryota
YMR201C,Opisthokonta
YMR152W,Saccharomyceta
YMR150C,Euk+Bac
YGR028W,Eukaryota
YBL063W,Eukaryota
YPL155C,Eukaryota
YKL003C,Opisthokonta
YDL205C,Cellular_organisms
YDR498C,Saccharomyceta
YDR329C,Saccharomyceta
YDR036C,Euk+Bac
YNL037C,Eukaryota
YLR286C,Eukaryota
YPR086W,Euk_Archaea
YGR246C,Eukaryota
YPL204W,Eukaryota
YER177W,Eukaryota
YGR133W,Eukaryota
YBR200W,Opisthokonta
YLL045C,Eukaryota
YOR208W,Eukaryota
YBR023C,Eukaryota
YBL023C,Euk_Archaea
YLR274W,Euk_Archaea
YDR353W,Cellular_organisms
YBR275C,Saccharomyceta
YPL048W,Eukaryota
YKL019W,Eukaryota
YHR190W,Cellular_organisms
YPR120C,Eukaryota
YDR497C,Euk+Bac
YDR164C,Eukaryota
YMR137C,Eukaryota
YOR317W,Eukaryota
YPR103W,Euk_Archaea
YFR050C,Eukaryota
YPR019W,Euk_Archaea
YMR080C,Eukaryota
YGL143C,Euk+Bac
YGR218W,Eukaryota
YKL016C,Dikarya
YNL117W,Cellular_organisms
YAL030W,Eukaryota
YDR285W,Eukaryota
YJR139C,Cellular_organisms
YBR114W,Euk+Bac
YGR220C,Euk+Bac
YAL012W,Cellular_organisms
YAL017W,Opisthokonta
YAL018C,Dikarya
YAL022C,Eukaryota
YAL023C,Eukaryota
YAL016W,Eukaryota
YKL080W,Eukaryota
YLL026W,Euk+Bac
YDR074W,Euk+Bac
YGL038C,Eukaryota
YGR037C,Euk+Bac
YNL073W,Saccharomyceta
YNL287W,Eukaryota
YPR060C,Eukaryota
YOL064C,Euk+Bac
YHL032C,Cellular_organisms
YIL155C,Cellular_organisms
YNL236W,Saccharomyceta
YER023W,Cellular_organisms
YDR300C,Cellular_organisms
YPR035W,Euk+Bac
YBL015W,Cellular_organisms
YEL052W,Euk+Bac
YGR144W,Cellular_organisms
YBL017C,Eukaryota
YNR044W,Opisthokonta
YDR052C,Opisthokonta
YBR218C,Euk+Bac
YPR111W,Eukaryota
YLR120C,Eukaryota
YPR058W,Eukaryota
YKL120W,Eukaryota
YPL082C,Cellular_organisms
YGR014W,Dikarya
YOR373W,Opisthokonta
YMR308C,Eukaryota
YGR044C,Saccharomyceta
YLR205C,Euk+Bac
YML120C,Cellular_organisms
YKL124W,Saccharomyceta
YDR047W,Euk+Bac
YPR190C,Eukaryota
YLL019C,Eukaryota
YMR202W,Eukaryota
YLR056W,Euk+Bac
YBL074C,Eukaryota
YPL175W,Cellular_organisms
YKL079W,Eukaryota
YLR447C,Eukaryota
YIR027C,Cellular_organisms
YNR043W,Euk_Archaea
YNR041C,Cellular_organisms
YGR253C,Euk_Archaea
YDR356W,Euk+Bac
YPL268W,Eukaryota
YLL046C,Opisthokonta
YLL048C,Eukaryota
YDR405W,Eukaryota
YKL167C,Saccharomyceta
YNL103W,Saccharomyceta
YDL078C,Euk+Bac
YLR403W,Dikarya
YGL089C,Saccharomyceta
YJL115W,Eukaryota
YBR249C,Euk+Bac
YGR286C,Cellular_organisms
YKL157W,Cellular_organisms
YLR314C,Opisthokonta
YIR032C,Euk+Bac
YIR030C,Dikarya
YKL191W,Eukaryota
YNL280C,Eukaryota
YKL192C,Euk+Bac
YKL189W,Eukaryota
YHR094C,Euk+Bac
YDR345C,Euk+Bac
YHR092C,Euk+Bac
YHR107C,Opisthokonta
YAL003W,Eukaryota
YDR519W,Euk+Bac
YBR221C,Euk+Bac
YDR518W,Eukaryota
YGR175C,Eukaryota
YJL101C,Eukaryota
YJL159W,Saccharomyceta
YBL008W,Eukaryota
YOR038C,Eukaryota
YER025W,Euk_Archaea
YLR113W,Eukaryota
YPR159W,Eukaryota
YNL268W,Cellular_organisms
YPL121C,Saccharomyceta
YPL140C,Eukaryota
YAL029C,Eukaryota
YDR176W,Opisthokonta
YDL208W,Eukaryota
YFR052W,Eukaryota
YDR211W,Eukaryota
YGL122C,Eukaryota
YIR006C,Eukaryota
YLR067C,Eukaryota
YJL203W,Eukaryota
YJL201W,Saccharomyceta
YPL269W,Saccharomyceta
YBR208C,Cellular_organisms
YJR063W,Eukaryota
YGL207W,Eukaryota
YMR001C,Euk+Bac
YOR270C,Cellular_organisms
YGR049W,Saccharomyceta
YIL075C,Eukaryota
YGR229C,Dikarya
YMR165C,Eukaryota
YDR011W,Eukaryota
YER022W,Ascomycota
YNL202W,Cellular_organisms
YDR422C,Dikarya
YGL169W,Cellular_organisms
YJL106W,Eukaryota
YGR155W,Cellular_organisms
YKR092C,Eukaryota
YDR410C,Eukaryota
YGR104C,Saccharomyceta
YNL016W,Eukaryota
YPL106C,Eukaryota
YBR169C,Eukaryota
YJL176C,Eukaryota
YIL126W,Eukaryota
YER133W,Eukaryota
YDR129C,Eukaryota
YKL203C,Eukaryota
YPR017C,Saccharomyceta
YBL050W,Eukaryota
YJL155C,Eukaryota
YBR119W,Opisthokonta
YOL067C,Saccharomyceta
YGL252C,Euk+Bac
YDR323C,Opisthokonta
YEL050C,Euk+Bac
YEL049W,Saccharomyceta
YEL047C,Euk+Bac
YEL044W,Eukaryota
YEL043W,Saccharomyceta
YEL041W,Cellular_organisms
YEL040W,Dikarya
YEL038W,Euk+Bac
YEL037C,Eukaryota
YEL036C,Eukaryota
YER172C,Cellular_organisms
YER173W,Eukaryota
YER175C,Euk+Bac
YER176W,Eukaryota
YER163C,Euk+Bac
YAR050W,Opisthokonta
YKR084C,Euk+Bac
YDL167C,Ascomycota
YDL168W,Cellular_organisms
YKL058W,Eukaryota
YEL011W,Euk+Bac
YDR311W,Eukaryota
YBR236C,Eukaryota
YBL013W,Euk+Bac
YBL014C,Saccharomyceta
YBL007C,Dikarya
YLR214W,Eukaryota
YLR397C,Cellular_organisms
YML042W,Eukaryota
YOR316C,Cellular_organisms
YGL191W,Opisthokonta
YJL210W,Eukaryota
YGL200C,Eukaryota
YGL255W,Eukaryota
YGL254W,Opisthokonta
YJL044C,Opisthokonta
YDL013W,Saccharomyceta
YBR212W,Eukaryota
YBR060C,Eukaryota
YLR293C,Eukaryota
YDL210W,Euk+Bac
YNR032W,Eukaryota
YDR375C,Eukaryota
YLR032W,Cellular_organisms
YPR055W,Eukaryota
YKL039W,Eukaryota
YKL040C,Euk+Bac
YKL035W,Euk+Bac
YKL038W,Saccharomyceta
YGL163C,Eukaryota
YPL232W,Eukaryota
YPL115C,Eukaryota
YDL174C,Euk+Bac
YLL008W,Eukaryota
YGR166W,Saccharomyceta
YDR081C,Opisthokonta
YNR017W,Eukaryota
YHR148W,Eukaryota
YHR149C,Saccharomyceta
YKR093W,Euk+Bac
YHR147C,Euk+Bac
YGR214W,Euk_Archaea
YNR002C,Cellular_organisms
YFL008W,Cellular_organisms
YNL244C,Eukaryota
YLR378C,Euk_Archaea
YDR292C,Cellular_organisms
YDR103W,Saccharomyceta
YML001W,Eukaryota
YGR109C,Eukaryota
YJL187C,Eukaryota
YOR344C,Saccharomyceta
YBL005W,Dikarya
YKL009W,Eukaryota
YKL010C,Eukaryota
YER100W,Eukaryota
YOR117W,Eukaryota
YDR394W,Eukaryota
YKL145W,Eukaryota
YOR153W,Eukaryota
YJR095W,Eukaryota
YDR085C,Saccharomyceta
YNL001W,Euk_Archaea
YLR188W,Cellular_organisms
YPL270W,Cellular_organisms
YBR117C,Euk+Bac
YLR175W,Cellular_organisms
YKL091C,Eukaryota
YDL215C,Euk+Bac
YOR327C,Eukaryota
YDR436W,Eukaryota
YOR184W,Euk+Bac
YDL052C,Euk+Bac
YPR198W,Euk+Bac
YGR143W,Eukaryota
YNL243W,Eukaryota
YGR047C,Eukaryota
YDL051W,Eukaryota
