Proteome_ID	Tax_ID	OSCODE	SUPERREGNUM	#(1)	#(2)	#(3)	Species_Name
UP000001038	8090	ORYLA	eukaryota	23617	12521	36219	Oryzias latipes (Japanese rice fish) (Japanese killifish)
UP000006906	3055	CHLRE	eukaryota	17614	1218	19039	Chlamydomonas reinhardtii (Chlamydomonas smithii)
UP000000561	237631	USTMA	eukaryota	6788	17	6808	Ustilago maydis (strain 521 / FGSC 9021) (Corn smut fungus)
UP000007719	515635	DICTD	bacteria	1743	0	1744	Dictyoglomus turgidum (strain DSM 6724 / Z-1310)
UP000000577	243231	GEOSL	bacteria	3402	0	3433	Geobacter sulfurreducens (strain ATCC 51573 / DSM 12127 / PCA)
UP000001300	284591	YARLI	eukaryota	6449	5	6477	Yarrowia lipolytica (strain CLIB 122 / E 150) (Yeast) (Candida lipolytica)
UP000001025	243090	RHOBA	bacteria	7271	0	7325	Rhodopirellula baltica (strain DSM 10527 / NCIMB 13988 / SH1)
UP000000798	224324	AQUAE	bacteria	1553	0	1557	Aquifex aeolicus (strain VF5)
UP000008183	243274	THEMA	bacteria	1852	0	1870	Thermotoga maritima (strain ATCC 43589 / DSM 3109 / JCM 10099 / NBRC 100826 / MSB8)
UP000000437	7955	DANRE	eukaryota	25707	21384	47524	Danio rerio (Zebrafish) (Brachydanio rerio)
UP000002280	13616	MONDO	eukaryota	21225	14996	36403	Monodelphis domestica (Gray short-tailed opossum)
UP000001519	9595	GORGO	eukaryota	21789	22937	45265	Gorilla gorilla gorilla (Western lowland gorilla)
UP000001055	321614	PHANO	eukaryota	15998	0	16008	Phaeosphaeria nodorum (strain SN15 / ATCC MYA-4574 / FGSC 10173) (Glume blotch fungus) (Parastagonospora nodorum)
UP000002254	9615	CANLF	eukaryota	20990	22680	44074	Canis lupus familiaris (Dog) (Canis familiaris)
UP000001449	35128	THAPS	eukaryota	11717	1	11782	Thalassiosira pseudonana (Marine diatom) (Cyclotella nana)
UP000001312	665079	SCLS1	eukaryota	14445	0	14472	Sclerotinia sclerotiorum (strain ATCC 18683 / 1980 / Ss-1) (White mold) (Whetzelinia sclerotiorum)
UP000002524	243230	DEIRA	bacteria	3084	0	3102	Deinococcus radiodurans (strain ATCC 13939 / DSM 20539 / JCM 16871 / LMG 4051 / NBRC 15346 / NCIMB 9279 / R1 / VKM B-1422)
UP000002277	9598	PANTR	eukaryota	23053	25740	49244	Pan troglodytes (Chimpanzee)
UP000001554	7739	BRAFL	eukaryota	28542	0	28639	Branchiostoma floridae (Florida lancelet) (Amphioxus)
UP000000557	251221	GLOVI	bacteria	4406	0	4427	Gloeobacter violaceus (strain ATCC 29082 / PCC 7421)
UP000001408	189518	LEPIN	bacteria	3676	0	3707	Leptospira interrogans serogroup Icterohaemorrhagiae serovar Lai (strain 56601)
UP000005238	164328	PHYRM	eukaryota	15349	0	15605	Phytophthora ramorum (Sudden oak death agent)
UP000000542	5664	LEIMA	eukaryota	8038	0	8315	Leishmania major
UP000000539	9031	CHICK	eukaryota	18112	9674	27932	Gallus gallus (Chicken)
UP000001940	6239	CAEEL	eukaryota	19825	8547	28585	Caenorhabditis elegans
UP000018468	7918	LEPOC	eukaryota	18321	4142	22485	Lepisosteus oculatus (Spotted gar)
