Gene_ID,cellular organisms,Eukaryota,Opisthokonta,Eumetazoa,Bilateria,Chordata,Euteleostomi,Tetrapoda,Amniota,Theria,Boreoeutheria,Euarchontoglires,Homininae,Homo
HDAC5,3.0,3.0,3.0,0.0,2.0,0.0,1.0,1.0,1.0,0.0,1.0,2.0,0.0,1.0
GJD2,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,2.0,1.0,1.0
BTAF1,1.0,4.0,8.0,0.0,2.0,0.0,1.0,1.0,1.0,0.0,1.0,2.0,1.0,1.0
XRCC1,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0
GPR39,0.0,0.0,0.0,0.0,2.0,1.0,2.0,1.0,1.0,0.0,1.0,2.0,2.0,1.0
EZH2,0.0,4.0,7.0,0.0,2.0,0.0,1.0,1.0,1.0,0.0,1.0,2.0,0.0,1.0
ADAMTS5,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,1.0
HIP1,0.0,1.0,2.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0
GATA5,0.0,0.0,5.0,0.0,2.0,0.0,1.0,0.0,1.0,0.0,1.0,2.0,0.0,1.0
HEY2,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,2.0,0.0,1.0
CXCL10,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,2.0,0.0,1.0
OTC,17.0,3.0,2.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,0.0,1.0
GP1BA,0.0,1.0,0.0,0.0,3.0,0.0,1.0,1.0,1.0,0.0,1.0,2.0,1.0,1.0
DNAJB4,16.0,3.0,4.0,0.0,2.0,0.0,1.0,1.0,1.0,0.0,1.0,2.0,0.0,1.0
ACP5,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0
UGT1A4,1.0,3.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,1.0
CD40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,0.0,1.0
SIGIRR,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,2.0,2.0,1.0
ATF6,0.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,2.0,1.0,1.0
GTF2A1,0.0,1.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0
RASGEF1B,0.0,1.0,3.0,0.0,2.0,0.0,1.0,1.0,1.0,0.0,1.0,2.0,0.0,1.0
KDM4B,0.0,2.0,2.0,0.0,2.0,0.0,1.0,1.0,1.0,0.0,1.0,2.0,1.0,1.0
PDGFRA,0.0,3.0,3.0,0.0,2.0,1.0,1.0,1.0,1.0,0.0,1.0,2.0,2.0,1.0
SLC19A2,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0
THRSP,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0
GAPDH,7.0,4.0,6.0,0.0,2.0,0.0,1.0,0.0,1.0,0.0,1.0,2.0,0.0,1.0
SYK,0.0,3.0,3.0,0.0,2.0,1.0,1.0,1.0,1.0,0.0,1.0,2.0,2.0,1.0
LIPE,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,1.0
BTRC,0.0,6.0,9.0,1.0,4.0,1.0,1.0,1.0,1.0,0.0,1.0,2.0,1.0,1.0
HLA-E,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.0,2.0,1.0
SOCS1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,0.0,1.0
TSC2,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,2.0,0.0,1.0
HBZ,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0
HOXC10,0.0,1.0,0.0,0.0,3.0,1.0,2.0,1.0,1.0,0.0,1.0,2.0,2.0,1.0
TBR1,0.0,0.0,0.0,0.0,2.0,1.0,1.0,1.0,1.0,0.0,1.0,2.0,1.0,1.0
EGLN2,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0
PDHA1,2.0,3.0,2.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,2.0,1.0,1.0
SFTPD,0.0,0.0,0.0,0.0,2.0,0.0,1.0,1.0,1.0,0.0,1.0,2.0,2.0,1.0
UHRF1,0.0,5.0,4.0,0.0,2.0,0.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0
LHCGR,0.0,0.0,0.0,0.0,2.0,0.0,2.0,1.0,1.0,0.0,1.0,2.0,1.0,1.0
BHLHE22,0.0,0.0,0.0,0.0,2.0,0.0,1.0,1.0,1.0,0.0,1.0,2.0,1.0,1.0
ULK1,0.0,4.0,8.0,1.0,2.0,0.0,1.0,1.0,1.0,0.0,1.0,2.0,1.0,1.0
PIAS1,0.0,2.0,2.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0
ZBTB17,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,2.0,2.0,1.0
NCOA3,0.0,0.0,0.0,0.0,2.0,0.0,1.0,1.0,1.0,0.0,1.0,2.0,1.0,1.0
NPHS2,2.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,1.0
ADAMTS1,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,1.0,1.0
MAT2A,14.0,4.0,3.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,1.0
SNAI3,0.0,0.0,1.0,0.0,2.0,0.0,2.0,1.0,1.0,0.0,1.0,2.0,2.0,1.0
BIRC2,0.0,3.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,2.0,2.0,1.0
HOXA4,0.0,1.0,0.0,0.0,3.0,1.0,2.0,1.0,1.0,0.0,1.0,2.0,2.0,1.0
ARNT2,0.0,0.0,1.0,0.0,2.0,0.0,1.0,1.0,1.0,0.0,1.0,2.0,1.0,1.0
FKBP4,3.0,4.0,7.0,0.0,2.0,0.0,1.0,1.0,1.0,0.0,1.0,2.0,0.0,1.0
DNASE2,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,1.0
MCM6,2.0,3.0,2.0,0.0,3.0,0.0,1.0,1.0,1.0,0.0,1.0,2.0,0.0,1.0
CCND2,0.0,3.0,3.0,0.0,2.0,0.0,2.0,1.0,1.0,0.0,1.0,2.0,0.0,1.0
S100A7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,1.0
PDE6A,0.0,2.0,1.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,1.0,1.0
KHSRP,0.0,1.0,2.0,0.0,2.0,0.0,1.0,0.0,1.0,0.0,1.0,2.0,0.0,1.0
NR2F6,0.0,0.0,0.0,0.0,2.0,0.0,2.0,1.0,1.0,0.0,1.0,2.0,2.0,1.0
FTO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0
PDCD11,7.0,3.0,6.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,1.0
DEFA1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0
MMP12,0.0,1.0,0.0,0.0,2.0,0.0,1.0,0.0,1.0,0.0,1.0,2.0,0.0,1.0
HOXC13,0.0,0.0,0.0,0.0,3.0,1.0,2.0,1.0,1.0,0.0,1.0,2.0,2.0,1.0
DEFB103A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0
LAMC2,0.0,0.0,0.0,0.0,2.0,0.0,1.0,1.0,1.0,0.0,0.0,2.0,0.0,1.0
HLA-DPA1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,2.0,2.0,1.0
SP2,0.0,0.0,2.0,0.0,2.0,0.0,1.0,1.0,1.0,0.0,1.0,2.0,2.0,1.0
HOXD3,0.0,0.0,0.0,0.0,3.0,1.0,2.0,1.0,1.0,0.0,1.0,2.0,2.0,1.0
CTCF,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,2.0,2.0,1.0
TMPRSS2,0.0,0.0,0.0,0.0,3.0,0.0,0.0,1.0,1.0,0.0,1.0,2.0,2.0,1.0
IGF1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,2.0,2.0,1.0
NTRK1,0.0,2.0,3.0,0.0,2.0,1.0,1.0,1.0,1.0,0.0,1.0,2.0,2.0,1.0
LTC4S,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,1.0
FAM57A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
WAS,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,1.0
TAL1,0.0,0.0,0.0,0.0,2.0,0.0,1.0,1.0,1.0,0.0,1.0,2.0,2.0,1.0
UBE2S,0.0,3.0,7.0,1.0,2.0,1.0,1.0,1.0,1.0,0.0,1.0,2.0,0.0,1.0
ZNF268,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,2.0,2.0,1.0
MMACHC,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,2.0,1.0,1.0
MS4A1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,1.0
PRTN3,0.0,0.0,0.0,0.0,3.0,0.0,0.0,1.0,1.0,0.0,1.0,2.0,2.0,1.0
GNRH2,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
IL7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,1.0
CYP2A6,2.0,3.0,3.0,0.0,2.0,0.0,2.0,0.0,1.0,0.0,1.0,2.0,2.0,1.0
TINF2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
CCND1,0.0,3.0,3.0,0.0,2.0,0.0,2.0,1.0,1.0,0.0,1.0,2.0,0.0,1.0
F12,0.0,0.0,0.0,0.0,3.0,0.0,1.0,1.0,1.0,0.0,1.0,2.0,2.0,1.0
SDHB,3.0,3.0,3.0,0.0,2.0,0.0,1.0,1.0,1.0,0.0,1.0,2.0,0.0,1.0
WEE1,0.0,4.0,6.0,0.0,2.0,1.0,1.0,1.0,1.0,0.0,1.0,2.0,1.0,1.0
TNFAIP3,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,2.0,0.0,1.0
BLMH,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,1.0
ST3GAL3,0.0,2.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,1.0,2.0,1.0,1.0
NRAS,0.0,4.0,6.0,0.0,3.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0
ADORA2A,0.0,0.0,0.0,0.0,2.0,1.0,2.0,1.0,1.0,0.0,1.0,2.0,2.0,1.0
NFRKB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0
SPHK1,1.0,3.0,2.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0
STAT1,0.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,0.0,1.0
SCD,0.0,1.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,1.0
HSD17B1,6.0,2.0,4.0,0.0,3.0,0.0,1.0,1.0,1.0,0.0,1.0,2.0,1.0,1.0
FGFR3,0.0,2.0,2.0,0.0,2.0,1.0,1.0,1.0,1.0,0.0,1.0,2.0,2.0,1.0
WDR5,0.0,6.0,10.0,1.0,4.0,1.0,1.0,1.0,1.0,0.0,1.0,2.0,1.0,1.0
CD58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
MAD2L1,0.0,2.0,3.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,2.0,1.0,1.0
SETDB1,0.0,5.0,7.0,0.0,2.0,0.0,1.0,1.0,1.0,0.0,1.0,2.0,0.0,1.0
BUB1B,0.0,2.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
LMO3,0.0,0.0,1.0,0.0,2.0,0.0,1.0,1.0,1.0,0.0,1.0,2.0,1.0,1.0
PA2G4,3.0,2.0,7.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,2.0,0.0,1.0
ZEB2,0.0,0.0,0.0,0.0,2.0,0.0,1.0,1.0,1.0,0.0,1.0,2.0,2.0,1.0
TIMP1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,0.0,1.0
POLE2,0.0,2.0,4.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0
IL17C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,1.0
SCN9A,0.0,0.0,2.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,2.0,1.0,1.0
FOXF1,0.0,0.0,3.0,0.0,2.0,0.0,2.0,1.0,1.0,0.0,1.0,2.0,2.0,1.0
NR4A2,0.0,0.0,0.0,0.0,2.0,0.0,2.0,1.0,1.0,0.0,1.0,2.0,2.0,1.0
EGLN3,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0
DKK3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0
LRP8,0.0,0.0,0.0,0.0,3.0,0.0,1.0,1.0,1.0,0.0,1.0,2.0,0.0,1.0
VLDLR,0.0,0.0,0.0,0.0,3.0,0.0,1.0,1.0,1.0,0.0,1.0,2.0,0.0,1.0
FMO4,3.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,1.0
CTNNBIP1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,2.0,0.0,1.0
NELFCD,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
IFNL1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0
NFYC,0.0,3.0,3.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,1.0
NOTCH1,0.0,3.0,1.0,0.0,2.0,0.0,1.0,1.0,1.0,0.0,1.0,2.0,1.0,1.0
CYP19A1,2.0,3.0,3.0,0.0,2.0,0.0,2.0,1.0,1.0,0.0,1.0,2.0,2.0,1.0
TAC1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,1.0
KLF16,0.0,0.0,3.0,0.0,2.0,0.0,1.0,1.0,1.0,0.0,1.0,2.0,2.0,1.0
MMP28,0.0,1.0,0.0,0.0,2.0,0.0,1.0,0.0,1.0,0.0,1.0,2.0,0.0,1.0
SPI1,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,2.0,1.0
CDK6,0.0,4.0,7.0,0.0,2.0,0.0,2.0,1.0,1.0,0.0,1.0,2.0,1.0,1.0
ID1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,2.0,0.0,1.0
CEBPD,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,0.0,1.0
FGF16,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,2.0,1.0,1.0
SLC13A3,1.0,1.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0
UGT1A8,1.0,2.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,1.0
TRIM28,0.0,1.0,1.0,0.0,2.0,0.0,1.0,1.0,1.0,0.0,1.0,2.0,0.0,1.0
ZNF750,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0
CDC5L,0.0,3.0,7.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,1.0,1.0
PHF10,0.0,2.0,2.0,0.0,2.0,0.0,1.0,0.0,1.0,0.0,1.0,2.0,0.0,1.0
CHD4,1.0,4.0,8.0,0.0,2.0,0.0,1.0,1.0,1.0,0.0,1.0,2.0,1.0,1.0
KDM5C,0.0,2.0,2.0,0.0,2.0,1.0,1.0,1.0,1.0,0.0,1.0,2.0,1.0,1.0
PCSK2,2.0,1.0,3.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,1.0
F13A1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,0.0,1.0
PPARA,0.0,0.0,0.0,0.0,2.0,0.0,2.0,1.0,1.0,0.0,1.0,2.0,2.0,1.0
HOXB13,0.0,1.0,0.0,0.0,3.0,1.0,2.0,1.0,1.0,0.0,1.0,2.0,2.0,1.0
KRT7,0.0,0.0,0.0,0.0,2.0,0.0,1.0,1.0,1.0,0.0,1.0,2.0,1.0,1.0
APLF,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0
MEF2D,0.0,3.0,3.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,0.0,1.0
ITGA2B,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,0.0,1.0
ZHX2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0
ITGA5,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,0.0,1.0
GC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,2.0,1.0
HFE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.0,2.0,1.0
IKBKB,2.0,4.0,8.0,0.0,2.0,0.0,1.0,1.0,1.0,0.0,1.0,2.0,1.0,1.0
TYRP1,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0
CHRNA5,1.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,1.0,0.0,1.0,2.0,1.0,1.0
ZNF350,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,1.0
TRERF1,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,1.0,0.0,1.0,2.0,0.0,1.0
HR,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,1.0
FABP4,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,1.0,0.0,1.0,2.0,0.0,1.0
ATP6V0A2,1.0,2.0,3.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,2.0,1.0,1.0
CD6,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,2.0,2.0,1.0
HMGA1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0
TBX4,0.0,0.0,0.0,0.0,2.0,1.0,1.0,1.0,1.0,0.0,1.0,2.0,1.0,1.0
SOX1,0.0,1.0,2.0,0.0,2.0,0.0,1.0,1.0,1.0,0.0,1.0,2.0,2.0,1.0
CDC34,0.0,3.0,7.0,1.0,2.0,1.0,1.0,1.0,1.0,0.0,1.0,2.0,0.0,1.0
SLC20A1,4.0,1.0,2.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,2.0,0.0,1.0
CABIN1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
RPTOR,0.0,3.0,4.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,2.0,0.0,1.0
HDAC11,3.0,3.0,3.0,0.0,2.0,0.0,1.0,1.0,1.0,0.0,1.0,2.0,0.0,1.0
ELK4,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,1.0,0.0,1.0,2.0,2.0,1.0
GFAP,0.0,0.0,0.0,0.0,2.0,0.0,1.0,1.0,1.0,0.0,1.0,2.0,1.0,1.0
OAT,19.0,5.0,5.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,1.0,2.0,0.0,1.0
RHOA,0.0,4.0,7.0,0.0,3.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0
PCBD1,5.0,2.0,2.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,0.0,1.0
HES6,0.0,0.0,0.0,0.0,2.0,0.0,1.0,1.0,1.0,0.0,1.0,2.0,0.0,1.0
FCGR1A,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,1.0
CDKN1C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
HDAC9,3.0,3.0,3.0,0.0,2.0,0.0,1.0,1.0,1.0,0.0,1.0,2.0,1.0,1.0
HIC1,0.0,0.0,0.0,0.0,2.0,0.0,1.0,1.0,1.0,0.0,1.0,2.0,2.0,1.0
ITGAM,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,1.0,0.0,1.0,2.0,0.0,1.0
WASF3,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,1.0
GHR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,1.0,1.0
VGF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,1.0
TDRD1,0.0,1.0,0.0,0.0,2.0,0.0,2.0,1.0,1.0,0.0,1.0,2.0,1.0,1.0
ADM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,1.0
ATF3,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,2.0,0.0,1.0
PTPN13,0.0,2.0,2.0,0.0,3.0,0.0,1.0,1.0,1.0,0.0,1.0,2.0,1.0,1.0
CYP1A1,2.0,3.0,3.0,0.0,2.0,0.0,2.0,1.0,1.0,0.0,1.0,2.0,2.0,1.0
CD19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
BACH2,0.0,0.0,0.0,0.0,3.0,0.0,1.0,1.0,1.0,0.0,1.0,2.0,1.0,1.0
ICAM1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,1.0
KPNB1,0.0,3.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,1.0
MFN2,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0
CFH,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,1.0,2.0,2.0,1.0
NOL7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
CYP1B1,2.0,3.0,3.0,0.0,2.0,0.0,2.0,0.0,1.0,0.0,1.0,2.0,2.0,1.0
ASAP2,0.0,3.0,6.0,0.0,2.0,0.0,1.0,1.0,1.0,0.0,1.0,2.0,0.0,1.0
NELL2,0.0,1.0,0.0,0.0,2.0,0.0,1.0,1.0,1.0,0.0,1.0,2.0,0.0,1.0
NDUFV2,3.0,2.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,1.0
CYP46A1,2.0,3.0,4.0,0.0,2.0,0.0,2.0,1.0,1.0,0.0,1.0,2.0,1.0,1.0
