"input" "reason" "matches" "symbol" "organism.shortName" "name" "length" "secondaryIdentifier" "primaryIdentifier" "class"
"P0C5R9" "OTHER" "1" "" "S. cerevisiae" "" "357" "YPR170W-B" "S000028515" "ORF"
"Q12405" "OTHER" "1" "LPX1" "S. cerevisiae" "Lipase of PeroXisomes" "1164" "YOR084W" "S000005610" "ORF"
"Q06822" "OTHER" "1" "ASA1" "S. cerevisiae" "AStra Associated protein" "1332" "YPR085C" "S000006289" "ORF"
"P38813" "OTHER" "1" "BIG1" "S. cerevisiae" "Bad In Glucose" "1095" "YHR101C" "S000001143" "ORF"
"Q12117" "OTHER" "1" "MRH1" "S. cerevisiae" "Membrane protein Related to Hsp30p" "963" "YDR033W" "S000002440" "ORF"
"P36023" "OTHER" "1" "OAF3" "S. cerevisiae" "Oleate Activated transcription Factor" "2592" "YKR064W" "S000001772" "ORF"
"P53824" "OTHER" "1" "SNZ2" "S. cerevisiae" "SNooZe" "897" "YNL333W" "S000005277" "ORF"
"P53191" "OTHER" "1" "PIB2" "S. cerevisiae" "PtdIns(3)p-Binding" "1908" "YGL023C" "S000002991" "ORF"
"P47133" "OTHER" "1" "EMC2" "S. cerevisiae" "ER Membrane protein Complex" "879" "YJR088C" "S000003848" "ORF"
"Q06821" "OTHER" "1" "" "S. cerevisiae" "" "1371" "YPR084W" "S000006288" "ORF"
"P53267" "OTHER" "1" "DAM1" "S. cerevisiae" "Duo1 And Mps1 interacting" "1032" "YGR113W" "S000003345" "ORF"
"P06838" "OTHER" "1" "RAD10" "S. cerevisiae" "RADiation sensitive" "633" "YML095C" "S000004560" "ORF"
"P47057" "OTHER" "1" "SNX4" "S. cerevisiae" "Sorting NeXin" "1272" "YJL036W" "S000003573" "ORF"
"P40043" "OTHER" "1" "RGI1" "S. cerevisiae" "Respiratory Growth Induced" "486" "YER067W" "S000000869" "ORF"
"P39936" "OTHER" "1" "TIF4632" "S. cerevisiae" "Translation Initiation Factor" "2745" "YGL049C" "S000003017" "ORF"
"P32334" "OTHER" "1" "MSB2" "S. cerevisiae" "Multicopy Suppression of a Budding defect" "3921" "YGR014W" "S000003246" "ORF"
"P07255" "OTHER" "1" "COX9" "S. cerevisiae" "Cytochrome c OXidase" "180" "YDL067C" "S000002225" "ORF"
"Q05521" "OTHER" "1" "DPP1" "S. cerevisiae" "Diacylglycerol Pyrophosphate Phosphatase" "870" "YDR284C" "S000002692" "ORF"
"Q02772" "OTHER" "1" "PET191" "S. cerevisiae" "PETite colonies" "327" "YJR034W" "S000003795" "ORF"
"P38286" "OTHER" "1" "IFA38" "S. cerevisiae" "" "1044" "YBR159W" "S000000363" "ORF"
"P43586" "OTHER" "1" "LOC1" "S. cerevisiae" "LOCalization of mRNA" "615" "YFR001W" "S000001897" "ORF"
"P13393" "OTHER" "1" "SPT15" "S. cerevisiae" "SuPpressor of Ty insertions" "723" "YER148W" "S000000950" "ORF"
"Q02647" "OTHER" "1" "DYN2" "S. cerevisiae" "DYNein" "455" "YDR424C" "S000002832" "ORF"
"P42222" "OTHER" "1" "ERR3" "S. cerevisiae" "Enolase-Related Repeat" "1314" "YMR323W" "S000004942" "ORF"
"Q12531" "OTHER" "1" "" "S. cerevisiae" "" "744" "YPR015C" "S000006219" "ORF"
"P38886" "OTHER" "1" "RPN10" "S. cerevisiae" "Regulatory Particle Non-ATPase" "807" "YHR200W" "S000001243" "ORF"
"Q08754" "OTHER" "1" "BUD7" "S. cerevisiae" "BUD site selection" "2241" "YOR299W" "S000005825" "ORF"
"P0CF19" "OTHER" "1" "" "S. cerevisiae" "" "648" "YOL162W" "S000005522" "ORF"
"Q05776" "OTHER" "1" "UPS1" "S. cerevisiae" "UnProceSsed" "528" "YLR193C" "S000004183" "ORF"
"Q05027" "OTHER" "1" "TAF9" "S. cerevisiae" "TATA binding protein-Associated Factor" "474" "YMR236W" "S000004849" "ORF"
"P10622" "OTHER" "1" "RPP1B" "S. cerevisiae" "Ribosomal Protein P1 Beta" "622" "YDL130W" "S000002288" "ORF"
"P32835" "OTHER" "1" "GSP1" "S. cerevisiae" "Genetic Suppressor of Prp20-1" "660" "YLR293C" "S000004284" "ORF"
"Q12104" "OTHER" "1" "SWT1" "S. cerevisiae" "Synthetically lethal With Trex" "1377" "YOR166C" "S000005692" "ORF"
"O14467" "OTHER" "1" "MBF1" "S. cerevisiae" "Multiprotein Bridging Factor" "456" "YOR298C-A" "S000007253" "ORF"
"Q06287" "OTHER" "1" "EMG1" "S. cerevisiae" "Essential for Mitotic Growth" "759" "YLR186W" "S000004176" "ORF"
"P17423" "OTHER" "1" "THR1" "S. cerevisiae" "THReonine requiring" "1074" "YHR025W" "S000001067" "ORF"
"P54964" "OTHER" "1" "REX2" "S. cerevisiae" "Rna EXonuclease" "810" "YLR059C" "S000004049" "ORF"
"P32641" "OTHER" "1" "RAD24" "S. cerevisiae" "RADiation sensitive" "1980" "YER173W" "S000000975" "ORF"
"Q04958" "OTHER" "1" "NTE1" "S. cerevisiae" "Neuropathy Target Esterase" "5040" "YML059C" "S000004524" "ORF"
"Q12461" "OTHER" "1" "RRD2" "S. cerevisiae" "Resistant to Rapamycin Deletion" "1077" "YPL152W" "S000006073" "ORF"
"P16467" "OTHER" "1" "PDC5" "S. cerevisiae" "Pyruvate DeCarboxylase" "1692" "YLR134W" "S000004124" "ORF"
"Q04110" "OTHER" "1" "ECM11" "S. cerevisiae" "ExtraCellular Mutant" "909" "YDR446W" "S000002854" "ORF"
"Q06820" "OTHER" "1" "MDM36" "S. cerevisiae" "Mitochondrial Distribution and Morphology" "1740" "YPR083W" "S000006287" "ORF"
"P40450" "OTHER" "1" "BNR1" "S. cerevisiae" "BNi1 Related" "4128" "YIL159W" "S000001421" "ORF"
"Q12220" "OTHER" "1" "DIP2" "S. cerevisiae" "DOM34 Interacting Protein" "2832" "YLR129W" "S000004119" "ORF"
"P38887" "OTHER" "1" "SMN1" "S. cerevisiae" "Scavenger MonoNucleotidase" "1809" "YHR202W" "S000001245" "ORF"
"P21657" "OTHER" "1" "DAL81" "S. cerevisiae" "Degradation of Allantoin" "2913" "YIR023W" "S000001462" "ORF"
"P0C2J3" "OTHER" "1" "" "S. cerevisiae" "" "" "YLR410W-B" "S000007380" "TransposableElementGene"
"P38068" "OTHER" "1" "GRX7" "S. cerevisiae" "GlutaRedoXin" "612" "YBR014C" "S000000218" "ORF"
"P37304" "OTHER" "1" "PAM1" "S. cerevisiae" "Pp2A Multicopy suppressor" "2493" "YDR251W" "S000002659" "ORF"
"P38287" "OTHER" "1" "CSH1" "S. cerevisiae" "CSG1/SUR1 Homolog" "1131" "YBR161W" "S000000365" "ORF"
"P38293" "OTHER" "1" "UMP1" "S. cerevisiae" "Ubiquitin-Mediated Proteolysis" "447" "YBR173C" "S000000377" "ORF"
"P43588" "OTHER" "1" "RPN11" "S. cerevisiae" "Regulatory Particle Non-ATPase" "921" "YFR004W" "S000001900" "ORF"
"P53265" "OTHER" "1" "" "S. cerevisiae" "" "1203" "YGR111W" "S000003343" "ORF"
"P53199" "OTHER" "1" "ERG26" "S. cerevisiae" "ERGosterol biosynthesis" "1050" "YGL001C" "S000002969" "ORF"
"Q03769" "OTHER" "1" "ENT5" "S. cerevisiae" "Epsin N-Terminal homology" "1236" "YDR153C" "S000002560" "ORF"
"P53904" "OTHER" "1" "ALF1" "S. cerevisiae" "ALpha tubulin Folding" "765" "YNL148C" "S000005092" "ORF"
"Q05775" "OTHER" "1" "HCR1" "S. cerevisiae" "High-Copy suppressor of Rpg1" "798" "YLR192C" "S000004182" "ORF"
"Q99257" "OTHER" "1" "MEX67" "S. cerevisiae" "Messenger RNA EXport factor of 67 kDa" "1800" "YPL169C" "S000006090" "ORF"
"P36095" "OTHER" "1" "VPS24" "S. cerevisiae" "Vacuolar Protein Sorting" "675" "YKL041W" "S000001524" "ORF"
"P35194" "OTHER" "1" "UTP20" "S. cerevisiae" "U Three Protein" "7482" "YBL004W" "S000000100" "ORF"
"P25639" "OTHER" "1" "TVS1" "S. cerevisiae" "Transmembrane protein Vital for Stress response" "1896" "YCR061W" "S000000657" "ORF"
"Q06629" "OTHER" "1" "HDA2" "S. cerevisiae" "Histone DeAcetylase" "2025" "YDR295C" "S000002703" "ORF"
"P18239" "OTHER" "1" "PET9" "S. cerevisiae" "PETite" "957" "YBL030C" "S000000126" "ORF"
"Q03390" "OTHER" "1" "VPS60" "S. cerevisiae" "Vacuolar Protein Sorting" "690" "YDR486C" "S000002894" "ORF"
"P46989" "OTHER" "1" "ATG27" "S. cerevisiae" "AuTophaGy related" "816" "YJL178C" "S000003714" "ORF"
"Q04359" "OTHER" "1" "SPO20" "S. cerevisiae" "SPOrulation" "1194" "YMR017W" "S000004619" "ORF"
"P40451" "OTHER" "1" "AIM20" "S. cerevisiae" "Altered Inheritance rate of Mitochondria" "615" "YIL158W" "S000001420" "ORF"
"P38931" "OTHER" "1" "SSN2" "S. cerevisiae" "Suppressor of SNf1" "4263" "YDR443C" "S000002851" "ORF"
"Q12333" "OTHER" "1" "FRE7" "S. cerevisiae" "Ferric REductase" "1863" "YOL152W" "S000005512" "ORF"
"P23797" "OTHER" "1" "GPI12" "S. cerevisiae" "GlycosylPhosphatidylInositol anchor biosynthesis" "915" "YMR281W" "S000004894" "ORF"
"Q12108" "OTHER" "1" "RTC5" "S. cerevisiae" "Restriction of Telomere Capping" "1704" "YOR118W" "S000005644" "ORF"
"P32459" "OTHER" "1" "DAL3" "S. cerevisiae" "Degradation of Allantoin" "588" "YIR032C" "S000001471" "ORF"
"P47131" "OTHER" "1" "TMH11" "S. cerevisiae" "TMem14 Homolog of 11 kDa" "318" "YJR085C" "S000003845" "ORF"
"Q12046" "OTHER" "1" "CWC2" "S. cerevisiae" "Complexed With Cef1p" "1020" "YDL209C" "S000002368" "ORF"
"P38069" "OTHER" "1" "MNN2" "S. cerevisiae" "MaNNosyltransferase" "1794" "YBR015C" "S000000219" "ORF"
"P38288" "OTHER" "1" "TOS1" "S. cerevisiae" "Target Of Sbf" "1368" "YBR162C" "S000000366" "ORF"
"Q12233" "OTHER" "1" "ATP20" "S. cerevisiae" "ATP synthase" "348" "YPR020W" "S000006224" "ORF"
"Q03690" "OTHER" "1" "CLU1" "S. cerevisiae" "CLUstered mitochondria" "3834" "YMR012W" "S000004614" "ORF"
"P20604" "OTHER" "1" "SIT4" "S. cerevisiae" "Suppressor of Initiation of Transcription" "936" "YDL047W" "S000002205" "ORF"
"Q12525" "OTHER" "1" "MHT1" "S. cerevisiae" "S-Methylmethionine-Homocysteine methylTransferase" "975" "YLL062C" "S000003985" "ORF"
"P38888" "OTHER" "1" "MNL1" "S. cerevisiae" "MaNnosidase-Like protein" "2391" "YHR204W" "S000001247" "ORF"
"P35735" "OTHER" "1" "SFK1" "S. cerevisiae" "Suppressor of Four Kinase" "1062" "YKL051W" "S000001534" "ORF"
"P25293" "OTHER" "1" "NAP1" "S. cerevisiae" "Nucleosome Assembly Protein" "1254" "YKR048C" "S000001756" "ORF"
"P47054" "OTHER" "1" "NUP192" "S. cerevisiae" "NUclear Pore" "5052" "YJL039C" "S000003576" "ORF"
"P53197" "OTHER" "1" "CDH1" "S. cerevisiae" "CDC20 Homolog" "1701" "YGL003C" "S000002971" "ORF"
"P52893" "OTHER" "1" "ALT1" "S. cerevisiae" "ALanine Transaminase" "1779" "YLR089C" "S000004079" "ORF"
"P36022" "OTHER" "1" "DYN1" "S. cerevisiae" "DYNein" "12279" "YKR054C" "S000001762" "ORF"
"P25637" "OTHER" "1" "YIH1" "S. cerevisiae" "Yeast Impact Homolog" "777" "YCR059C" "S000000655" "ORF"
"P47130" "OTHER" "1" "" "S. cerevisiae" "" "1272" "YJR084W" "S000003844" "ORF"
"P39935" "OTHER" "1" "TIF4631" "S. cerevisiae" "Translation Initiation Factor" "2859" "YGR162W" "S000003394" "ORF"
"Q05937" "OTHER" "1" "STP3" "S. cerevisiae" "protein with similarity to Stp1p" "1032" "YLR375W" "S000004367" "ORF"
"P49367" "OTHER" "1" "LYS4" "S. cerevisiae" "LYSine requiring" "2082" "YDR234W" "S000002642" "ORF"
"P38814" "OTHER" "1" "SBE22" "S. cerevisiae" "similar to SBE2" "2559" "YHR103W" "S000001145" "ORF"
"Q03764" "OTHER" "1" "EKI1" "S. cerevisiae" "Ethanolamine KInase" "1605" "YDR147W" "S000002554" "ORF"
"P32563" "OTHER" "1" "VPH1" "S. cerevisiae" "Vacuolar pH" "2523" "YOR270C" "S000005796" "ORF"
"Q12124" "OTHER" "1" "MED2" "S. cerevisiae" "MEDiator complex" "1296" "YDL005C" "S000002163" "ORF"
"P06115" "OTHER" "1" "CTT1" "S. cerevisiae" "CaTalase T" "1689" "YGR088W" "S000003320" "ORF"
"Q03919" "OTHER" "1" "RUB1" "S. cerevisiae" "Related to UBiquitin" "307" "YDR139C" "S000002546" "ORF"
"P38744" "OTHER" "1" "MCO14" "S. cerevisiae" "Mitochondrial Class One protein of 14 kDa" "363" "YHL018W" "S000001010" "ORF"
"P53903" "OTHER" "1" "PGA2" "S. cerevisiae" "Processing of Gas1p and ALP" "390" "YNL149C" "S000005093" "ORF"
"P38289" "OTHER" "1" "EXO5" "S. cerevisiae" "EXOnuclease V" "1758" "YBR163W" "S000000367" "ORF"
"P05694" "OTHER" "1" "MET6" "S. cerevisiae" "METhionine requiring" "2304" "YER091C" "S000000893" "ORF"
"P39952" "OTHER" "1" "OXA1" "S. cerevisiae" "cytochrome OXidase Activity" "1209" "YER154W" "S000000956" "ORF"
"P38295" "OTHER" "1" "EHT1" "S. cerevisiae" "Ethanol Hexanoyl Transferase" "1356" "YBR177C" "S000000381" "ORF"
"P46988" "OTHER" "1" "PFD1" "S. cerevisiae" "PreFolDin" "330" "YJL179W" "S000003715" "ORF"
"Q3E764" "OTHER" "1" "TMA7" "S. cerevisiae" "Translation Machinery Associated" "195" "YLR262C-A" "S000007246" "ORF"
"P33760" "OTHER" "1" "PEX6" "S. cerevisiae" "PEroXin" "3093" "YNL329C" "S000005273" "ORF"
"P34164" "OTHER" "1" "SIP2" "S. cerevisiae" "SNF1-Interacting Protein" "1248" "YGL208W" "S000003176" "ORF"
"P38627" "OTHER" "1" "URA8" "S. cerevisiae" "URAcil requiring" "1737" "YJR103W" "S000003864" "ORF"
"P25638" "OTHER" "1" "TAH1" "S. cerevisiae" "Tpr-containing protein Associated with Hsp90" "336" "YCR060W" "S000000656" "ORF"
"Q05998" "OTHER" "1" "THI7" "S. cerevisiae" "THIamine metabolism" "1797" "YLR237W" "S000004227" "ORF"
"P40040" "OTHER" "1" "THO1" "S. cerevisiae" "suppressor of the Transcriptional defect of Hpr1 by Overexpression" "657" "YER063W" "S000000865" "ORF"
"Q03099" "OTHER" "1" "" "S. cerevisiae" "" "4224" "YML133C" "S000004602" "ORF"
"P43583" "OTHER" "1" "BLM10" "S. cerevisiae" "BLeoMycin resistance" "6432" "YFL007W" "S000001887" "ORF"
"P53198" "OTHER" "1" "ERP6" "S. cerevisiae" "Emp24p/Erv25p Related Protein" "651" "YGL002W" "S000002970" "ORF"
"P38889" "OTHER" "1" "SKN7" "S. cerevisiae" "Suppressor of Kre Null" "1869" "YHR206W" "S000001249" "ORF"
"P35736" "OTHER" "1" "" "S. cerevisiae" "" "2769" "YKL050C" "S000001533" "ORF"
"P25635" "OTHER" "1" "PWP2" "S. cerevisiae" "Periodic tryptophan (W) Protein" "2772" "YCR057C" "S000000653" "ORF"
"P38140" "OTHER" "1" "ERT1" "S. cerevisiae" "Ethanol Regulated Transcription factor" "1590" "YBR239C" "S000000443" "ORF"
"Q01574" "OTHER" "1" "ACS1" "S. cerevisiae" "Acetyl CoA Synthetase" "2142" "YAL054C" "S000000050" "ORF"
"P36093" "OTHER" "1" "PHD1" "S. cerevisiae" "PseudoHyphal Determinant" "1101" "YKL043W" "S000001526" "ORF"
"P47052" "OTHER" "1" "SDH9" "S. cerevisiae" "Succinate DeHydrogenase" "1905" "YJL045W" "S000003581" "ORF"
"Q05022" "OTHER" "1" "RRP5" "S. cerevisiae" "Ribosomal RNA Processing" "5190" "YMR229C" "S000004842" "ORF"
"P41816" "OTHER" "1" "OYE3" "S. cerevisiae" "Old Yellow Enzyme" "1203" "YPL171C" "S000006092" "ORF"
"Q06537" "OTHER" "1" "MAY24" "S. cerevisiae" "genetic interaction profile similarity to MTC Annotated Yeast genes MTC2 and MTC4" "557" "YPR153W" "S000006357" "ORF"
"Q12427" "OTHER" "1" "STB3" "S. cerevisiae" "Sin Three Binding protein" "1542" "YDR169C" "S000002576" "ORF"
"P20433" "OTHER" "1" "RPB4" "S. cerevisiae" "RNA Polymerase B" "666" "YJL140W" "S000003676" "ORF"
"Q12024" "OTHER" "1" "YTM1" "S. cerevisiae" "" "1383" "YOR272W" "S000005798" "ORF"
"P26786" "OTHER" "1" "RPS7A" "S. cerevisiae" "Ribosomal Protein of the Small subunit" "974" "YOR096W" "S000005622" "ORF"
"P53195" "OTHER" "1" "COG7" "S. cerevisiae" "Conserved Oligomeric Golgi complex" "840" "YGL005C" "S000002973" "ORF"
"P22855" "OTHER" "1" "AMS1" "S. cerevisiae" "Alpha-MannoSidase" "3252" "YGL156W" "S000003124" "ORF"
"Q08465" "OTHER" "1" "YNG1" "S. cerevisiae" "Yeast iNG1 homolog" "660" "YOR064C" "S000005590" "ORF"
"P38815" "OTHER" "1" "YPT35" "S. cerevisiae" "" "645" "YHR105W" "S000001147" "ORF"
"P53900" "OTHER" "1" "GIM3" "S. cerevisiae" "Gene Involved in Microtubule biogenesis" "390" "YNL153C" "S000005097" "ORF"
"P00560" "OTHER" "1" "PGK1" "S. cerevisiae" "3-PhosphoGlycerate Kinase" "1251" "YCR012W" "S000000605" "ORF"
"P40041" "OTHER" "1" "VHR2" "S. cerevisiae" "VHt1 Regulator" "1518" "YER064C" "S000000866" "ORF"
"P07277" "OTHER" "1" "ERG12" "S. cerevisiae" "ERGosterol biosynthesis" "1332" "YMR208W" "S000004821" "ORF"
"P43585" "OTHER" "1" "VTC2" "S. cerevisiae" "Vacuolar Transporter Chaperone" "2487" "YFL004W" "S000001890" "ORF"
"P38989" "OTHER" "1" "SMC2" "S. cerevisiae" "Structural Maintenance of Chromosomes" "3513" "YFR031C" "S000001927" "ORF"
"P38141" "OTHER" "1" "THI2" "S. cerevisiae" "THIamine metabolism" "1353" "YBR240C" "S000000444" "ORF"
"P47051" "OTHER" "1" "AIM22" "S. cerevisiae" "Altered Inheritance rate of Mitochondria" "1230" "YJL046W" "S000003582" "ORF"
"Q05672" "OTHER" "1" "RBS1" "S. cerevisiae" "RNA-Binding Suppressor of PAS kinase" "1374" "YDL189W" "S000002348" "ORF"
"P29340" "OTHER" "1" "PEX4" "S. cerevisiae" "PEroXin" "552" "YGR133W" "S000003365" "ORF"
"Q12372" "OTHER" "1" "MMP1" "S. cerevisiae" "S-MethylMethionine Permease" "1752" "YLL061W" "S000003984" "ORF"
"Q12180" "OTHER" "1" "HAL9" "S. cerevisiae" "HALotolerance" "3093" "YOL089C" "S000005449" "ORF"
"P38816" "OTHER" "1" "TRR2" "S. cerevisiae" "ThioRedoxin Reductase" "1029" "YHR106W" "S000001148" "ORF"
"P53196" "OTHER" "1" "RPN14" "S. cerevisiae" "Regulatory Particle Non-ATPase" "1254" "YGL004C" "S000002972" "ORF"
"P35734" "OTHER" "1" "ASK1" "S. cerevisiae" "Associated with Spindles and Kinetochores" "879" "YKL052C" "S000001535" "ORF"
"P53901" "OTHER" "1" "INN1" "S. cerevisiae" "required for INgressioN" "1230" "YNL152W" "S000005096" "ORF"
"Q12039" "OTHER" "1" "HMI1" "S. cerevisiae" "Helicase in MItochondria" "2121" "YOL095C" "S000005455" "ORF"
"P22517" "OTHER" "1" "CMK2" "S. cerevisiae" "CalModulin dependent protein Kinase" "1344" "YOL016C" "S000005376" "ORF"
"P38740" "OTHER" "1" "" "S. cerevisiae" "" "948" "YHL026C" "S000001018" "ORF"
"P38297" "OTHER" "1" "FZO1" "S. cerevisiae" "FuZzy Onions homolog" "2568" "YBR179C" "S000000383" "ORF"
"P43581" "OTHER" "1" "HXT10" "S. cerevisiae" "HeXose Transporter" "1641" "YFL011W" "S000001883" "ORF"
"P40348" "OTHER" "1" "RFC2" "S. cerevisiae" "Replication Factor C" "1062" "YJR068W" "S000003829" "ORF"
"P35732" "OTHER" "1" "DEF1" "S. cerevisiae" "RNAPII DEgradation Factor" "2217" "YKL054C" "S000001537" "ORF"
"P46985" "OTHER" "1" "MNN11" "S. cerevisiae" "MaNNosyltransferase" "1269" "YJL183W" "S000003719" "ORF"
"Q04659" "OTHER" "1" "CSM3" "S. cerevisiae" "Chromosome Segregation in Meiosis" "954" "YMR048W" "S000004651" "ORF"
"P39958" "OTHER" "1" "GDI1" "S. cerevisiae" "GDP Dissociation Inhibitor" "1356" "YER136W" "S000000938" "ORF"
"P32178" "OTHER" "1" "ARO7" "S. cerevisiae" "AROmatic amino acid requiring" "771" "YPR060C" "S000006264" "ORF"
"Q12411" "OTHER" "1" "SPO21" "S. cerevisiae" "SPOrulation" "1830" "YOL091W" "S000005451" "ORF"
"P32486" "OTHER" "1" "KRE6" "S. cerevisiae" "Killer toxin REsistant" "2163" "YPR159W" "S000006363" "ORF"
"P47050" "OTHER" "1" "RTT101" "S. cerevisiae" "Regulator of Ty1 Transposition" "2529" "YJL047C" "S000003583" "ORF"
"P21306" "OTHER" "1" "ATP15" "S. cerevisiae" "ATP synthase" "189" "YPL271W" "S000006192" "ORF"
"P27344" "OTHER" "1" "DPB3" "S. cerevisiae" "DNA Polymerase B (II) subunit" "606" "YBR278W" "S000000482" "ORF"
"P21827" "OTHER" "1" "SRM1" "S. cerevisiae" "Suppressor of Receptor Mutations" "1449" "YGL097W" "S000003065" "ORF"
"P25336" "OTHER" "1" "MSH3" "S. cerevisiae" "MutS Homolog" "3057" "YCR092C" "S000000688" "ORF"
"P19516" "OTHER" "1" "COX11" "S. cerevisiae" "Cytochrome c OXidase" "903" "YPL132W" "S000006053" "ORF"
"Q03103" "OTHER" "1" "ERO1" "S. cerevisiae" "ER Oxidation or Endoplasmic Reticulum Oxidoreductin" "1692" "YML130C" "S000004599" "ORF"
"P38360" "OTHER" "1" "PCA1" "S. cerevisiae" "P-type Cation-transporting ATPase" "3651" "YBR295W" "S000000499" "ORF"
"P38741" "OTHER" "1" "RIM4" "S. cerevisiae" "Regulator of IME2" "2142" "YHL024W" "S000001016" "ORF"
"Q08968" "OTHER" "1" "FMP40" "S. cerevisiae" "Found in Mitochondrial Proteome" "2067" "YPL222W" "S000006143" "ORF"
"P38142" "OTHER" "1" "VVS1" "S. cerevisiae" "Vacuolar protein Vital for Stress response" "1467" "YBR241C" "S000000445" "ORF"
"P36091" "OTHER" "1" "DCW1" "S. cerevisiae" "Defective Cell Wall" "1350" "YKL046C" "S000001529" "ORF"
"Q07442" "OTHER" "1" "BDF2" "S. cerevisiae" "BromoDomain Factor" "1917" "YDL070W" "S000002228" "ORF"
"Q12041" "OTHER" "1" "MET32" "S. cerevisiae" "METhionine requiring" "576" "YDR253C" "S000002661" "ORF"
"P46984" "OTHER" "1" "GON7" "S. cerevisiae" "" "372" "YJL184W" "S000003720" "ORF"
"P39006" "OTHER" "1" "PSD1" "S. cerevisiae" "PhosphatidylSerine Decarboxylase" "1503" "YNL169C" "S000005113" "ORF"
"P22936" "OTHER" "1" "APN1" "S. cerevisiae" "APurinic/apyrimidinic eNdonuclease" "1104" "YKL114C" "S000001597" "ORF"
"P38298" "OTHER" "1" "YPC1" "S. cerevisiae" "Yeast Phyto-Ceramidase" "951" "YBR183W" "S000000387" "ORF"
"P20053" "OTHER" "1" "PRP4" "S. cerevisiae" "Pre-mRNA Processing" "1398" "YPR178W" "S000006382" "ORF"
"Q04119" "OTHER" "1" "PPN1" "S. cerevisiae" "" "2025" "YDR452W" "S000002860" "ORF"
"P38817" "OTHER" "1" "GGA2" "S. cerevisiae" "Golgi-localized, Gamma-adaptin ear homology, Arf-binding protein" "1758" "YHR108W" "S000001150" "ORF"
"Q03323" "OTHER" "1" "SDC1" "S. cerevisiae" "Set1c, homolog of Dpy30 from C.elegans" "528" "YDR469W" "S000002877" "ORF"
"P02407" "OTHER" "1" "RPS17A" "S. cerevisiae" "Ribosomal Protein of the Small subunit" "809" "YML024W" "S000004486" "ORF"
"Q03554" "OTHER" "1" "GOT1" "S. cerevisiae" "GOlgi Transport" "499" "YMR292W" "S000004906" "ORF"
"P39959" "OTHER" "1" "COM2" "S. cerevisiae" "Cousin of Msn2" "1332" "YER130C" "S000000932" "ORF"
"P53193" "OTHER" "1" "JAC1" "S. cerevisiae" "J-type Accessory Chaperone" "555" "YGL018C" "S000002986" "ORF"
"P36090" "OTHER" "1" "ANR2" "S. cerevisiae" "Avl Nine Related family 2" "1551" "YKL047W" "S000001530" "ORF"
"P38742" "OTHER" "1" "NPR3" "S. cerevisiae" "Nitrogen Permease Regulator" "3441" "YHL023C" "S000001015" "ORF"
