Gene_ID,Eukaryota,Opisthokonta,Fungi,Dikarya,Ascomycota,saccharomyceta,Saccharomycotina,Saccharomycetes,Saccharomycetales,Saccharomycetaceae,Saccharomyces
YJL217W,0,0,0,0,0,0,0,0,0,0,1
YGR257C,2,8,0,0,1,0,0,0,0,1,1
YNL013C,0,0,0,0,1,0,0,0,0,1,1
YPL214C,2,0,0,0,1,0,0,0,0,0,1
YDR216W,0,7,0,0,1,0,0,0,0,0,1
YNR049C,0,0,0,0,0,0,0,0,0,0,1
YER075C,2,6,0,0,1,0,0,0,0,0,1
YDR221W,2,2,0,0,1,0,0,0,0,0,1
YLR442C,0,3,0,0,1,0,0,0,0,0,1
YNL080C,0,0,0,0,1,0,0,0,0,0,1
YER032W,0,0,0,0,0,0,0,0,0,0,1
YMR279C,0,0,0,0,1,0,0,0,0,0,1
YCR012W,3,6,0,0,1,0,0,0,0,1,1
YLR113W,4,8,0,0,1,0,0,0,0,1,1
YPL139C,1,0,0,0,0,0,0,0,0,0,1
YLR406C,2,4,0,0,1,0,0,0,0,1,1
YOR031W,0,0,0,0,0,0,0,0,0,0,1
YBR039W,2,4,0,0,1,0,0,0,0,0,1
YKL144C,1,4,0,0,1,0,0,0,0,0,1
YJL084C,0,0,0,0,1,0,0,0,0,0,1
YBR218C,3,5,0,0,1,0,0,0,0,1,1
YHR195W,0,0,0,0,0,0,0,0,0,0,1
YLR104W,0,0,0,0,0,0,0,0,0,1,1
YFL041W,2,0,0,0,1,0,0,0,0,0,1
YDR497C,2,7,0,0,1,0,0,0,0,0,1
YDR063W,1,0,0,0,1,0,0,0,0,0,1
YDR081C,0,2,0,0,1,0,0,0,0,0,1
YAR060C,0,0,0,0,0,0,0,0,0,0,1
YAL026C,4,7,0,0,1,0,0,0,0,0,1
YER070W,3,4,0,0,1,0,0,0,0,0,1
YNL146W,0,0,0,0,0,0,0,0,0,0,1
YDL204W,0,4,0,0,0,0,0,0,0,0,1
YHR208W,2,3,0,0,1,0,0,0,0,0,1
YHR202W,0,0,0,0,1,0,0,0,0,0,1
YKL019W,2,3,0,0,1,0,0,0,0,0,1
YGR278W,0,6,0,0,1,0,0,0,0,1,1
YKL084W,0,0,0,0,1,0,0,0,0,0,1
YOR181W,0,3,0,0,1,0,0,0,0,0,1
YDR125C,2,3,0,0,1,0,0,0,0,0,1
YNL234W,0,5,0,0,0,0,0,0,0,0,1
YER091C,3,0,0,0,1,0,0,0,0,0,1
YNL159C,0,0,0,0,0,0,0,0,0,0,1
YBR150C,0,0,0,0,1,0,0,0,0,0,1
YMR037C,0,7,0,0,1,0,0,0,0,0,1
YGR050C,0,0,0,0,0,0,0,0,0,0,1
YMR228W,0,0,0,0,1,0,0,0,0,0,1
YKL063C,0,0,0,0,0,0,0,0,0,0,1
YJL160C,0,0,0,0,0,0,0,0,0,0,1
YLR364W,3,3,0,0,0,0,0,0,0,0,1
YDL060W,1,4,0,0,1,0,0,0,0,0,1
YNL244C,2,5,0,0,1,0,0,0,0,1,1
YOR293W,3,4,0,0,1,0,0,0,0,0,1
YMR110C,3,8,0,0,1,0,0,0,0,0,1
YKR068C,1,5,0,0,1,0,0,0,0,0,1
YKL142W,0,0,0,0,0,0,0,0,0,0,1
YMR106C,2,0,0,0,1,0,0,0,0,0,1
YDL037C,0,0,0,0,1,0,0,0,0,0,1
YPR197C,0,0,0,0,1,0,0,0,0,0,1
YJR111C,0,0,0,0,1,0,0,0,0,0,1
YJR034W,0,2,0,0,1,0,0,0,0,0,1
YHR086W,3,8,0,0,1,0,0,0,0,1,1
YKR054C,2,4,0,0,1,0,0,0,0,1,1
YBL017C,0,5,0,0,1,0,0,0,0,1,1
YNL005C,4,2,0,0,1,0,0,0,0,1,1
YDR529C,0,2,0,0,1,0,0,0,0,1,1
YML049C,2,4,0,0,1,0,0,0,0,1,1
YDR526C,0,1,0,0,0,0,0,0,0,0,1
YGR161C,0,0,0,0,0,0,0,0,0,0,1
YPL034W,0,0,0,0,0,0,0,0,0,0,1
YBR204C,0,0,0,0,0,0,0,0,0,0,1
YER040W,2,6,0,0,1,0,0,0,0,0,1
YIL133C,2,4,0,0,1,0,0,0,0,0,1
YKR039W,0,0,0,0,1,0,0,0,0,0,1
YLR384C,1,4,0,0,1,0,0,0,0,0,1
YNL324W,1,2,0,0,0,0,0,0,0,0,1
YBL070C,0,0,0,0,0,0,0,0,0,0,1
YAL031C,0,0,0,0,0,0,0,0,0,1,1
YLR339C,4,6,0,0,1,0,0,0,0,0,1
YOR356W,3,3,0,0,1,0,0,0,0,0,1
YJL035C,1,3,0,0,1,0,0,0,0,0,1
YMR182C,0,8,0,0,1,0,0,0,0,0,1
YOR297C,0,0,0,0,1,0,0,0,0,1,1
YOR136W,2,4,0,0,1,0,0,0,0,1,1
YNL087W,3,6,0,0,1,0,0,0,0,0,1
YBR010W,3,7,0,0,1,0,0,0,0,1,1
YFL021W,3,6,0,0,1,0,0,0,0,0,1
YML073C,2,3,0,0,1,0,0,0,0,0,1
YDR426C,0,0,0,0,0,0,0,0,0,1,1
YMR239C,3,6,0,0,1,0,0,0,0,0,1
YLR096W,4,8,0,0,1,0,0,0,0,1,1
YBR073W,3,7,0,0,1,0,0,0,0,1,1
YAL045C,2,2,0,0,1,0,0,0,0,0,1
YPR170C,0,0,0,0,0,0,0,0,0,0,1
YER116C,1,5,0,0,1,0,0,0,0,0,1
YDR419W,1,3,0,0,1,0,0,0,0,0,1
YDL240W,1,7,0,0,1,0,0,0,0,1,1
YCR017C,0,3,0,0,1,0,0,0,0,0,1
YGL152C,0,0,0,0,0,0,0,0,0,0,1
YJL124C,2,5,0,0,1,0,0,0,0,0,1
YBR268W,0,0,0,0,1,0,0,0,0,0,1
YDR282C,0,2,0,0,1,0,0,0,0,0,1
YDR351W,0,0,0,0,0,0,0,0,0,1,1
YPL231W,2,0,0,0,1,0,0,0,0,0,1
YOR067C,2,5,0,0,1,0,0,0,0,1,1
YGL178W,1,4,0,0,1,0,0,0,0,0,1
YBR117C,2,4,0,0,1,0,0,0,0,0,1
YHR123W,2,5,0,0,1,0,0,0,0,0,1
YGR072W,0,0,0,0,0,0,0,0,0,0,1
YNL136W,0,2,0,0,1,0,0,0,0,0,1
YAL018C,0,0,0,0,0,0,0,0,0,0,1
YDR229W,0,0,0,0,0,0,0,0,0,0,1
YMR063W,0,0,0,0,0,0,0,0,0,1,1
YMR251W,0,0,0,0,1,0,0,0,0,0,1
YNR002C,0,0,0,0,1,0,0,0,0,0,1
YER080W,0,0,0,0,0,0,0,0,0,1,1
YPR038W,0,0,0,0,0,0,0,0,0,0,1
YML116W,0,0,0,0,1,0,0,0,0,0,1
YOR025W,4,7,0,0,1,0,0,0,0,1,1
YOR071C,1,0,0,0,1,0,0,0,0,0,1
YHR088W,0,5,0,0,1,0,0,0,0,1,1
YPL155C,3,8,0,0,1,0,0,0,0,1,1
YKR070W,0,2,0,0,1,0,0,0,0,0,1
YNR029C,1,3,0,0,1,0,0,0,0,0,1
YDL054C,0,0,0,0,0,0,0,0,0,1,1
YLR306W,3,6,0,0,1,0,0,0,0,1,1
YJR008W,1,4,0,0,1,0,0,0,0,0,1
YLR022C,1,4,0,0,1,0,0,0,0,0,1
YNR068C,0,0,0,0,0,0,0,0,0,0,1
YPL049C,0,0,0,0,0,0,0,0,0,0,1
YHR062C,1,2,0,0,1,0,0,0,0,0,1
YPR188C,4,6,0,0,1,0,0,0,0,0,1
YHR104W,3,5,0,0,1,0,0,0,0,0,1
YER039C,2,0,0,0,1,0,0,0,0,1,1
YGL056C,0,3,0,0,1,0,0,0,0,1,1
YGR244C,3,2,0,0,1,0,0,0,0,0,1
YJL175W,0,0,0,0,0,0,0,0,0,0,1
YBL005W,0,0,0,0,1,0,0,0,0,0,1
YOR248W,0,0,0,0,0,0,0,0,0,0,1
YDR470C,0,3,0,0,1,0,0,0,0,0,1
YPL272C,0,0,0,0,0,0,0,0,0,0,1
YDL133W,0,0,0,0,0,0,0,0,0,0,1
YBR174C,1,5,0,0,0,0,0,0,0,0,1
YFR027W,1,4,0,0,1,0,0,0,0,1,1
YPR085C,0,0,0,0,0,0,0,0,0,1,1
YDL020C,0,0,0,0,1,0,0,0,0,0,1
YNL283C,0,0,0,0,1,0,0,0,0,0,1
YDL183C,0,0,0,0,0,0,0,0,0,0,1
YMR186W,4,9,0,0,1,0,0,0,0,1,1
YLR136C,2,4,0,0,1,0,0,0,0,0,1
YBR157C,0,0,0,0,0,0,0,0,0,0,1
YPR179C,0,0,0,0,0,0,0,0,0,1,1
YPL172C,2,3,0,0,1,0,0,0,0,1,1
YDR100W,0,0,0,0,0,0,0,0,0,1,1
YOL128C,4,8,0,0,1,0,0,0,0,1,1
YMR006C,0,2,0,0,1,0,0,0,0,0,1
YDL055C,3,6,0,0,1,0,0,0,0,1,1
YCL058C,0,0,0,0,0,0,0,0,0,1,1
YNL129W,2,3,0,0,1,0,0,0,0,1,1
YJR009C,3,7,0,0,1,0,0,0,0,1,1
YBR018C,1,4,0,0,1,0,0,0,0,0,1
YFR038W,3,7,0,0,1,0,0,0,0,1,1
YGL202W,1,3,0,0,1,0,0,0,0,0,1
YLR105C,2,4,0,0,1,0,0,0,0,1,1
YBL087C,5,5,0,0,1,0,0,0,0,0,1
YLR297W,0,0,0,0,0,0,0,0,0,0,1
YDL210W,2,3,0,0,1,0,0,0,0,0,1
YBR115C,3,6,0,0,1,0,0,0,0,1,1
YDR130C,0,0,0,0,0,0,0,0,0,0,1
YDL169C,0,0,0,0,0,0,0,0,0,0,1
YBR118W,6,9,0,0,1,0,0,0,0,1,1
YDR195W,0,0,0,0,0,0,0,0,0,0,1
YJR156C,0,0,0,0,1,0,0,0,0,0,1
YLR079W,0,0,0,0,0,0,0,0,0,0,1
YDR284C,2,5,0,0,1,0,0,0,0,0,1
YOR208W,2,6,0,0,1,0,0,0,0,0,1
YPL207W,2,3,0,0,1,0,0,0,0,0,1
YLR467W,2,0,0,0,0,0,0,0,0,1,1
YMR090W,1,0,0,0,1,0,0,0,0,0,1
YDR418W,2,5,0,0,1,0,0,0,0,0,1
YNL338W,0,0,0,0,0,0,0,0,0,0,1
YBL007C,1,5,0,0,1,0,0,0,0,0,1
YGL166W,0,0,0,0,1,0,0,0,0,0,1
YER034W,0,0,0,0,0,0,0,0,0,0,1
YCR059C,1,4,0,0,1,0,0,0,0,0,1
YJL022W,0,0,0,0,0,0,0,0,0,0,1
YGL260W,0,0,0,0,0,0,0,0,0,0,1
YLR076C,3,6,0,0,1,0,0,0,0,0,1
YBR051W,0,0,0,0,0,0,0,0,0,0,1
YLR214W,1,0,0,0,1,0,0,0,0,0,1
YAL051W,0,0,0,0,1,0,0,0,0,1,1
YCR008W,4,8,0,0,1,0,0,0,0,1,1
YNL031C,3,7,0,0,1,0,0,0,0,1,1
YDR003W,0,0,0,0,0,0,0,0,0,0,1
YLR353W,0,0,0,0,0,0,0,0,0,0,1
YDL050C,0,0,0,0,0,0,0,0,0,0,1
YMR170C,3,8,0,0,1,0,0,0,0,0,1
YMR215W,0,0,0,0,1,0,0,0,0,0,1
YKL096W,0,0,0,0,0,0,0,0,0,0,1
YER065C,2,0,0,0,1,0,0,0,0,1,1
YER141W,1,2,0,0,1,0,0,0,0,0,1
YPL240C,4,9,0,0,1,0,0,0,0,1,1
YMR321C,1,1,0,0,0,0,0,0,0,0,1
YGR138C,1,1,0,0,1,0,0,0,0,0,1
YDR260C,0,0,0,0,0,0,0,0,0,0,1
YJL055W,2,0,0,0,0,0,0,0,0,0,1
YJL109C,2,3,0,0,1,0,0,0,0,1,1
YJL011C,0,1,0,0,1,0,0,0,0,0,1
YKR038C,2,5,0,0,1,0,0,0,0,1,1
YNR072W,2,7,0,0,1,0,0,0,0,0,1
YIR014W,0,0,0,0,0,0,0,0,0,0,1
YHR152W,0,0,0,0,0,0,0,0,0,0,1
YCL020W,0,0,0,0,0,0,0,0,0,0,1
YPR059C,2,5,0,0,1,0,0,0,0,1,1
YNR040W,0,0,0,0,0,0,0,0,0,0,1
YER143W,2,4,0,0,1,0,0,0,0,1,1
YER135C,0,0,0,0,0,0,0,0,0,0,1
YGR153W,0,0,0,0,0,0,0,0,0,0,1
YNL071W,2,4,0,0,1,0,0,0,0,0,1
YCR067C,1,1,0,0,1,0,0,0,0,0,1
YHR145C,0,0,0,0,0,0,0,0,0,0,1
YFL065C,0,0,0,0,0,0,0,0,0,0,1
YLR030W,0,0,0,0,0,0,0,0,0,0,1
YDL224C,0,0,0,0,1,0,0,0,0,0,1
YIR003W,0,0,0,0,0,0,0,0,0,0,1
YOR188W,0,0,0,0,0,0,0,0,0,0,1
YBR296C,1,4,0,0,0,0,0,0,0,0,1
YMR058W,2,0,0,0,1,0,0,0,0,0,1
YJL050W,3,6,0,0,1,0,0,0,0,0,1
YDR300C,2,2,0,0,1,0,0,0,0,0,1
YBL041W,3,5,0,0,1,0,0,0,0,0,1
YPR072W,0,2,0,0,1,0,0,0,0,0,1
YLL056C,3,0,0,0,1,0,0,0,0,0,1
YDR182W,0,6,0,0,1,0,0,0,0,0,1
YNL091W,0,0,0,0,1,0,0,0,0,1,1
YJR088C,0,0,0,0,1,0,0,0,0,0,1
YBL038W,4,2,0,0,1,0,0,0,0,0,1
YKL058W,3,4,0,0,1,0,0,0,0,0,1
YAL053W,0,0,0,0,1,0,0,0,0,0,1
YJL134W,2,3,0,0,1,0,0,0,0,0,1
YHR043C,0,0,0,0,0,0,0,0,0,0,1
YDR101C,2,3,0,0,1,0,0,0,0,1,1
YAR008W,0,2,0,0,1,0,0,0,0,1,1
YLR154C,0,0,0,0,0,0,0,0,0,0,1
YER124C,0,0,0,0,0,0,0,0,0,1,1
YDR397C,3,5,0,0,1,0,0,0,0,0,1
YDR046C,0,0,0,0,1,0,0,0,0,0,1
YBR066C,1,7,0,0,1,0,0,0,0,0,1
YGR102C,0,0,0,0,0,0,0,0,0,1,1
YEL054C,2,5,0,0,1,0,0,0,0,0,1
YIL141W,0,0,0,0,0,0,0,0,0,0,1
YJL045W,3,6,0,0,1,0,0,0,0,0,1
YLR112W,0,0,0,0,0,0,0,0,0,0,1
YDL074C,4,6,0,0,1,0,0,0,0,1,1
YKL165C,0,3,0,0,1,0,0,0,0,1,1
YMR220W,1,0,0,0,1,0,0,0,0,0,1
YGL151W,0,0,0,0,0,0,0,0,0,1,1
YNL046W,0,0,0,0,0,0,0,0,0,0,1
YAR003W,2,7,0,0,1,0,0,0,0,1,1
YPL120W,2,6,0,0,1,0,0,0,0,0,1
YDR219C,0,0,0,0,0,0,0,0,0,0,1
YNL265C,1,3,0,0,0,0,0,0,0,0,1
YPL157W,0,3,0,0,1,0,0,0,0,0,1
YKL103C,1,2,0,0,1,0,0,0,0,0,1
YML017W,0,0,0,0,0,0,0,0,0,0,1
YIL098C,0,0,0,0,0,0,0,0,0,0,1
YPL122C,2,3,0,0,1,0,0,0,0,1,1
YOR236W,3,5,0,0,1,0,0,0,0,0,1
YDR330W,2,2,0,0,1,0,0,0,0,0,1
YDL119C,3,7,0,0,1,0,0,0,0,1,1
YDR463W,0,5,0,0,0,0,0,0,0,0,1
YNL144C,0,0,0,0,0,0,0,0,0,0,1
YKL095W,1,5,0,0,1,0,0,0,0,0,1
YDR083W,2,5,0,0,1,0,0,0,0,0,1
YLR097C,1,4,0,0,1,0,0,0,0,0,1
YJL161W,0,0,0,0,0,0,0,0,0,0,1
YAL056W,0,0,0,0,0,0,0,0,0,0,1
YIR018W,0,0,0,0,0,0,0,0,0,0,1
YDR151C,2,4,0,0,1,0,0,0,0,0,1
YDR479C,0,0,0,0,1,0,0,0,0,0,1
YNL151C,0,0,0,0,0,0,0,0,0,0,1
YMR087W,0,0,0,0,0,0,0,0,0,0,1
YLR004C,1,2,0,0,1,0,0,0,0,0,1
YNL032W,3,0,0,0,1,0,0,0,0,1,1
YCL067C,3,5,0,0,1,0,0,0,0,0,1
YNL050C,0,0,0,0,0,0,0,0,0,0,1
YLR035C,2,4,0,0,1,0,0,0,0,0,1
YDR031W,0,2,0,0,0,0,0,0,0,0,1
YKL035W,2,2,0,0,1,0,0,0,0,0,1
YLR182W,0,3,0,0,1,0,0,0,0,0,1
YDR077W,0,0,0,0,0,0,0,0,0,0,1
YOL018C,2,4,0,0,1,0,0,0,0,0,1
YNL112W,3,8,0,0,1,0,0,0,0,1,1
YDL122W,0,5,0,0,1,0,0,0,0,0,1
YDR301W,2,5,0,0,1,0,0,0,0,1,1
YDR545W,2,0,0,0,0,0,0,0,0,1,1
YHR067W,0,0,0,0,1,0,0,0,0,0,1
YBR243C,1,2,0,0,1,0,0,0,0,0,1
YDR007W,1,0,0,0,1,0,0,0,0,1,1
YER094C,3,4,0,0,1,0,0,0,0,0,1
YBR211C,0,0,0,0,0,0,0,0,0,0,1
YOR238W,0,0,0,0,1,0,0,0,0,0,1
YIL066C,3,4,0,0,1,0,0,0,0,0,1
YDR250C,0,0,0,0,0,0,0,0,0,0,1
YLR067C,1,0,0,0,0,0,0,0,0,0,1
YFR048W,0,2,0,0,1,0,0,0,0,0,1
YDL197C,0,0,0,0,0,0,0,0,0,0,1
YDL208W,3,9,0,0,1,0,0,0,0,1,1
YMR002W,0,2,0,0,1,0,0,0,0,0,1
YOR039W,2,6,0,0,1,0,0,0,0,0,1
YKR087C,0,4,0,0,1,0,0,0,0,0,1
YOR270C,2,4,0,0,1,0,0,0,0,0,1
YLL055W,0,0,0,0,1,0,0,0,0,0,1
YDR487C,2,0,0,0,1,0,0,0,0,0,1
YPL075W,0,0,0,0,0,0,0,0,0,0,1
YHR155W,0,0,0,0,1,0,0,0,0,0,1
YNL308C,0,4,0,0,1,0,0,0,0,0,1
YPR167C,2,0,0,0,1,0,0,0,0,0,1
YBL068W,3,4,0,0,1,0,0,0,0,0,1
YEL056W,3,7,0,0,1,0,0,0,0,1,1
YLR158C,0,2,0,0,1,0,0,0,0,0,1
YIL067C,0,0,0,0,0,0,0,0,0,0,1
YOL113W,4,8,0,0,1,0,0,0,0,1,1
YBR071W,0,0,0,0,0,0,0,0,0,0,1
YDL214C,4,8,0,0,1,0,0,0,0,1,1
