TF,Target,Mode,PMID,Tf_age,Tg_age,Tg_age_int,TF_age_int,age_length,TF_ID,Target_ID
AR,KLK3,Activation,10547578;11006269;11504717;11571582;12958311;16425097;16434977;16724108;17566103;20069563;21780100;22179832;23667504;8626436,Eumetazoa,Eumetazoa,4,4,0,367,354
AR,KLK3,Repression,16342680;9316650,Eumetazoa,Eumetazoa,4,4,0,367,354
AR,KLK3,Unknown,11059779;11238180;11532861;12376473;12539223;12648523;12651911;15368351;15543614;15557561;15640095;17011549;17075604;17094454;17426252;17433535;18780293;18829551;19274665;21308712;21981678;22245379;22473899;23884959;24307657;7514587;9052414;9211894,Eumetazoa,Eumetazoa,4,4,0,367,354
AR,KLK4,Unknown,12539223,Eumetazoa,Eumetazoa,4,4,0,367,9622
AR,MED1,Unknown,17483314,Eumetazoa,Eumetazoa,4,4,0,367,5469
AR,MID1,Unknown,24913494,Eumetazoa,Eukaryota,2,4,2,367,4281
AR,MUC1,Repression,21308711,Eumetazoa,Opisthokonta,3,4,1,367,2315
AR,MYC,Unknown,24512546,Eumetazoa,Opisthokonta,3,4,1,367,4609
AR,NAT1,Activation,17210686,Eumetazoa,cellular organisms,1,4,3,367,27032
AR,NDRG1,Unknown,17075604,Eumetazoa,cellular organisms,1,4,3,367,10397
AR,NFKB1,Repression,18386814,Eumetazoa,Eukaryota,2,4,2,367,4790
AR,NKX3-1,Activation,16697957;17303007,Eumetazoa,Eumetazoa,4,4,0,367,4824
AR,NKX3-1,Unknown,11238180,Eumetazoa,Eumetazoa,4,4,0,367,4824
AR,NRAS,Repression,16281084,Eumetazoa,Eukaryota,2,4,2,367,8521
AR,PC,Activation,18497079,Eumetazoa,Eumetazoa,4,4,0,367,5091
AR,PSCA,Unknown,23330817,Eumetazoa,Mammalia,6,4,2,367,8000
AR,PEBP1,Unknown,23095933,Eumetazoa,Eukaryota,2,4,2,367,5037
AR,PIGR,Unknown,11171058,Eumetazoa,Mammalia,6,4,2,367,5284
AR,PIP,Unknown,21809344,Eumetazoa,cellular organisms,1,4,3,367,5304
AR,PMEPA1,Unknown,17075604;18703514,Eumetazoa,Mammalia,6,4,2,367,56937
AR,PNRC1,Unknown,10894149,Eumetazoa,Mammalia,6,4,2,367,10957
AR,KLK3,Unknown,24937452,Eumetazoa,Eumetazoa,4,4,0,367,354
AR,PTEN,Activation,23418309,Eumetazoa,Eukaryota,2,4,2,367,1244
AR,PTEN,Unknown,20729295;21532617,Eumetazoa,Eukaryota,2,4,2,367,1244
AR,PTGS2,Repression,18386814,Eumetazoa,Eukaryota,2,4,2,367,5743
AR,PTPN1,Unknown,22282656,Eumetazoa,Eukaryota,2,4,2,367,5770
AR,RELA,Repression,18386814,Eumetazoa,Eumetazoa,4,4,0,367,5970
AR,REST,Repression,24163104,Eumetazoa,Eumetazoa,4,4,0,367,5978
AR,SEPT7,Repression,16281084,Eumetazoa,Opisthokonta,3,4,1,367,989
AR,SERPINB5,Repression,16304843,Eumetazoa,cellular organisms,1,4,3,367,5268
AR,SESN1,Unknown,16751804,Eumetazoa,Eukaryota,2,4,2,367,27244
AR,SRD5A3,Unknown,22194926,Eumetazoa,Eukaryota,2,4,2,367,79644
AR,STIM1,Unknown,21432868,Eumetazoa,Eumetazoa,4,4,0,367,5657
AR,TBP,Unknown,9238003,Eumetazoa,cellular organisms,1,4,3,367,6908
AR,TCF7L2,Unknown,12799378,Eumetazoa,Opisthokonta,3,4,1,367,6934
AR,TGFA,Activation,11556855,Eumetazoa,Mammalia,6,4,2,367,26959
AR,TH,Activation,16356647,Eumetazoa,cellular organisms,1,4,3,367,1400
AR,TJP1,Activation,18535113,Eumetazoa,Eumetazoa,4,4,0,367,3217
AR,TMPRSS2,Activation,20308527;21761340,Eumetazoa,Eumetazoa,4,4,0,367,5728
AR,TMPRSS2,Unknown,23192983,Eumetazoa,Eumetazoa,4,4,0,367,5728
AR,TRPS1,Unknown,15613454,Eumetazoa,Opisthokonta,3,4,1,367,7227
AR,TSC1,Repression,21036700,Eumetazoa,Mammalia,6,4,2,367,7248
AR,TSC2,Repression,21036700,Eumetazoa,Eukaryota,2,4,2,367,7249
AR,UCN,Repression,23801677,Eumetazoa,Mammalia,6,4,2,367,7349
AR,UGT2B15,Unknown,18302198,Eumetazoa,cellular organisms,1,4,3,367,7366
AR,USP26,Unknown,20501646,Eumetazoa,Eukaryota,2,4,2,367,83844
AR,VEGFA,Activation,16007189,Eumetazoa,Vertebrata,5,4,1,367,7422
AR,VEGFA,Unknown,23369005,Eumetazoa,Vertebrata,5,4,1,367,7422
AR,VIM,Repression,18535113,Eumetazoa,Eumetazoa,4,4,0,367,7431
AR,WEE1,Repression,16281084,Eumetazoa,Eukaryota,2,4,2,367,7465
AR,WNT7B,Activation,21741601,Eumetazoa,Eumetazoa,4,4,0,367,7477
AR,XIAP,Repression,20589722,Eumetazoa,Eukaryota,2,4,2,367,331
ARID1A,CDKN1A,Unknown,21900401,Eukaryota,Mammalia,6,2,4,8289,1026
ARID1A,SMAD3,Unknown,21900401,Eukaryota,Eumetazoa,4,2,2,8289,4088
ARID3A,CDC6,Unknown,23659165,Eukaryota,cellular organisms,1,2,1,1820,990
ARID3A,CDK1,Unknown,23659165,Eukaryota,Eukaryota,2,2,0,1820,983
ARID3A,CR2,Unknown,19487031,Eukaryota,Eumetazoa,4,2,2,1820,1380
ARID3A,E2F1,Unknown,23659165,Eukaryota,Eukaryota,2,2,0,1820,1869
ARID3A,PML,Activation,22010578,Eukaryota,Eumetazoa,4,2,2,1820,5371
ARID3A,RBL1,Unknown,23659165,Eukaryota,Eukaryota,2,2,0,1820,5933
ARNT,AHR,Unknown,18540824,Opisthokonta,Eumetazoa,4,3,1,405,196
ARNT,BHLHE40,Unknown,12354771,Opisthokonta,Eumetazoa,4,3,1,405,3131
ARNT,BRCA1,Unknown,16567799,Opisthokonta,Eukaryota,2,3,1,405,672
ARNT,CA9,Activation,22387692,Opisthokonta,Eukaryota,2,3,1,405,768
ARNT,CCNE1,Repression,21544813,Opisthokonta,Eukaryota,2,3,1,405,898
ARNT,CDK2,Repression,21544813,Opisthokonta,Eukaryota,2,3,1,405,1017
ARNT,CTSD,Unknown,9611253,Opisthokonta,Eukaryota,2,3,1,405,1509
ARNT,CYP1A1,Activation,22387692,Opisthokonta,cellular organisms,1,3,2,405,6776
ARNT,CYP1A1,Unknown,12376470;19255421;19376845;8631128,Opisthokonta,cellular organisms,1,3,2,405,6776
ARNT,CYP1B1,Activation,16115918;19287966,Opisthokonta,cellular organisms,1,3,2,405,1545
ARNT,CYP1B1,Unknown,12376470;19255421;19376845;21742528;24299737,Opisthokonta,cellular organisms,1,3,2,405,1545
ARNT,EGLN2,Unknown,15178343,Opisthokonta,Eukaryota,2,3,1,405,112398
ARNT,EPO,Activation,8663540,Opisthokonta,Eumetazoa,4,3,1,405,51513
ARNT,ESR1,Unknown,17991765,Opisthokonta,Eumetazoa,4,3,1,405,2099
ARNT,FOS,Repression,21544813,Opisthokonta,Eumetazoa,4,3,1,405,7027
ARNT,GAD1,Unknown,18335162,Opisthokonta,cellular organisms,1,3,2,405,2571
ARNT,HIF1A,Activation,14764593,Opisthokonta,Eumetazoa,4,3,1,405,8856
ARNT,JUN,Repression,21544813,Opisthokonta,Opisthokonta,3,3,0,405,3725
ARNT,MFSD2A,Unknown,21736709,Opisthokonta,cellular organisms,1,3,2,405,84879
ARNT,RELB,Unknown,17900530,Opisthokonta,Eumetazoa,4,3,1,405,5971
ARNT,UGT1A6,Unknown,20854796,Opisthokonta,cellular organisms,1,3,2,405,54578
ARNT,VEGFA,Unknown,16774940;19020709,Opisthokonta,Vertebrata,5,3,2,405,7422
ARNTL,BHLHE40,Activation,19032342,Eukaryota,Eumetazoa,4,2,2,4763,3131
ARNTL,CRY1,Activation,22750052,Eukaryota,cellular organisms,1,2,1,4763,220
ARNTL,CRY1,Unknown,17660446,Eukaryota,cellular organisms,1,2,1,4763,220
ARNTL,CRY2,Activation,22750052,Eukaryota,cellular organisms,1,2,1,4763,5864
ARNTL,CRY2,Unknown,17660446,Eukaryota,cellular organisms,1,2,1,4763,5864
ARNTL,PER1,Activation,17994337;22750052,Eukaryota,Eumetazoa,4,2,2,4763,5187
ARNTL,PER1,Unknown,17660446;21479263,Eukaryota,Eumetazoa,4,2,2,4763,5187
ARNTL,PER2,Activation,22750052,Eukaryota,Eumetazoa,4,2,2,4763,2191
ARNTL,PER2,Unknown,17660446,Eukaryota,Eumetazoa,4,2,2,4763,2191
ARNTL,PER3,Activation,22750052,Eukaryota,Eumetazoa,4,2,2,4763,8863
ARNTL2,SERPINE1,Activation,22198637,Eukaryota,cellular organisms,1,2,1,56938,5054
ARX,KDM5C,Unknown,23246292,cellular organisms,Eukaryota,2,1,1,170302,8242
ARX,LMO1,Unknown,23771350,cellular organisms,Opisthokonta,3,1,2,170302,4004
ARX,PAX4,Unknown,23771350,cellular organisms,Eukaryota,2,1,1,170302,5078
ARX,SHOX2,Unknown,23771350,cellular organisms,Eukaryota,2,1,1,170302,1051
ASCL1,CHRNA3,Unknown,20124469,Eumetazoa,Eumetazoa,4,4,0,429,1136
ASCL1,CHRNA5,Unknown,20124469,Eumetazoa,cellular organisms,1,4,3,429,1138
ASCL1,CHRNB4,Unknown,20124469,Eumetazoa,Eumetazoa,4,4,0,429,6036
ASCL1,DKK1,Repression,19744316,Eumetazoa,Vertebrata,5,4,1,429,22943
ASCL1,IGF2,Repression,20842449,Eumetazoa,Vertebrata,5,4,1,429,3481
ASCL1,PCSK6,Repression,11736660,Eumetazoa,cellular organisms,1,4,3,429,7536
ASCL1,TPH1,Repression,19744316,Eumetazoa,cellular organisms,1,4,3,429,7166
ASH1L,TGFB1,Unknown,22488473,Eukaryota,Eumetazoa,4,2,2,55870,7040
ASH1L,TIMP1,Unknown,22488473,Eukaryota,Eumetazoa,4,2,2,55870,7076
ASXL1,FABP4,Unknown,21047783,Eumetazoa,Eumetazoa,4,4,0,171023,6402
ATF1,BCL2,Unknown,10542244,Vertebrata,Vertebrata,5,5,0,466,596
ATF1,CCNA1,Repression,12044952,Vertebrata,Eukaryota,2,5,3,466,8900
ATF1,CFTR,Activation,10075672,Vertebrata,cellular organisms,1,5,4,466,1080
ATF1,CGA,Unknown,10341006,Vertebrata,Mammalia,6,5,1,466,1081
ATF1,CYP11B1,Unknown,11014212;11196473,Vertebrata,cellular organisms,1,5,4,466,1584
ATF1,CYP11B2,Unknown,11196473,Vertebrata,cellular organisms,1,5,4,466,1585
ATF1,ERBB2,Unknown,10698518,Vertebrata,Eukaryota,2,5,3,466,2064
ATF1,FLT1,Unknown,7499271,Vertebrata,Eukaryota,2,5,3,466,2321
ATF1,FTH1,Activation,17565989,Vertebrata,Eukaryota,2,5,3,466,2495
ATF1,FTH1,Repression,17565989,Vertebrata,Eukaryota,2,5,3,466,2495
ATF1,GABPA,Unknown,10585419,Vertebrata,Eumetazoa,4,5,1,466,2551
ATF1,IL10,Activation,10540320,Vertebrata,Vertebrata,5,5,0,466,5308
ATF1,LDHA,Unknown,9632793,Vertebrata,cellular organisms,1,5,4,466,3939
ATF1,MAP1LC3B,Activation,20514020,Vertebrata,Eukaryota,2,5,3,466,81631
ATF1,MITF,Activation,12966428,Vertebrata,Eukaryota,2,5,3,466,4286
ATF1,MITF,Unknown,20068147,Vertebrata,Eukaryota,2,5,3,466,4286
ATF1,MUC2,Unknown,16227528,Vertebrata,Eumetazoa,4,5,1,466,4583
ATF1,NTS,Unknown,7791794,Vertebrata,Mammalia,6,5,1,466,3146
ATF1,PCSK1,Activation,8999965,Vertebrata,cellular organisms,1,5,4,466,5122
ATF1,PLAUR,Unknown,12369939,Vertebrata,Mammalia,6,5,1,466,5329
ATF1,SLC20A1,Activation,11722845,Vertebrata,cellular organisms,1,5,4,466,5962
ATF1,SLC22A8,Unknown,16809478,Vertebrata,cellular organisms,1,5,4,466,9376
ATF1,TGFB2,Activation,11776974,Vertebrata,Eumetazoa,4,5,1,466,7042
ATF1,TH,Unknown,11108136,Vertebrata,cellular organisms,1,5,4,466,1400
ATF1,TOP2A,Unknown,12104051,Vertebrata,cellular organisms,1,5,4,466,7153
ATF1,USP7,Unknown,7642633,Vertebrata,Eukaryota,2,5,3,466,29844
ATF2,APOC3,Activation,9760243,Eukaryota,Mammalia,6,2,4,1386,345
ATF2,ATF3,Activation,10979959;20581861;8576171,Eukaryota,Eumetazoa,4,2,2,1386,467
ATF2,CCND1,Activation,10464245;10915780,Eukaryota,Eukaryota,2,2,0,1386,7436
ATF2,CDKN1A,Unknown,10506225,Eukaryota,Mammalia,6,2,4,1386,1026
ATF2,CYP11B1,Unknown,11014212;11196473,Eukaryota,cellular organisms,1,2,1,1386,1584
ATF2,CYP11B2,Unknown,11196473,Eukaryota,cellular organisms,1,2,1,1386,1585
ATF2,DUSP1,Unknown,17681939,Eukaryota,Eukaryota,2,2,0,1386,1843
ATF2,DUSP10,Unknown,17681939,Eukaryota,Eukaryota,2,2,0,1386,11221
ATF2,FAS,Unknown,19670268,Eukaryota,cellular organisms,1,2,1,1386,355
ATF2,FASLG,Unknown,19670268;9710625,Eukaryota,Vertebrata,5,2,3,1386,356
ATF2,FN1,Unknown,10471826,Eukaryota,Eumetazoa,4,2,2,1386,2335
ATF2,KAT5,Repression,18397884,Eukaryota,Eukaryota,2,2,0,1386,10524
ATF2,IFNB1,Activation,17496231,Eukaryota,Vertebrata,5,2,3,1386,3456
ATF2,IFNB1,Unknown,10848607,Eukaryota,Vertebrata,5,2,3,1386,3456
ATF2,IFNG,Activation,12836278;18641343;20006311;20304822,Eukaryota,Vertebrata,5,2,3,1386,3458
ATF2,IMPDH2,Unknown,9278455,Eukaryota,cellular organisms,1,2,1,1386,3615
ATF2,INS,Activation,21278380,Eukaryota,Vertebrata,5,2,3,1386,3214
ATF2,INS,Unknown,10909971,Eukaryota,Vertebrata,5,2,3,1386,3214
ATF2,ITGB8,Unknown,21878622,Eukaryota,Eumetazoa,4,2,2,1386,3696
ATF2,JUN,Activation,9502786,Eukaryota,Opisthokonta,3,2,1,1386,3725
ATF2,MAP3K1,Unknown,9710625,Eukaryota,Eukaryota,2,2,0,1386,4214
ATF2,MMP2,Activation,17079470;17258390,Eukaryota,Eukaryota,2,2,0,1386,4313
ATF2,NOS3,Repression,16497991,Eukaryota,cellular organisms,1,2,1,1386,4846
ATF2,PCK1,Activation,12453892,Eukaryota,cellular organisms,1,2,1,1386,5105
ATF2,PCK2,Unknown,11042264,Eukaryota,cellular organisms,1,2,1,1386,4208
ATF2,PLAT,Activation,8647095,Eukaryota,Eumetazoa,4,2,2,1386,5327
ATF2,PLAU,Unknown,10454570,Eukaryota,Eumetazoa,4,2,2,1386,5328
ATF2,POLB,Activation,10518804,Eukaryota,cellular organisms,1,2,1,1386,5423
ATF2,PTGS2,Unknown,11278336;12057991,Eukaryota,Eukaryota,2,2,0,1386,5743
ATF2,RELA,Activation,21350211,Eukaryota,Eumetazoa,4,2,2,1386,5970
ATF2,RETN,Activation,20360975,Eukaryota,Mammalia,6,2,4,1386,56729
ATF2,ST3GAL5,Activation,21699754,Eukaryota,Eukaryota,2,2,0,1386,6045
ATF2,TGFB2,Repression,1400310,Eukaryota,Eumetazoa,4,2,2,1386,7042
ATF2,TNF,Activation,10688670;10748079;10913190;20068037,Eukaryota,Mammalia,6,2,4,1386,7124
ATF3,ADIPOR1,Repression,20696134,Eumetazoa,Eukaryota,2,4,2,467,51094
ATF3,ADIPOR2,Repression,20696134,Eumetazoa,Eukaryota,2,4,2,467,79602
ATF3,AK4,Unknown,23002211,Eumetazoa,cellular organisms,1,4,3,467,205
ATF3,ASNS,Activation,12881527,Eumetazoa,cellular organisms,1,4,3,467,440
ATF3,ASNS,Unknown,15385533,Eumetazoa,cellular organisms,1,4,3,467,440
ATF3,CCL5,Unknown,10760799,Eumetazoa,Vertebrata,5,4,1,467,6352
ATF3,CD82,Unknown,21454613,Eumetazoa,Eumetazoa,4,4,0,467,3732
ATF3,DDIT3,Activation,22753726,Eumetazoa,Mammalia,6,4,2,467,1649
ATF3,GDF15,Activation,15670751,Eumetazoa,Eumetazoa,4,4,0,467,8932
ATF3,ID1,Repression,20565867,Eumetazoa,Eumetazoa,4,4,0,467,3397
ATF3,IFNG,Activation,20304822,Eumetazoa,Vertebrata,5,4,1,467,3458
ATF3,PCLAF,Unknown,19219066,Eumetazoa,Vertebrata,5,4,1,467,3091
ATF3,LDLR,Repression,21294679,Eumetazoa,Eumetazoa,4,4,0,467,3949
ATF3,MMP2,Repression,11792711;15102941,Eumetazoa,Eukaryota,2,4,2,467,4313
ATF3,PENK,Unknown,7935470,Eumetazoa,Mammalia,6,4,2,467,5179
